area_id,area_name,b18101e001,b18101e001_moe,b18101e002,b18101e002_moe,b18101e003,b18101e003_moe,b18101e004,b18101e004_moe,b18101e005,b18101e005_moe,b18101e006,b18101e006_moe,b18101e007,b18101e007_moe,b18101e008,b18101e008_moe,b18101e009,b18101e009_moe,b18101e010,b18101e010_moe
BK09,Brooklyn Heights-Cobble Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,112,185,24,65,0,55,24,65,88,150,20,63,68,120,0,55,0,55,0,55
BK19,Brighton Beach,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,21,49,0,38,0,38,0,38,4,43,0,38,4,43,17,45,17,45,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,18,58,0,51,0,51,0,51,18,58,0,51,18,58,0,51,0,51,0,51
BK30,Dyker Heights,21,59,0,51,0,51,0,51,0,51,0,51,0,51,21,59,0,51,21,59
BK31,Bay Ridge,88,154,0,66,0,66,0,66,88,154,0,66,88,154,0,66,0,66,0,66
BK32,Sunset Park West,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BK34,Sunset Park East,56,95,0,59,0,59,0,59,34,69,22,68,12,60,22,68,22,68,0,59
BK35,Stuyvesant Heights,10,52,0,51,0,51,0,51,0,51,0,51,0,51,10,52,10,52,0,51
BK37,Park Slope-Gowanus,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BK40,Windsor Terrace,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
BK41,Kensington-Ocean Parkway,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK42,Flatbush,99,99,0,68,0,68,0,68,99,99,0,68,99,99,0,68,0,68,0,68
BK43,Midwood,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK44,Madison,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,196,272,161,225,0,55,161,225,35,72,0,55,35,72,0,55,0,55,0,55
BK46,Ocean Parkway South,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
