area_id,area_name,b20017i001,b20017i001_moe,b20017i002,b20017i002_moe,b20017i003,b20017i003_moe,b20017i004,b20017i004_moe,b20017i005,b20017i005_moe,b20017i006,b20017i006_moe,b20017i007,b20017i007_moe
BK09,Brooklyn Heights-Cobble Hill,168826,50073,170344,139166,258029,116799,144877,187050,101636,104810,148223,168881,86282,78412
BK19,Brighton Beach,36930,3598,40059,14533,40438,22637,96435,123023,27361,10157,41808,60458,18220,5514
BK21,Seagate-Coney Island,138471,32556,140435,41328,161824,93226,64485,62997,133160,48113,169055,87485,59229,45319
BK25,Homecrest,24007,12070,24338,20144,36432,686,19840,84,21563,17057,27868,10207,5909,5833
BK26,Gravesend,14890,4254,14618,9969,16250,21820,9313,4281,16304,3993,18241,9121,15435,11393
BK27,Bath Beach,56783,21954,53051,16077,61607,35038,16525,34209,57705,46820,80271,68541,36222,56810
BK28,Bensonhurst West,150923,26603,161628,28849,181692,27198,119284,43853,115046,44518,206777,62417,83357,23017
BK29,Bensonhurst East,55611,10572,57141,25142,87351,26265,33074,17218,65601,32752,71107,28266,22876,16902
BK30,Dyker Heights,37552,15215,38568,78211,89100,100505,38374,6257,37069,11325,39430,50901,27324,21082
BK31,Bay Ridge,314246,38618,304325,47651,377509,84122,197944,151725,329637,69637,427131,127720,217405,164648
BK32,Sunset Park West,250908,20183,264495,18171,308310,28241,148721,24224,216675,33953,348595,73470,119396,18994
BK33,Carroll Gardens-Columbia Street-Red Hook,140138,33207,152829,201015,157631,307575,167625,129080,141977,67416,193678,71260,135994,108811
BK34,Sunset Park East,251413,24009,271730,23471,332962,33268,144701,39560,213922,35165,344798,99693,129509,41425
BK35,Stuyvesant Heights,85383,34481,73989,29155,110429,31944,30023,9548,76853,26939,111433,44792,32080,30338
BK37,Park Slope-Gowanus,381884,66442,377979,145733,589091,113772,154970,92686,341160,96297,420591,141308,216101,90568
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,206940,81895,182719,92534,283692,74276,106097,21599,309839,139346,345576,110227,157256,164470
BK40,Windsor Terrace,38643,5982,37929,5999,35536,10008,38714,31213,41667,15225,48750,27911,6929,2688
BK41,Kensington-Ocean Parkway,138032,38666,135583,34394,172590,40962,84397,110865,112524,84486,191074,315651,49110,26003
BK42,Flatbush,182331,22759,187232,27545,220085,33309,129158,54507,172374,49377,224292,57754,111501,100656
BK43,Midwood,23750,8667,21141,7552,21630,7814,19598,13801,30919,24792,44318,39348,14519,36116
BK44,Madison,25057,22479,17042,11056,26932,17266,11500,6428,44464,44862,60500,30553,11012,4428
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,20156,10748,35739,23888,37102,2352,4722,19003,12574,14905,32969,17254,6250,11388
BK50,Canarsie,38436,12667,27776,30500,105060,64742,18786,14289,56187,24902,78607,20520,25607,68837
BK58,Flatlands,34764,16084,33889,6936,61094,696,33565,651,43208,8870,43466,9328,23750,38739
BK60,Prospect Lefferts Gardens-Wingate,50189,5862,58035,25500,49304,74055,51829,38558,46731,26619,92147,38683,13976,59671
BK61,Crown Heights North,167266,75434,221986,83594,290591,52132,109714,143650,113239,97318,312172,96316,75582,32936
BK63,Crown Heights South,33365,19775,41563,15752,40938,40825,115395,135666,23333,11737,24271,15521,20455,33525
BK64,Prospect Heights,36932,29378,50909,52487,66923,18524,21591,12627,36023,24904,47386,49292,8750,26838
BK68,Fort Greene,56660,34580,57131,69156,69940,80376,17486,14324,57250,32864,75045,42147,23806,16025
BK69,Clinton Hill,191857,47934,195586,83103,259648,102686,110214,24417,141038,118580,324863,168924,83218,60532
BK72,Williamsburg,65665,12610,66901,41280,94821,33556,28397,136289,65455,24249,67762,4716,24561,10329
BK73,North Side-South Side,195220,29255,186609,59742,265868,48579,111410,42245,204584,29836,263147,43105,86746,69521
BK75,Bedford,189440,25321,213036,70195,286093,66657,155931,26830,172268,36682,272989,88678,171588,99382
BK76,Greenpoint,197595,63781,237514,73990,297364,56414,77967,63675,188054,78234,256424,87552,112745,77495
BK77,Bushwick North,255814,10105,268176,15566,292068,25884,149026,51365,225279,22994,285351,28840,133937,26462
BK78,Bushwick South,487243,33602,511463,51582,629945,66851,257207,68397,447072,72541,611817,93928,243030,67959
BK79,Ocean Hill,61347,13533,69609,21484,80559,20628,16985,1936,62327,15436,79146,15945,82040,102827
BK81,Brownsville,103635,25040,117388,44437,159446,59953,57209,15704,108364,23970,153497,31725,71851,25340
BK82,East New York,421392,36271,439778,55522,574722,107389,220616,57419,392160,69043,540993,69019,215622,65677
BK83,Cypress Hills-City Line,329439,24748,366845,35020,409621,44639,126063,41505,276264,35260,372133,48466,164243,34956
BK85,East New York (Pennsylvania Ave),171833,31144,190827,61901,247173,58780,64727,40639,165087,33957,206851,61643,101223,16164
BK88,Borough Park,81630,15274,84754,17207,101814,13129,58871,38790,72095,25729,101645,40657,42677,28120
BK90,East Williamsburg,257366,48800,266729,32084,312313,51800,156480,94211,236614,52890,333578,64742,97228,90117
BK95,Erasmus,20378,5452,23250,5764,27132,40043,4239,18447,14808,6503,26250,34977,10778,1648
BX01,Claremont-Bathgate,142418,19375,159642,28438,184789,46681,68675,48202,134004,18943,184362,19451,57779,14031
BX03,Eastchester-Edenwald-Baychester,17537,6528,16286,9672,35250,3221,4453,15034,20022,7577,29554,8823,5179,6648
BX05,Bedford Park-Fordham North,198144,18432,223157,22574,266503,33102,95620,22054,170374,34696,266559,47630,89992,14053
BX06,Belmont,65241,6954,84830,7723,91269,27977,48904,22608,45151,6568,80834,26756,30107,7700
