area_id,area_name,b25003c001,b25003c001_moe,b25003c002,b25003c002_moe,b25003c003,b25003c003_moe
BK09,Brooklyn Heights-Cobble Hill,41,46,10,32,31,44
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,16,60,0,55,16,60
BK19,Brighton Beach,0,38,0,38,0,38
BK21,Seagate-Coney Island,71,64,16,42,55,61
BK23,West Brighton,0,27,0,27,0,27
BK25,Homecrest,44,55,18,50,26,53
BK26,Gravesend,32,47,0,36,32,47
BK27,Bath Beach,26,52,0,40,26,52
BK28,Bensonhurst West,171,116,58,96,113,91
BK29,Bensonhurst East,36,57,14,54,22,55
BK30,Dyker Heights,38,65,0,51,38,65
BK31,Bay Ridge,132,100,48,80,84,89
BK32,Sunset Park West,304,140,0,49,304,140
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45
BK34,Sunset Park East,256,122,62,78,194,109
BK35,Stuyvesant Heights,54,65,18,52,36,63
BK37,Park Slope-Gowanus,119,116,32,60,87,115
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,21,45,16,44,5,41
BK40,Windsor Terrace,71,54,46,50,25,38
BK41,Kensington-Ocean Parkway,8,39,0,40,8,39
BK42,Flatbush,126,112,23,70,103,111
BK43,Midwood,0,51,0,51,0,51
BK44,Madison,19,55,19,55,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,54,3,54,0,55
BK46,Ocean Parkway South,25,38,4,35,21,39
BK50,Canarsie,20,72,7,70,13,72
BK58,Flatlands,43,71,32,69,11,64
BK60,Prospect Lefferts Gardens-Wingate,97,90,20,62,77,86
BK61,Crown Heights North,77,83,0,67,77,83
BK63,Crown Heights South,28,49,0,40,28,49
BK64,Prospect Heights,12,34,0,32,12,34
BK68,Fort Greene,32,50,0,38,32,50
BK69,Clinton Hill,9,40,9,40,0,40
BK72,Williamsburg,0,36,0,36,0,36
BK73,North Side-South Side,42,59,0,48,42,59
BK75,Bedford,69,73,0,56,69,73
BK76,Greenpoint,104,83,0,42,104,83
BK77,Bushwick North,50,57,0,54,50,57
BK78,Bushwick South,188,95,60,68,128,85
BK79,Ocean Hill,52,61,42,60,10,39
BK81,Brownsville,79,74,0,51,79,74
BK82,East New York,96,80,35,67,61,78
BK83,Cypress Hills-City Line,67,73,15,50,52,72
BK85,East New York (Pennsylvania Ave),27,52,0,36,27,52
BK88,Borough Park,0,68,0,68,0,68
BK90,East Williamsburg,80,85,0,40,80,85
