area_id,area_name,b19313g001,b19313g001_moe
BK09,Brooklyn Heights-Cobble Hill,29036200,23211717
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,7869600,5104108
BK19,Brighton Beach,12588800,6298125
BK21,Seagate-Coney Island,5523000,3129233
BK23,West Brighton,1652400,1846714
BK25,Homecrest,7596700,6063397
BK26,Gravesend,2721100,2513486
BK27,Bath Beach,6634800,3712423
BK28,Bensonhurst West,3809600,2191701
BK29,Bensonhurst East,7756700,4207150
BK30,Dyker Heights,5329600,2988347
BK31,Bay Ridge,24987500,9270396
BK32,Sunset Park West,27142800,10446903
BK33,Carroll Gardens-Columbia Street-Red Hook,39808400,19950077
BK34,Sunset Park East,14649300,5849200
BK35,Stuyvesant Heights,24222000,8713221
BK37,Park Slope-Gowanus,77911600,19616168
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,56144200,22835961
BK40,Windsor Terrace,9407600,5110050
BK41,Kensington-Ocean Parkway,18429300,8168254
BK42,Flatbush,38818700,13113497
BK43,Midwood,8476200,3633411
BK44,Madison,2616200,1742442
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,10076400,5090903
BK46,Ocean Parkway South,1084000,1321636
BK50,Canarsie,8680100,4449217
BK58,Flatlands,18362900,6956028
BK60,Prospect Lefferts Gardens-Wingate,18915400,9034540
BK61,Crown Heights North,32676100,9301540
BK63,Crown Heights South,2602200,2876603
BK64,Prospect Heights,16319900,6587733
BK68,Fort Greene,47206300,16996618
BK69,Clinton Hill,58636700,19809889
BK72,Williamsburg,2315000,2682518
BK73,North Side-South Side,35081500,11701323
BK75,Bedford,16702200,5556552
BK76,Greenpoint,18446500,10892807
BK77,Bushwick North,35902000,26206651
BK78,Bushwick South,30800700,10682612
BK79,Ocean Hill,7367500,13187564
BK81,Brownsville,7788600,4898995
BK82,East New York,17629400,6907995
BK83,Cypress Hills-City Line,11683300,4611516
BK85,East New York (Pennsylvania Ave),3710500,2917034
BK88,Borough Park,8196300,5688023
BK90,East Williamsburg,20184900,16633146
BK91,East Flatbush-Farragut,22576300,9414745
BK93,Starrett City,3464000,3389414
BK95,Erasmus,10765600,6450932
BK96,Rugby-Remsen Village,6156300,3538057
BK99,park-cemetery-etc-Brooklyn,1402600,1642925
BX01,Claremont-Bathgate,6852600,3032917
BX03,Eastchester-Edenwald-Baychester,14962700,7774690
BX05,Bedford Park-Fordham North,16335200,7884229
BX06,Belmont,7491400,3465535
BX07,Bronxdale,17169100,5759146
BX08,West Farms-Bronx River,40498100,16348024
BX09,Soundview-Castle Hill-Clason Point-Harding Park,26001300,11030602
BX10,Pelham Bay-Country Club-City Island,10391800,6941863
BX13,Co-op City,33956500,24623972
BX14,East Concourse-Concourse Village,14722100,5354404
BX17,East Tremont,22776500,10973488
BX22,North Riverdale-Fieldston-Riverdale,9109700,4935610
BX26,Highbridge,6719900,3168004
BX27,Hunts Point,15471400,8931850
BX28,Van Cortlandt Village,33683700,9531655
BX29,Spuyten Duyvil-Kingsbridge,22710900,9121147
BX30,Kingsbridge Heights,15388900,6396681
BX31,Allerton-Pelham Gardens,6325700,2749654
BX33,Longwood,6443900,3061773
BX34,Melrose South-Mott Haven North,7387600,4321338
BX35,Morrisania-Melrose,20052200,6611713
BX36,University Heights-Morris Heights,20546100,7066534
BX37,Van Nest-Morris Park-Westchester Square,13280300,5091576
BX39,Mott Haven-Port Morris,9792400,3664818
BX40,Fordham South,3270000,2232984
BX41,Mount Hope,16124200,5444916
BX43,Norwood,23415100,9055336
BX44,Williamsbridge-Olinville,13753100,5489626
BX46,Parkchester,39471600,16865259
BX49,Pelham Parkway,9727500,5068160
BX52,Schuylerville-Throgs Neck-Edgewater Park,11415500,4698704
BX55,Soundview-Bruckner,29342900,9452587
BX59,Westchester-Unionport,20957500,8078370
BX62,Woodlawn-Wakefield,14411100,7296039
BX63,West Concourse,13655500,5308909
BX75,Crotona Park East,3280400,2011778
BX98,Rikers Island,326700,309365
BX99,park-cemetery-etc-Bronx,1664800,1763602
MN01,Marble Hill-Inwood,56498100,14992614
MN03,Central Harlem North-Polo Grounds,104258400,29770842
MN04,Hamilton Heights,132338300,32556440
MN06,Manhattanville,37774500,11062463
MN09,Morningside Heights,51974000,15268724
MN11,Central Harlem South,43094500,17838288
MN12,Upper West Side,151260100,36903081
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,123698100,44308880
MN14,Lincoln Square,53473000,23075173
MN15,Clinton,56691100,22578885
MN17,Midtown-Midtown South,35460600,18250438
MN19,Turtle Bay-East Midtown,53345600,27054742
MN20,Murray Hill-Kips Bay,53063300,38049134
MN21,Gramercy,15869400,8105062
MN22,East Village,43519400,16375210
MN23,West Village,137274600,57371599
