area_id,area_name,b11001i001,b11001i001_moe,b11001i002,b11001i002_moe,b11001i003,b11001i003_moe,b11001i004,b11001i004_moe,b11001i005,b11001i005_moe,b11001i006,b11001i006_moe,b11001i007,b11001i007_moe,b11001i008,b11001i008_moe,b11001i009,b11001i009_moe
BK09,Brooklyn Heights-Cobble Hill,657,188,309,139,169,96,140,104,27,33,113,101,348,142,348,142,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1733,256,1243,228,575,179,668,154,63,77,605,152,490,150,419,141,71,72
BK19,Brighton Beach,1272,230,985,215,712,190,273,114,72,68,201,107,287,122,253,114,34,53
BK21,Seagate-Coney Island,2496,329,1691,266,722,188,969,231,160,128,809,202,805,219,771,215,34,46
BK23,West Brighton,56,60,32,55,0,27,32,55,0,27,32,55,24,35,24,35,0,27
BK25,Homecrest,949,213,576,172,310,137,266,115,127,94,139,82,373,146,236,107,137,107
BK26,Gravesend,1315,241,961,210,626,194,335,150,55,55,280,146,354,137,346,137,8,36
BK27,Bath Beach,1047,247,722,207,480,157,242,139,22,45,220,137,325,133,165,86,160,106
BK28,Bensonhurst West,3675,394,2592,337,1831,305,761,206,368,166,393,139,1083,234,721,190,362,148
BK29,Bensonhurst East,2310,315,1761,281,1411,256,350,134,108,91,242,112,549,151,444,136,105,79
BK30,Dyker Heights,1398,247,845,200,522,167,323,116,9,52,314,116,553,158,303,108,250,124
BK31,Bay Ridge,4993,435,2987,356,1625,283,1362,263,375,161,987,228,2006,296,1703,274,303,127
BK32,Sunset Park West,9916,428,7314,429,4112,409,3202,365,933,208,2269,311,2602,313,1832,273,770,191
BK33,Carroll Gardens-Columbia Street-Red Hook,3458,347,2149,276,1025,229,1124,202,184,98,940,192,1309,266,1072,244,237,120
BK34,Sunset Park East,7124,377,5554,355,2770,316,2784,317,918,207,1866,270,1570,252,1277,227,293,124
BK35,Stuyvesant Heights,4589,404,3082,343,1230,248,1852,291,402,156,1450,253,1507,281,1355,266,152,100
BK37,Park Slope-Gowanus,4606,461,2733,355,1568,267,1165,260,374,157,791,213,1873,337,1409,296,464,167
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3228,273,2063,248,755,194,1308,213,49,59,1259,216,1165,198,993,190,172,72
BK40,Windsor Terrace,1121,211,711,180,493,153,218,119,54,55,164,114,410,129,351,128,59,54
BK41,Kensington-Ocean Parkway,1609,278,1208,255,772,203,436,167,178,116,258,124,401,150,257,119,144,87
BK42,Flatbush,6198,501,4314,443,2232,352,2082,332,694,220,1388,276,1884,327,1524,290,360,156
BK43,Midwood,1124,240,704,201,372,152,332,144,169,120,163,87,420,158,296,134,124,95
BK44,Madison,813,208,547,166,335,126,212,111,68,78,144,92,266,133,255,132,11,48
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1124,224,951,208,527,161,424,143,131,93,293,119,173,99,173,99,0,55
BK46,Ocean Parkway South,573,178,395,160,265,129,130,92,72,73,58,67,178,75,168,74,10,38
BK50,Canarsie,2252,294,1811,275,792,189,1019,231,311,165,708,161,441,133,380,125,61,79
BK58,Flatlands,1814,250,1509,238,841,185,668,169,166,107,502,146,305,104,251,96,54,71
BK60,Prospect Lefferts Gardens-Wingate,2451,333,1724,299,576,224,1148,258,192,123,956,243,727,182,588,170,139,95
BK61,Crown Heights North,4215,415,2588,329,782,197,1806,288,277,133,1529,263,1627,281,1291,254,336,128
BK63,Crown Heights South,1222,224,741,176,362,129,379,137,94,80,285,117,481,154,383,137,98,81
BK64,Prospect Heights,1105,241,591,167,451,156,140,79,0,32,140,79,514,178,363,148,151,97
BK68,Fort Greene,1904,264,939,198,381,137,558,154,115,91,443,130,965,208,827,189,138,87
BK69,Clinton Hill,2019,269,1117,203,454,156,663,154,160,90,503,145,902,199,703,181,199,87
BK72,Williamsburg,1412,213,945,174,488,158,457,154,122,78,335,134,467,151,402,138,65,83
BK73,North Side-South Side,6611,414,4088,361,1603,268,2485,322,556,183,1929,292,2523,332,1854,281,669,192
BK75,Bedford,4646,378,3210,322,1083,213,2127,280,309,127,1818,259,1436,244,1222,219,214,114
BK76,Greenpoint,1824,255,1016,189,422,147,594,147,195,112,399,111,808,188,539,153,269,120
BK77,Bushwick North,13153,448,10529,478,4136,389,6393,461,2079,325,4314,398,2624,321,1908,283,716,177
BK78,Bushwick South,13395,533,9730,518,4336,427,5394,459,1282,270,4112,398,3665,373,3010,338,655,182
BK79,Ocean Hill,2034,264,1485,238,552,161,933,199,283,119,650,171,549,157,512,154,37,55
BK81,Brownsville,3637,371,2681,371,734,214,1947,312,172,96,1775,306,956,217,925,216,31,54
BK82,East New York,8056,498,5983,451,2350,310,3633,377,853,222,2780,325,2073,303,1770,280,303,126
BK83,Cypress Hills-City Line,8007,410,6656,400,3250,343,3406,340,841,183,2565,307,1351,227,1057,202,294,112
BK85,East New York (Pennsylvania Ave),2624,290,2018,263,706,178,1312,220,155,82,1157,206,606,152,436,124,170,90
