Family Income (Asian Alone Householder)
---------------------------------------
Universe: Families With a Householder Who Is Asian Alone

B19101D001 Total:
B19101D002  Less than $10,000
B19101D003  $10,000 to $14,999
B19101D004  $15,000 to $19,999
B19101D005  $20,000 to $24,999
B19101D006  $25,000 to $29,999
B19101D007  $30,000 to $34,999
B19101D008  $35,000 to $39,999
B19101D009  $40,000 to $44,999
B19101D010  $45,000 to $49,999
B19101D011  $50,000 to $59,999
B19101D012  $60,000 to $74,999
B19101D013  $75,000 to $99,999
B19101D014  $100,000 to $124,999
B19101D015  $125,000 to $149,999
B19101D016  $150,000 to $199,999
B19101D017  $200,000 or more
