area_id,area_name,b19326001,b19326001_moe,b19326002,b19326002_moe,b19326003,b19326003_moe,b19326004,b19326004_moe,b19326005,b19326005_moe,b19326006,b19326006_moe,b19326007,b19326007_moe
BK09,Brooklyn Heights-Cobble Hill,379132,26738,454239,49370,666708,96003,180749,36056,348132,24679,460984,41185,172797,33685
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,566141,37163,731862,46511,1021556,87610,316440,34673,461630,30683,884163,74341,250611,22699
BK19,Brighton Beach,210532,21826,244559,31702,402372,28435,105410,22098,179678,18896,338022,48748,94682,19831
BK21,Seagate-Coney Island,117662,9772,143608,23919,239572,29273,81542,14425,96496,12372,245075,26901,65055,5174
BK23,West Brighton,94914,9424,116396,16075,211018,21230,61705,16200,78365,8003,177307,17330,42153,5131
BK25,Homecrest,399607,22023,517232,35254,782412,54889,305629,34109,280728,25435,610487,79707,183973,13555
BK26,Gravesend,175483,13247,202073,21732,334257,38553,131488,14538,146580,15135,320335,32690,91391,8571
BK27,Bath Beach,280426,22421,337686,33409,509350,45475,180788,27866,249746,34283,514877,54035,136051,11093
BK28,Bensonhurst West,590327,24443,738130,37470,1030695,57947,408804,38901,460808,31584,949060,60265,289599,15519
BK29,Bensonhurst East,407335,19893,496470,24162,709538,38487,289749,23828,315394,21393,685528,37072,194070,11938
BK30,Dyker Heights,452290,24363,547925,45114,802364,107778,310152,28825,364668,30331,819457,79358,221500,18596
BK31,Bay Ridge,980287,40172,1183399,70200,1651281,110190,584501,51346,842800,59995,1584722,90686,428132,33928
BK32,Sunset Park West,283518,16787,323012,22917,431233,34527,200663,20635,218384,18741,493739,47374,133075,9336
BK33,Carroll Gardens-Columbia Street-Red Hook,560444,33146,664234,57381,882354,75333,297131,48700,503000,37132,710987,56462,199939,40143
BK34,Sunset Park East,246564,12052,278110,14666,411425,23184,154833,13555,215553,14844,455908,65787,139597,8111
BK35,Stuyvesant Heights,425423,23745,477180,35022,745804,54972,232013,18620,390495,31540,731259,44476,196028,11414
BK37,Park Slope-Gowanus,1010151,35529,1117598,79481,1546923,86209,513273,83136,906303,45632,1321776,62728,412004,53759
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,573823,37060,634425,52787,912368,59879,224500,45360,536615,47152,773447,44441,219994,59916
BK40,Windsor Terrace,265381,17072,291341,28565,395247,27710,143488,26826,242291,26727,386890,34095,106045,17588
BK41,Kensington-Ocean Parkway,181963,16981,208783,25043,305647,36339,119642,15462,149774,17169,361810,46801,89681,8603
BK42,Flatbush,659287,28782,752828,46463,1026842,57165,360872,50217,591158,38211,1007050,77479,305768,26403
BK43,Midwood,508595,45393,686377,61145,1007653,144411,339724,71598,388862,50007,868431,76376,238339,61652
BK44,Madison,485567,33990,587672,41367,829806,60800,237527,38424,388376,39813,703041,94714,178234,18960
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,711106,43351,920466,76953,1248858,75659,468880,69407,558096,50487,1120169,107523,289537,29847
BK46,Ocean Parkway South,233453,20504,290506,61388,502324,76780,172728,36448,183725,22961,368515,73091,121339,16011
BK50,Canarsie,1076602,43780,1107630,70110,1583426,84670,449698,47655,1081573,53274,1544977,68591,394017,39937
BK58,Flatlands,828272,30806,860034,50784,1277428,118833,442572,50021,807608,41487,1256104,69170,373284,32559
BK60,Prospect Lefferts Gardens-Wingate,419693,25297,451547,37667,673480,55840,238923,33473,395938,26845,642341,48122,203872,17229
BK61,Crown Heights North,653319,29704,725543,47910,1153887,69711,347121,31079,611491,35169,1049834,41947,284051,14479
BK63,Crown Heights South,213414,16467,241425,21955,383943,38910,116408,15684,189356,21179,368661,20121,98663,8861
BK64,Prospect Heights,280567,16084,298377,33883,425641,30674,105886,20360,271795,21590,366955,23196,118757,29591
BK68,Fort Greene,328061,24536,362095,44999,520948,52208,173034,35738,313707,30358,525571,42985,161899,18783
BK69,Clinton Hill,354365,24162,379782,33292,519039,54020,203804,48374,331656,26984,569752,43688,152870,19304
BK72,Williamsburg,82148,4999,98838,19445,207450,31835,71330,8364,68294,7602,197964,82600,57719,5331
