area_id,area_name,b05003i001,b05003i001_moe,b05003i002,b05003i002_moe,b05003i003,b05003i003_moe,b05003i004,b05003i004_moe,b05003i005,b05003i005_moe,b05003i006,b05003i006_moe,b05003i007,b05003i007_moe,b05003i008,b05003i008_moe,b05003i009,b05003i009_moe,b05003i010,b05003i010_moe,b05003i011,b05003i011_moe,b05003i012,b05003i012_moe,b05003i013,b05003i013_moe,b05003i014,b05003i014_moe,b05003i015,b05003i015_moe,b05003i016,b05003i016_moe,b05003i017,b05003i017_moe,b05003i018,b05003i018_moe,b05003i019,b05003i019_moe,b05003i020,b05003i020_moe,b05003i021,b05003i021_moe,b05003i022,b05003i022_moe,b05003i023,b05003i023_moe
BK09,Brooklyn Heights-Cobble Hill,1747,390,833,226,55,48,55,48,0,29,0,29,0,29,778,215,542,182,236,99,107,73,129,70,914,234,107,86,107,86,0,29,0,29,0,29,807,207,455,167,352,142,194,119,158,81
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4812,786,2043,407,811,274,811,274,0,55,0,55,0,55,1232,254,811,211,421,163,272,132,149,100,2769,486,847,302,847,302,0,55,0,55,0,55,1922,293,1345,257,577,181,414,162,163,108
BK19,Brighton Beach,4135,795,2093,453,568,215,516,207,52,61,0,38,52,61,1525,330,410,151,1115,299,297,129,818,283,2042,430,591,214,459,172,132,112,74,94,58,67,1451,288,349,140,1102,262,428,158,674,213
BK21,Seagate-Coney Island,7069,1005,3267,591,1011,304,1011,304,0,38,0,38,0,38,2256,456,1650,423,606,178,315,140,291,121,3802,578,1107,310,1066,309,41,54,32,51,9,39,2695,382,1904,327,791,201,527,173,264,123
BK23,West Brighton,169,143,54,62,53,63,22,42,31,54,31,54,0,27,1,24,0,27,1,24,0,27,1,24,115,109,0,27,0,27,0,27,0,27,0,27,115,109,72,95,43,57,43,57,0,27
BK25,Homecrest,2881,670,1576,403,359,155,311,148,48,68,0,48,48,68,1217,334,377,182,840,306,199,137,641,282,1305,330,385,178,364,168,21,58,0,48,21,58,920,212,267,109,653,185,312,139,341,132
BK26,Gravesend,4263,886,1870,395,557,225,557,225,0,36,0,36,0,36,1313,296,846,253,467,168,288,134,179,124,2393,579,839,297,779,277,60,70,35,65,25,45,1554,353,1059,324,495,193,247,133,248,133
BK27,Bath Beach,3553,829,1926,517,501,209,492,209,9,41,9,41,0,40,1425,411,600,211,825,345,277,125,548,324,1627,417,466,200,415,195,51,58,19,49,32,51,1161,310,781,268,380,133,180,95,200,101
BK28,Bensonhurst West,12500,1511,6638,934,1727,393,1324,314,403,196,0,64,403,196,4911,714,1663,322,3248,604,680,198,2568,575,5862,739,1785,390,1613,368,172,148,0,64,172,148,4077,486,1782,333,2295,378,619,171,1676,343
BK29,Bensonhurst East,7363,1082,3910,604,993,251,859,224,134,110,0,51,134,110,2917,469,1111,241,1806,386,547,171,1259,365,3453,584,1114,290,960,251,154,111,56,86,98,87,2339,370,865,234,1474,282,625,164,849,236
