area_id,area_name,b11001001,b11001001_moe,b11001002,b11001002_moe,b11001003,b11001003_moe,b11001004,b11001004_moe,b11001005,b11001005_moe,b11001006,b11001006_moe,b11001007,b11001007_moe,b11001008,b11001008_moe,b11001009,b11001009_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,4784,381,4255,353,529,172,250,120,279,123,6562,416,5440,398,1122,221
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,16523,502,12082,523,4441,416,1175,260,3266,371,8547,472,7803,464,744,174
BK19,Brighton Beach,13764,343,7845,429,5809,409,2036,278,549,164,1487,249,5919,409,5408,399,511,146
BK21,Seagate-Coney Island,11215,272,7427,357,4209,374,3218,351,405,170,2813,337,3788,320,3599,314,189,94
BK23,West Brighton,8026,219,4649,296,3533,312,1116,216,177,83,939,211,3377,306,3215,309,162,85
BK25,Homecrest,15435,318,10589,403,8622,401,1967,273,608,157,1359,235,4846,361,4283,337,563,158
BK26,Gravesend,11068,297,7477,394,5457,414,2020,281,379,125,1641,258,3591,382,3435,373,156,107
BK27,Bath Beach,10726,270,7451,351,5910,355,1541,224,458,132,1083,180,3275,317,2753,285,522,154
BK28,Bensonhurst West,29717,419,21426,577,16821,578,4605,411,1521,252,3084,346,8291,483,6937,442,1354,246
BK29,Bensonhurst East,21737,342,15789,469,12191,494,3598,354,1254,222,2344,292,5948,413,5179,394,769,191
BK30,Dyker Heights,14966,279,10939,379,8570,392,2369,288,830,191,1539,230,4027,333,3051,294,976,211
BK31,Bay Ridge,34990,426,19449,601,14578,584,4871,449,1310,250,3561,380,15541,580,13198,554,2343,292
BK32,Sunset Park West,17023,319,11384,444,7029,459,4355,415,1264,235,3091,353,5639,427,3727,374,1912,266
BK33,Carroll Gardens-Columbia Street-Red Hook,17628,387,9142,485,6147,442,2995,331,609,190,2386,309,8486,509,5997,470,2489,320
BK34,Sunset Park East,20544,327,15596,467,10337,489,5259,416,1994,289,3265,347,4948,402,3696,357,1252,225
BK35,Stuyvesant Heights,24360,452,14657,547,5058,454,9599,538,1791,301,7808,503,9703,541,8211,523,1492,256
BK37,Park Slope-Gowanus,31068,489,15944,638,12478,602,3466,385,1071,226,2395,325,15124,642,9163,568,5961,479
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15085,316,7392,380,4234,343,3158,295,426,130,2732,286,7693,410,5298,380,2395,284
BK40,Windsor Terrace,9510,205,5467,341,4081,314,1386,237,435,152,951,203,4043,318,3066,291,977,186
BK41,Kensington-Ocean Parkway,12037,287,8026,394,6023,398,2003,292,743,196,1260,242,4011,363,3153,335,858,188
BK42,Flatbush,37482,454,23765,682,12404,620,11361,639,2603,365,8758,588,13717,661,11349,605,2368,355
BK43,Midwood,18430,320,12300,443,9726,451,2574,328,719,193,1855,279,6130,400,5415,383,715,181
BK44,Madison,15022,240,10465,370,8467,377,1998,263,644,165,1354,218,4557,354,4163,335,394,126
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,16432,289,12613,393,9904,409,2709,310,688,161,2021,279,3819,359,3558,354,261,111
BK46,Ocean Parkway South,6607,235,4740,267,3709,256,1031,182,322,115,709,143,1867,209,1689,204,178,84
BK50,Canarsie,27669,396,21561,530,10788,539,10773,540,2134,313,8639,490,6108,430,5386,408,722,166
BK58,Flatlands,23279,315,17775,458,9931,482,7844,461,1347,242,6497,423,5504,397,4965,384,539,134
BK60,Prospect Lefferts Gardens-Wingate,26016,421,16019,620,6628,531,9391,564,1808,329,7583,536,9997,581,8369,554,1628,298
BK61,Crown Heights North,40818,573,22559,735,7881,555,14678,698,2664,392,12014,631,18259,743,14813,698,3446,380
BK63,Crown Heights South,14662,272,8910,420,4601,388,4309,368,927,226,3382,319,5752,394,4764,378,988,225
BK64,Prospect Heights,9394,270,4055,312,2648,267,1407,237,419,153,988,194,5339,362,3304,363,2035,300
BK68,Fort Greene,11560,313,5436,344,2629,264,2807,265,413,158,2394,263,6124,365,4709,353,1415,210
BK69,Clinton Hill,14937,368,6536,439,3781,366,2755,314,516,150,2239,294,8401,461,5615,429,2786,314
