area_id,area_name,c18130001,c18130001_moe,c18130002,c18130002_moe,c18130003,c18130003_moe,c18130004,c18130004_moe,c18130005,c18130005_moe,c18130006,c18130006_moe,c18130007,c18130007_moe,c18130008,c18130008_moe,c18130009,c18130009_moe,c18130010,c18130010_moe,c18130011,c18130011_moe,c18130012,c18130012_moe,c18130013,c18130013_moe,c18130014,c18130014_moe,c18130015,c18130015_moe,c18130016,c18130016_moe,c18130017,c18130017_moe,c18130018,c18130018_moe,c18130019,c18130019_moe,c18130020,c18130020_moe,c18130021,c18130021_moe,c18130022,c18130022_moe
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,48307,1466,12201,843,258,115,5,54,253,115,11943,837,1325,419,10618,796,29482,995,1623,252,218,93,1405,236,27859,975,1713,482,26146,968,6624,475,2282,291,323,113,1959,275,4342,404,221,108,4121,402
BK46,Ocean Parkway South,19483,1094,5532,681,50,41,5,35,45,41,5482,679,773,342,4709,647,11319,702,584,152,138,73,446,134,10735,684,1205,289,9530,693,2632,260,1289,187,332,112,957,166,1343,186,165,71,1178,182
BK50,Canarsie,85476,2070,21067,1105,510,138,136,92,374,123,20557,1098,3590,586,16967,1011,56852,1473,3451,375,992,209,2459,324,53401,1442,6153,708,47248,1498,7557,576,2862,411,949,289,1913,266,4695,409,738,181,3957,377
BK58,Flatlands,70659,1710,16689,932,402,125,55,73,347,119,16287,926,3029,611,13258,800,45544,1239,2472,315,544,158,1928,281,43072,1237,3533,551,39539,1284,8426,494,2786,291,421,121,2365,276,5640,435,365,115,5275,431
BK60,Prospect Lefferts Gardens-Wingate,68604,2199,15028,1114,423,211,55,71,368,203,14605,1104,4325,785,10280,1031,45330,1476,3327,485,1298,351,2029,329,42003,1440,7289,847,34714,1534,8246,655,2984,471,894,287,2090,319,5262,515,871,215,4391,483
BK61,Crown Heights North,99124,2358,22353,1255,635,183,373,150,262,126,21718,1220,8379,943,13339,1039,65897,1753,5823,560,2458,368,3365,419,60074,1720,14067,1134,46007,1644,10874,623,4969,485,1867,303,3102,368,5905,460,1421,251,4484,423
BK63,Crown Heights South,40975,1600,11092,972,172,78,40,47,132,75,10920,965,3054,661,7866,849,25866,1067,1781,289,565,163,1216,244,24085,1074,5180,759,18905,1099,4017,363,1291,208,357,116,934,182,2726,326,547,162,2179,303
BK64,Prospect Heights,20404,948,2950,382,37,41,14,32,23,37,2913,382,429,208,2484,372,15817,770,442,148,151,83,291,122,15375,761,1345,317,14030,729,1637,258,496,142,145,72,351,127,1141,222,219,122,922,205
BK68,Fort Greene,25323,1045,4672,510,181,109,152,104,29,43,4491,497,1714,386,2777,371,18204,789,1461,250,849,197,612,151,16743,801,2655,443,14088,769,2447,258,1103,184,278,89,825,169,1344,250,188,84,1156,237
BK69,Clinton Hill,34864,1415,5871,627,25,42,0,40,25,42,5846,627,1784,414,4062,541,25709,1102,1241,243,475,173,766,170,24468,1102,4550,612,19918,1022,3284,322,1212,213,217,85,995,203,2072,279,178,79,1894,271
BK72,Williamsburg,32628,1528,15676,1186,151,87,67,63,84,68,15525,1163,9499,1136,6026,789,14968,665,841,211,423,148,418,154,14127,684,7385,628,6742,652,1984,237,1161,210,604,169,557,176,823,196,261,113,562,167
BK73,North Side-South Side,45944,1503,8946,876,135,101,78,65,57,92,8811,858,4040,602,4771,713,33780,1101,1910,324,867,230,1043,236,31870,1102,6110,642,25760,1126,3218,378,1299,236,594,165,705,187,1919,314,657,206,1262,254
BK75,Bedford,69607,2011,21305,1129,543,185,337,157,206,110,20762,1118,9756,957,11006,995,43264,1417,4156,470,1617,287,2539,359,39108,1382,10403,812,28705,1387,5038,443,2131,303,775,193,1356,229,2907,357,662,174,2245,315
BK76,Greenpoint,31466,1170,3282,489,69,61,26,59,43,44,3213,483,380,194,2833,456,25483,977,878,194,182,105,696,157,24605,969,2556,463,22049,953,2701,308,1047,186,322,119,725,155,1654,258,384,166,1270,219
BK77,Bushwick North,61633,1916,15379,1025,591,209,374,187,217,101,14788,997,6616,827,8172,836,42665,1430,2746,353,1084,234,1662,276,39919,1443,11017,1017,28902,1460,3589,350,1531,242,630,154,901,197,2058,271,538,159,1520,244
BK78,Bushwick South,70595,2204,17497,1105,692,220,435,178,257,138,16805,1076,6829,863,9976,941,47032,1681,4389,477,1738,297,2651,389,42643,1623,9737,914,32906,1666,6066,462,2519,362,1186,254,1333,240,3547,356,1018,231,2529,311
BK79,Ocean Hill,31722,1393,9189,783,293,127,124,80,169,95,8896,786,3484,576,5412,667,19392,943,2234,361,952,222,1282,254,17158,872,4129,538,13029,869,3141,304,1647,237,462,131,1185,222,1494,225,378,123,1116,196
BK81,Brownsville,54722,1789,16295,1080,622,179,469,159,153,90,15673,1067,7810,1007,7863,750,32970,1203,3255,442,1798,361,1457,257,29715,1166,9889,977,19826,1122,5457,391,1995,285,677,161,1318,250,3462,359,1112,250,2350,285
BK82,East New York,91346,2421,26962,1390,734,204,452,167,282,126,26228,1362,11871,1164,14357,1034,55920,1634,5252,521,2233,360,3019,397,50668,1617,13544,1047,37124,1620,8464,618,3624,463,1156,267,2468,367,4840,458,1215,233,3625,417
