area_id,area_name,b16005a001,b16005a001_moe,b16005a002,b16005a002_moe,b16005a003,b16005a003_moe,b16005a004,b16005a004_moe,b16005a005,b16005a005_moe,b16005a006,b16005a006_moe,b16005a007,b16005a007_moe,b16005a008,b16005a008_moe,b16005a009,b16005a009_moe,b16005a010,b16005a010_moe,b16005a011,b16005a011_moe
BK88,Borough Park,73582,2429,55458,2381,19607,1498,35851,2106,26920,1794,8931,986,18124,1054,2922,443,15202,994,5746,515,9456,806
BK90,East Williamsburg,20071,1034,16076,944,11616,759,4460,679,3358,586,1102,258,3995,566,547,165,3448,557,1055,260,2393,451
BK91,East Flatbush-Farragut,1503,394,1252,351,954,296,298,160,175,142,123,79,251,149,64,78,187,137,32,63,155,131
BK93,Starrett City,4943,681,2410,632,1052,395,1358,516,1091,506,267,139,2533,488,75,82,2458,492,710,449,1748,364
BK95,Erasmus,1035,444,679,285,293,120,386,248,235,220,151,118,356,213,48,80,308,199,35,40,273,189
BK96,Rugby-Remsen Village,1102,350,761,248,382,151,379,203,324,198,55,66,341,187,33,55,308,186,43,66,265,172
BK99,park-cemetery-etc-Brooklyn,258,189,241,188,218,187,23,46,12,40,11,40,17,46,0,40,17,46,0,40,17,46
BX01,Claremont-Bathgate,2549,526,1836,425,506,164,1330,366,875,288,455,173,713,231,58,48,655,218,216,112,439,181
BX03,Eastchester-Edenwald-Baychester,2657,624,2024,487,852,275,1172,377,949,347,223,117,633,334,226,252,407,220,122,94,285,162
BX05,Bedford Park-Fordham North,8192,1050,5372,694,2660,468,2712,499,1984,394,728,209,2820,636,173,95,2647,627,792,247,1855,517
BX06,Belmont,7304,804,5540,663,3464,466,2076,459,1635,424,441,148,1764,377,83,48,1681,375,413,153,1268,314
BX07,Bronxdale,8103,838,4961,601,2273,386,2688,420,1856,339,832,197,3142,637,207,116,2935,614,1129,374,1806,356
BX08,West Farms-Bronx River,4767,736,3574,601,976,311,2598,485,1853,382,745,259,1193,371,165,116,1028,338,346,166,682,239
BX09,Soundview-Castle Hill-Clason Point-Harding Park,8311,1014,7070,886,1881,385,5189,744,3433,582,1756,404,1241,329,101,62,1140,323,183,92,957,301
BX10,Pelham Bay-Country Club-City Island,17991,1123,15122,1050,12577,971,2545,536,2056,515,489,167,2869,569,383,141,2486,568,1131,351,1355,394
BX13,Co-op City,7844,915,6796,961,3849,645,2947,682,1983,599,964,340,1048,309,205,112,843,275,279,157,564,226
BX14,East Concourse-Concourse Village,7968,1200,4827,840,1082,326,3745,740,2804,666,941,229,3141,740,87,86,3054,728,1111,448,1943,521
BX17,East Tremont,6007,899,4423,725,1211,373,3212,605,1939,510,1273,251,1584,461,90,79,1494,450,513,218,981,335
BX22,North Riverdale-Fieldston-Riverdale,18687,1013,15645,969,13665,881,1980,355,1676,318,304,127,3042,402,1161,225,1881,355,1127,241,754,242
BX26,Highbridge,5010,787,2803,533,419,152,2384,493,1541,407,843,212,2207,472,82,65,2125,468,500,221,1625,384
BX27,Hunts Point,6782,799,4606,680,1012,266,3594,567,2075,388,1519,349,2176,436,44,51,2132,426,122,58,2010,417
BX28,Van Cortlandt Village,10884,1016,7067,789,3840,533,3227,560,2400,459,827,231,3817,616,396,126,3421,600,1140,271,2281,447
BX29,Spuyten Duyvil-Kingsbridge,16461,907,12231,736,9851,679,2380,410,1913,358,467,177,4230,563,1039,200,3191,539,1607,334,1584,353
BX30,Kingsbridge Heights,3199,564,2029,378,818,205,1211,286,780,236,431,137,1170,368,157,88,1013,350,282,197,731,279
BX31,Allerton-Pelham Gardens,11258,918,8583,760,5771,655,2812,496,2132,398,680,196,2675,427,426,137,2249,410,937,222,1312,297
BX33,Longwood,3838,672,2798,564,868,339,1930,408,1286,311,644,222,1040,314,62,57,978,298,385,161,593,208
BX34,Melrose South-Mott Haven North,7192,1078,5133,878,1147,398,3986,731,2619,595,1367,329,2059,550,19,50,2040,550,771,415,1269,357
BX35,Morrisania-Melrose,3924,680,2904,593,559,164,2345,561,1443,380,902,393,1020,303,30,43,990,301,308,163,682,216
BX36,University Heights-Morris Heights,6090,879,4239,673,1149,347,3090,565,2480,486,610,205,1851,439,19,52,1832,437,448,163,1384,371
BX37,Van Nest-Morris Park-Westchester Square,10468,924,7996,752,5564,629,2432,426,1907,381,525,149,2472,431,142,73,2330,426,970,235,1360,300
