area_id,area_name,b19202i001,b19202i001_moe
BK09,Brooklyn Heights-Cobble Hill,332712,152788
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,254908,247100
BK19,Brighton Beach,45925,36410
BK21,Seagate-Coney Island,140436,74548
BK25,Homecrest,371417,272857
BK26,Gravesend,118451,54759
BK27,Bath Beach,279111,230138
BK28,Bensonhurst West,703134,273483
BK29,Bensonhurst East,446109,188842
BK30,Dyker Heights,529610,224630
BK31,Bay Ridge,934977,293257
BK32,Sunset Park West,411628,113717
BK33,Carroll Gardens-Columbia Street-Red Hook,629176,398272
BK34,Sunset Park East,243744,100066
BK35,Stuyvesant Heights,429396,141337
BK37,Park Slope-Gowanus,689508,376513
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,289569,184387
BK40,Windsor Terrace,223544,162341
BK41,Kensington-Ocean Parkway,386649,268613
BK42,Flatbush,836004,202089
BK43,Midwood,253649,108343
BK44,Madison,144362,130694
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,153697,193009
BK46,Ocean Parkway South,285039,148411
BK50,Canarsie,516708,281505
BK58,Flatlands,313088,113364
BK60,Prospect Lefferts Gardens-Wingate,286270,92413
BK61,Crown Heights North,609527,358732
BK63,Crown Heights South,391916,297231
BK64,Prospect Heights,216095,167433
BK68,Fort Greene,262126,126024
BK69,Clinton Hill,381635,287707
BK72,Williamsburg,28362,35063
BK73,North Side-South Side,454733,196416
BK75,Bedford,420517,287691
BK76,Greenpoint,575361,180910
BK77,Bushwick North,387551,136021
BK78,Bushwick South,448522,126759
BK79,Ocean Hill,130312,101545
BK81,Brownsville,135107,41607
BK82,East New York,612203,189505
BK83,Cypress Hills-City Line,365218,144300
BK85,East New York (Pennsylvania Ave),243541,153656
BK88,Borough Park,526115,224945
BK90,East Williamsburg,417176,248564
BK91,East Flatbush-Farragut,111887,116901
BK93,Starrett City,21038,8164
BK95,Erasmus,186401,76925
BK96,Rugby-Remsen Village,45636,146728
BX01,Claremont-Bathgate,88326,55632
BX03,Eastchester-Edenwald-Baychester,149314,135296
BX05,Bedford Park-Fordham North,226301,49798
BX06,Belmont,78325,61559
BX07,Bronxdale,95700,38516
BX08,West Farms-Bronx River,105735,38529
BX09,Soundview-Castle Hill-Clason Point-Harding Park,276283,68517
BX10,Pelham Bay-Country Club-City Island,312894,105172
BX13,Co-op City,70683,17237
BX14,East Concourse-Concourse Village,254065,81595
BX17,East Tremont,190536,40008
BX22,North Riverdale-Fieldston-Riverdale,446502,163945
BX26,Highbridge,111752,27480
BX27,Hunts Point,91594,43276
BX28,Van Cortlandt Village,283467,88487
BX29,Spuyten Duyvil-Kingsbridge,407576,105966
BX30,Kingsbridge Heights,156255,44224
BX31,Allerton-Pelham Gardens,582055,299426
BX33,Longwood,55550,7653
BX34,Melrose South-Mott Haven North,144445,20999
BX35,Morrisania-Melrose,118934,25596
BX36,University Heights-Morris Heights,207666,55783
BX37,Van Nest-Morris Park-Westchester Square,387300,136426
BX39,Mott Haven-Port Morris,208521,66113
BX40,Fordham South,72276,17891
BX41,Mount Hope,315737,125085
BX43,Norwood,168170,67835
BX44,Williamsbridge-Olinville,416242,103805
BX46,Parkchester,176483,73274
BX49,Pelham Parkway,369134,152609
BX52,Schuylerville-Throgs Neck-Edgewater Park,633190,149152
BX55,Soundview-Bruckner,201417,60802
BX59,Westchester-Unionport,184287,69986
BX62,Woodlawn-Wakefield,316078,154531
