area_id,area_name,b19202d001,b19202d001_moe
BK09,Brooklyn Heights-Cobble Hill,351138,170479
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,322872,238621
BK19,Brighton Beach,193344,117437
BK21,Seagate-Coney Island,6786,7126
BK25,Homecrest,49250,38828
BK26,Gravesend,370959,204778
BK27,Bath Beach,329467,213945
BK28,Bensonhurst West,816556,363105
BK29,Bensonhurst East,370949,176044
BK30,Dyker Heights,234265,186305
BK31,Bay Ridge,1337120,410672
BK32,Sunset Park West,193989,256938
BK33,Carroll Gardens-Columbia Street-Red Hook,640513,201234
BK34,Sunset Park East,452738,208570
BK35,Stuyvesant Heights,267704,249679
BK37,Park Slope-Gowanus,1463201,457447
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,863127,238319
BK40,Windsor Terrace,211629,261225
BK41,Kensington-Ocean Parkway,287036,95648
BK42,Flatbush,546611,264592
BK43,Midwood,178927,155642
BK44,Madison,249071,163895
BK46,Ocean Parkway South,9453,35572
BK50,Canarsie,53504,79998
BK58,Flatlands,13071,61237
BK60,Prospect Lefferts Gardens-Wingate,174237,100975
BK61,Crown Heights North,244493,129879
BK64,Prospect Heights,590561,285168
BK68,Fort Greene,380482,164387
BK69,Clinton Hill,321895,233309
BK73,North Side-South Side,998706,490291
BK75,Bedford,405097,167832
BK76,Greenpoint,329710,107447
BK77,Bushwick North,157048,264743
BK78,Bushwick South,257782,100559
BK79,Ocean Hill,24342,43194
BK81,Brownsville,64438,17411
BK82,East New York,150500,160664
BK85,East New York (Pennsylvania Ave),12500,9645
BK88,Borough Park,233266,191984
BK90,East Williamsburg,698701,216896
BK93,Starrett City,7250,6743
BK95,Erasmus,50688,156327
BX05,Bedford Park-Fordham North,156389,324017
BX06,Belmont,38661,35040
BX07,Bronxdale,205858,97428
BX10,Pelham Bay-Country Club-City Island,137456,115069
BX13,Co-op City,43500,19461
BX22,North Riverdale-Fieldston-Riverdale,136091,121050
BX28,Van Cortlandt Village,86250,67417
BX29,Spuyten Duyvil-Kingsbridge,304201,161220
BX30,Kingsbridge Heights,143137,54135
BX31,Allerton-Pelham Gardens,121142,42469
