area_id,area_name,b16005b001,b16005b001_moe,b16005b002,b16005b002_moe,b16005b003,b16005b003_moe,b16005b004,b16005b004_moe,b16005b005,b16005b005_moe,b16005b006,b16005b006_moe,b16005b007,b16005b007_moe,b16005b008,b16005b008_moe,b16005b009,b16005b009_moe,b16005b010,b16005b010_moe,b16005b011,b16005b011_moe
BK09,Brooklyn Heights-Cobble Hill,1264,343,877,213,816,209,61,49,61,49,0,29,387,233,336,228,51,47,28,40,23,38
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4227,677,3526,642,3128,613,398,282,355,272,43,67,701,271,199,121,502,244,347,222,155,101
BK19,Brighton Beach,434,206,279,134,256,127,23,56,23,56,0,38,155,112,19,42,136,109,93,96,43,61
BK21,Seagate-Coney Island,10231,1006,8821,976,8457,965,364,184,275,147,89,79,1410,334,613,209,797,287,303,167,494,191
BK23,West Brighton,168,112,103,85,88,82,15,33,15,33,0,27,65,72,50,69,15,33,0,27,15,33
BK25,Homecrest,462,269,350,254,350,254,0,48,0,48,0,48,112,98,39,55,73,94,27,65,46,68
BK26,Gravesend,2280,543,1981,558,1902,546,79,89,79,89,0,36,299,212,87,77,212,202,62,83,150,187
BK27,Bath Beach,620,398,536,393,518,392,18,47,18,47,0,40,84,77,55,74,29,43,29,43,0,40
BK28,Bensonhurst West,695,214,499,174,347,150,152,105,127,105,25,64,196,113,128,101,68,81,44,70,24,69
BK29,Bensonhurst East,613,245,443,192,409,181,34,59,22,57,12,53,170,110,87,89,83,82,16,52,67,78
BK30,Dyker Heights,478,209,296,168,207,148,89,93,80,90,9,51,182,118,62,58,120,111,13,53,107,110
BK31,Bay Ridge,1554,358,1123,321,990,314,133,82,116,81,17,64,431,161,214,116,217,125,130,95,87,88
BK32,Sunset Park West,2669,443,1669,304,1100,252,569,186,295,105,274,131,1000,271,489,195,511,181,138,101,373,157
BK33,Carroll Gardens-Columbia Street-Red Hook,4619,609,3783,598,3546,595,237,150,212,136,25,50,836,359,546,245,290,278,183,205,107,89
BK34,Sunset Park East,1902,526,1296,391,970,318,326,229,269,221,57,85,606,262,391,220,215,149,165,111,50,80
BK35,Stuyvesant Heights,44900,1844,36503,1671,34433,1638,2070,446,1719,411,351,146,8397,912,6512,795,1885,420,1188,309,697,240
BK37,Park Slope-Gowanus,4834,754,3614,617,3205,584,409,219,336,205,73,71,1220,334,537,173,683,285,311,144,372,237
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8184,790,7237,780,6746,760,491,264,411,246,80,75,947,263,455,161,492,210,150,84,342,195
BK40,Windsor Terrace,1399,427,903,361,845,348,58,97,58,97,0,32,496,205,293,138,203,125,89,70,114,100
BK41,Kensington-Ocean Parkway,2716,605,1394,329,1191,309,203,85,141,69,62,50,1322,444,767,325,555,291,210,179,345,202
BK42,Flatbush,49826,2018,22895,1411,18967,1315,3928,597,3061,528,867,259,26931,1574,14134,1290,12797,1179,5901,752,6896,752
BK43,Midwood,2574,539,1410,336,1222,293,188,200,171,199,17,53,1164,386,695,220,469,317,123,112,346,296
BK44,Madison,402,223,267,163,242,159,25,59,25,59,0,46,135,99,44,56,91,94,80,90,11,48
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,5384,821,2862,618,2461,595,401,186,369,165,32,74,2522,456,1748,373,774,284,249,144,525,225
BK46,Ocean Parkway South,144,80,80,55,57,51,23,42,23,42,0,36,64,51,47,49,17,37,0,36,17,37
BK50,Canarsie,68017,1990,32291,1397,27804,1322,4487,615,3952,562,535,230,35726,1427,24651,1257,11075,1064,4713,537,6362,888
BK58,Flatlands,48348,1640,23025,1184,19878,1153,3147,460,2330,382,817,251,25323,1180,16149,1030,9174,913,3372,463,5802,718
BK60,Prospect Lefferts Gardens-Wingate,51444,2098,23237,1417,20773,1357,2464,521,2135,483,329,160,28207,1625,19675,1466,8532,1036,4209,682,4323,680
BK61,Crown Heights North,72176,2154,45805,1805,43488,1791,2317,411,1757,355,560,186,26371,1520,21046,1397,5325,738,3311,585,2014,402
BK63,Crown Heights South,25921,1368,14219,1189,12482,1057,1737,614,1504,594,233,133,11702,955,7585,844,4117,737,1660,381,2457,602
BK64,Prospect Heights,5666,714,3851,614,3693,604,158,109,75,69,83,76,1815,397,1226,282,589,289,439,271,150,97
BK68,Fort Greene,11109,823,8854,669,8410,644,444,183,298,134,146,129,2255,498,1540,382,715,311,306,143,409,227
BK69,Clinton Hill,14575,1040,11732,939,11175,933,557,179,459,169,98,58,2843,463,1737,363,1106,286,736,212,370,136
BK72,Williamsburg,857,181,764,170,725,171,39,54,39,54,0,36,93,69,29,44,64,62,27,54,37,47
BK73,North Side-South Side,2397,518,1861,439,1334,343,527,242,394,203,133,95,536,207,71,71,465,201,70,77,395,189
BK75,Bedford,35388,1612,27987,1469,26305,1435,1682,431,1386,382,296,155,7401,829,5375,689,2026,515,1044,287,982,401
BK76,Greenpoint,281,119,214,107,203,107,11,44,11,44,0,42,67,59,40,51,27,51,27,51,0,42
BK77,Bushwick North,7257,1032,4605,749,3482,664,1123,364,1008,344,115,98,2652,618,921,266,1731,558,344,136,1387,540
BK78,Bushwick South,21254,1475,15693,1192,14120,1132,1573,363,1128,322,445,161,5561,784,3505,613,2056,519,870,241,1186,358
BK79,Ocean Hill,23696,1255,17003,1120,16235,1088,768,291,578,259,190,101,6693,741,5163,663,1530,398,1145,354,385,178
BK81,Brownsville,42173,1513,30295,1407,28581,1400,1714,515,1421,480,293,186,11878,938,9933,870,1945,402,1054,287,891,228
BK82,East New York,60178,2101,41795,1762,39515,1778,2280,411,1855,369,425,161,18383,1330,14676,1249,3707,585,2530,465,1177,281
BK83,Cypress Hills-City Line,11949,1184,5600,715,4909,685,691,235,579,203,112,111,6349,904,4180,718,2169,598,1431,462,738,307
BK85,East New York (Pennsylvania Ave),19873,1122,12852,990,12144,963,708,238,584,221,124,89,7021,791,5752,731,1269,335,894,265,375,143
BK88,Borough Park,829,248,419,141,359,126,60,81,33,71,27,70,410,207,78,81,332,202,234,187,98,101
BK90,East Williamsburg,3195,508,2847,456,2608,431,239,113,171,101,68,60,348,181,184,141,164,118,42,61,122,106
BK91,East Flatbush-Farragut,45777,1631,19812,1256,17551,1237,2261,426,1844,351,417,195,25965,1209,19479,1148,6486,853,2829,451,3657,617
BK93,Starrett City,5906,810,4884,823,4439,775,445,345,445,345,0,24,1022,309,582,215,440,232,373,223,67,59
BK95,Erasmus,24280,1247,9654,842,8206,771,1448,401,1245,386,203,102,14626,941,9891,900,4735,737,2547,508,2188,439
BK96,Rugby-Remsen Village,48700,1661,21681,1231,20539,1206,1142,275,979,260,163,93,27019,1298,23007,1268,4012,593,2047,395,1965,404
BK99,park-cemetery-etc-Brooklyn,95,130,95,130,95,130,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,13362,1101,10429,975,8825,917,1604,513,1218,395,386,187,2933,578,817,267,2116,532,965,319,1151,372
BX03,Eastchester-Edenwald-Baychester,25030,1623,13549,1179,12777,1163,772,252,687,235,85,72,11481,1195,9517,1105,1964,682,1331,469,633,361
BX05,Bedford Park-Fordham North,10303,1079,6450,841,5346,793,1104,337,991,304,113,109,3853,739,1408,369,2445,700,1321,476,1124,389
BX06,Belmont,5049,684,3722,546,3363,529,359,141,325,133,34,48,1327,363,576,215,751,314,381,202,370,179
BX07,Bronxdale,10388,882,6506,678,5644,615,862,302,759,287,103,85,3882,622,2946,524,936,325,479,195,457,206
BX08,West Farms-Bronx River,10056,1095,6620,803,5530,755,1090,319,882,289,208,143,3436,620,1480,420,1956,489,690,227,1266,378
BX09,Soundview-Castle Hill-Clason Point-Harding Park,19665,1250,15675,1122,14366,1086,1309,344,1029,297,280,116,3990,668,2014,444,1976,538,1287,406,689,229
BX10,Pelham Bay-Country Club-City Island,679,256,538,235,421,204,117,117,117,117,0,34,141,107,110,102,31,46,30,46,1,29
BX13,Co-op City,27235,1626,19759,1632,18758,1637,1001,426,889,410,112,93,7476,995,5654,790,1822,618,1268,510,554,220
BX14,East Concourse-Concourse Village,25304,1597,17424,1391,14556,1229,2868,641,2308,570,560,208,7880,880,3142,618,4738,721,2099,427,2639,539
BX17,East Tremont,12671,1013,9073,878,7403,782,1670,374,1441,359,229,102,3598,595,853,299,2745,529,1435,349,1310,346
BX22,North Riverdale-Fieldston-Riverdale,2168,389,1647,337,1421,321,226,105,217,99,9,39,521,166,384,145,137,86,41,43,96,76
BX26,Highbridge,13574,1109,9040,913,7400,855,1640,412,1362,370,278,157,4534,673,1515,413,3019,579,1356,360,1663,408
BX27,Hunts Point,6958,806,5861,779,4995,739,866,238,739,227,127,74,1097,263,297,106,800,228,296,131,504,179
BX28,Van Cortlandt Village,10638,916,6789,765,5472,717,1317,378,1219,369,98,66,3849,597,972,261,2877,570,2004,488,873,251
BX29,Spuyten Duyvil-Kingsbridge,2396,404,1771,325,1585,279,186,126,103,71,83,76,625,250,340,181,285,167,124,104,161,94
BX30,Kingsbridge Heights,6655,931,4728,799,4131,764,597,234,571,230,26,41,1927,515,884,280,1043,437,714,411,329,133
BX31,Allerton-Pelham Gardens,10888,1017,6025,711,5611,696,414,153,374,147,40,52,4863,721,4011,677,852,386,687,345,165,100
BX33,Longwood,7495,858,6071,782,4874,696,1197,389,873,323,324,159,1424,302,284,139,1140,274,543,190,597,175
BX34,Melrose South-Mott Haven North,13136,1270,10209,1034,7672,883,2537,648,2195,618,342,143,2927,713,657,257,2270,662,1366,576,904,284
BX35,Morrisania-Melrose,14350,1079,10514,988,8906,966,1608,439,1388,425,220,108,3836,605,1212,371,2624,522,991,285,1633,375
BX36,University Heights-Morris Heights,17321,1223,12071,1091,10521,1042,1550,400,1421,384,129,97,5250,762,1956,428,3294,634,1422,356,1872,459
BX37,Van Nest-Morris Park-Westchester Square,2884,628,2002,456,1802,441,200,101,186,97,14,43,882,368,496,180,386,317,80,62,306,309
BX39,Mott Haven-Port Morris,16756,1269,13662,1043,11180,900,2482,523,1881,473,601,182,3094,588,604,253,2490,539,369,145,2121,503
BX40,Fordham South,8155,970,5790,824,4672,747,1118,313,991,283,127,91,2365,506,605,218,1760,462,903,330,857,291
BX41,Mount Hope,15286,1116,9249,811,7209,717,2040,444,1603,355,437,193,6037,823,1514,357,4523,776,2752,569,1771,397
BX43,Norwood,8836,1077,5860,755,4984,718,876,251,653,203,223,142,2976,735,1898,626,1078,394,474,241,604,277
BX44,Williamsbridge-Olinville,42226,1755,23218,1341,21654,1292,1564,398,1314,368,250,145,19008,1208,15214,1074,3794,623,2705,508,1089,312
BX46,Parkchester,14099,1120,9867,1024,9153,980,714,258,636,245,78,62,4232,756,2832,627,1400,429,892,328,508,237
BX49,Pelham Parkway,2954,477,1939,402,1758,399,181,87,150,81,31,48,1015,274,663,212,352,148,226,111,126,97
BX52,Schuylerville-Throgs Neck-Edgewater Park,4885,922,4136,748,3105,546,1031,476,914,421,117,103,749,305,419,192,330,237,128,105,202,195
BX55,Soundview-Bruckner,10002,1024,6691,810,5429,723,1262,372,1065,335,197,121,3311,692,1635,440,1676,551,467,181,1209,502
BX59,Westchester-Unionport,4827,909,3826,850,3324,819,502,246,377,175,125,100,1001,298,470,164,531,243,283,154,248,151
BX62,Woodlawn-Wakefield,27622,1396,13684,1079,13078,1072,606,186,551,178,55,57,13938,1032,12407,973,1531,475,1279,452,252,110
BX63,West Concourse,10645,1053,5872,746,4343,605,1529,387,1243,340,286,162,4773,745,1225,378,3548,657,1721,445,1827,426
BX75,Crotona Park East,5042,623,3581,509,3267,503,314,132,215,111,99,67,1461,375,569,204,892,305,605,250,287,149
BX98,Rikers Island,5706,511,5277,445,5169,437,108,54,39,34,69,39,429,133,330,121,99,57,0,17,99,57
BX99,park-cemetery-etc-Bronx,394,125,248,107,193,94,55,49,52,49,3,30,146,77,19,37,127,76,119,76,8,31
MN01,Marble Hill-Inwood,5757,775,3848,598,3334,537,514,186,430,174,84,71,1909,485,379,186,1530,445,450,228,1080,355
MN03,Central Harlem North-Polo Grounds,50811,1943,43522,1847,40728,1799,2794,534,2427,503,367,154,7289,988,2792,538,4497,780,2265,462,2232,565
MN04,Hamilton Heights,20833,1432,15992,1312,13587,1228,2405,593,2206,585,199,109,4841,798,1286,372,3555,710,1639,498,1916,516
MN06,Manhattanville,8274,900,6158,779,5336,724,822,263,783,256,39,48,2116,525,481,210,1635,482,622,236,1013,346
MN09,Morningside Heights,7933,939,6312,748,5410,654,902,334,720,309,182,145,1621,510,248,158,1373,496,570,285,803,375
MN11,Central Harlem South,26047,1382,21075,1303,19335,1303,1740,444,1488,415,252,144,4972,633,2056,437,2916,540,1282,309,1634,406
MN12,Upper West Side,14752,1307,11763,1186,9640,1055,2123,532,1600,472,523,196,2989,579,1109,316,1880,485,713,263,1167,371
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,3841,600,3234,525,2932,507,302,144,245,133,57,60,607,243,325,189,282,148,141,122,141,97
MN14,Lincoln Square,2485,633,2322,615,1820,558,502,305,489,306,13,51,163,138,83,88,80,87,27,59,53,80
MN15,Clinton,3198,517,2371,427,2207,415,164,129,133,121,31,54,827,277,251,119,576,255,344,206,232,133
MN17,Midtown-Midtown South,1294,280,1113,269,1042,257,71,76,71,76,0,51,181,94,82,77,99,68,66,62,33,54
MN19,Turtle Bay-East Midtown,1043,300,820,260,668,243,152,128,128,119,24,67,223,120,44,53,179,115,142,104,37,66
MN20,Murray Hill-Kips Bay,2121,634,1841,608,1782,604,59,67,29,51,30,61,280,169,121,101,159,141,97,94,62,110
MN21,Gramercy,826,266,659,233,513,201,146,113,98,97,48,64,167,116,121,107,46,47,31,38,15,36
MN22,East Village,2671,656,2499,644,2412,633,87,64,73,57,14,42,172,115,123,94,49,79,10,43,39,63
MN23,West Village,1287,290,984,247,867,232,117,83,102,81,15,59,303,151,215,129,88,97,60,75,28,65
MN24,SoHo-TriBeCa-Civic Center-Little Italy,873,269,756,264,716,261,40,56,39,58,1,40,117,88,117,88,0,42,0,42,0,42
MN25,Battery Park City-Lower Manhattan,1180,341,869,311,791,244,78,96,58,69,20,54,311,163,202,141,109,81,57,54,52,71
MN27,Chinatown,2007,389,1825,379,1653,351,172,106,137,92,35,54,182,98,102,79,80,63,60,64,20,41
MN28,Lower East Side,7341,1038,6230,956,5415,899,815,305,568,214,247,215,1111,317,433,156,678,280,227,117,451,244
MN31,Lenox Hill-Roosevelt Island,3543,716,2384,593,2170,581,214,121,157,113,57,67,1159,397,635,252,524,288,312,185,212,160
MN32,Yorkville,2637,514,2184,473,1871,472,313,151,195,114,118,111,453,233,188,147,265,189,200,175,65,77
MN33,East Harlem South,16788,1194,14317,1059,12028,988,2289,523,1799,454,490,169,2471,541,914,268,1557,475,653,241,904,314
MN34,East Harlem North,22541,1539,20063,1443,17248,1368,2815,678,2356,631,459,163,2478,498,1009,322,1469,398,723,251,746,257
MN35,Washington Heights North,5712,893,3340,528,2493,438,847,296,596,238,251,158,2372,652,846,380,1526,539,263,131,1263,507
MN36,Washington Heights South,16075,1388,10274,944,7736,766,2538,497,1948,429,590,212,5801,933,1531,541,4270,779,968,259,3302,698
MN40,Upper East Side-Carnegie Hill,796,293,554,215,438,188,116,99,60,65,56,92,242,132,46,70,196,124,169,122,27,56
MN50,Stuyvesant Town-Cooper Village,1005,373,658,285,628,285,30,41,30,41,0,22,347,195,234,167,113,124,113,124,0,22
MN99,park-cemetery-etc-Manhattan,838,384,758,351,728,332,30,46,11,34,19,43,80,70,43,55,37,58,19,40,18,41
QN01,South Jamaica,24123,1279,17512,1164,16798,1185,714,213,662,202,52,63,6611,735,5134,662,1477,360,709,228,768,240
QN02,Springfield Gardens North,23304,1449,16201,1386,15637,1396,564,256,471,235,93,75,7103,943,5364,874,1739,496,1008,315,731,271
QN03,Springfield Gardens South-Brookville,16441,939,9506,796,8948,790,558,222,500,215,58,51,6935,724,5034,655,1901,492,1193,308,708,314
QN05,Rosedale,22280,1503,11482,1020,9634,928,1848,451,1792,449,56,57,10798,1025,6951,840,3847,797,2831,708,1016,287
QN06,Jamaica Estates-Holliswood,6502,735,4081,599,3535,608,546,221,448,197,98,83,2421,407,1163,302,1258,324,763,257,495,191
QN07,Hollis,13163,910,7340,727,6919,735,421,142,365,134,56,57,5823,644,3695,535,2128,477,1106,335,1022,281
QN08,St. Albans,43295,1469,27577,1280,26310,1266,1267,282,1156,271,111,84,15718,1163,12667,1058,3051,631,2008,493,1043,296
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2196,498,1616,439,1506,425,110,83,74,65,36,57,580,221,377,188,203,113,149,93,54,65
QN12,Hammels-Arverne-Edgemere,20286,1340,15642,1145,14647,1119,995,346,843,328,152,114,4644,777,2781,503,1863,584,840,328,1023,406
QN15,Far Rockaway-Bayswater,21972,1611,14567,1359,13706,1340,861,344,659,268,202,137,7405,988,5437,862,1968,554,872,290,1096,483
QN17,Forest Hills,2178,552,1483,449,1350,441,133,102,120,100,13,66,695,264,460,185,235,202,149,125,86,110
