area_id,area_name,b08136001,b08136001_moe,b08136002,b08136002_moe,b08136003,b08136003_moe,b08136004,b08136004_moe,b08136005,b08136005_moe,b08136006,b08136006_moe,b08136007,b08136007_moe,b08136008,b08136008_moe,b08136009,b08136009_moe,b08136010,b08136010_moe,b08136011,b08136011_moe,b08136012,b08136012_moe
BK30,Dyker Heights,105920,16992,14780,6461,9650,4247,5130,4925,1425,1083,3705,4689,80925,15879,9665,9734,68050,13730,3210,3224,1775,1386,8440,8948
BK40,Windsor Terrace,62220,8012,11130,3793,8645,3469,2485,1356,2040,1268,445,550,45600,7711,1315,1259,42795,7791,1490,1432,2980,2498,2510,1923
BK41,Kensington-Ocean Parkway,186090,22875,36505,10780,28165,9803,8340,5451,2115,1633,6225,5254,131060,20174,27560,8881,100430,18838,3070,2623,9990,3589,8535,4510
BK42,Flatbush,176140,19987,22575,6660,15490,4864,7085,4136,3815,3251,3270,2461,148980,19745,19040,6382,122115,18661,7825,5422,2080,1647,2505,1649
BK73,North Side-South Side,50195,8033,9085,3565,5175,2617,3910,1968,2750,2119,1160,754,31975,7253,4970,3811,23015,5343,3990,2972,5635,1720,3500,2325
BK95,Erasmus,112235,16403,19835,5518,9230,3714,10605,5124,7060,4613,3545,2837,89150,15038,23865,8236,62315,13589,2970,2969,1210,1032,2040,1346
BX13,Co-op City,594475,57990,163785,29474,134170,24054,29615,13744,17680,8426,11935,9343,414570,55732,208495,36319,195850,49695,10225,9804,14330,5184,1790,1435
BX29,Spuyten Duyvil-Kingsbridge,191810,20215,59195,13910,43975,11879,15220,7055,9585,6035,5635,3337,125325,18131,43820,12627,56740,12613,24770,8178,2285,1418,5005,4055
BX41,Mount Hope,76805,14042,23180,7984,10200,5074,12980,8077,2520,2626,10460,7419,49735,11379,9770,6058,34825,11603,5140,2885,2745,1999,1145,923
BX46,Parkchester,159690,24508,30595,14452,16115,5677,14480,13963,1650,1854,12830,13917,123115,21696,15620,9056,101750,20586,5745,5324,2980,2768,3000,3579
BX62,Woodlawn-Wakefield,118475,21724,43560,9930,36090,8979,7470,5957,5430,5205,2040,2822,71460,20124,16700,6786,47740,16501,7020,7629,2075,2326,1380,1295
MN01,Marble Hill-Inwood,364025,36437,55525,13119,30895,9130,24630,9579,11710,6808,12920,7281,284730,32908,51140,16629,214415,31283,19175,11034,13400,6586,10370,12771
MN04,Hamilton Heights,169870,30212,14125,7675,7240,4317,6885,6432,5040,6624,1845,1474,150610,29573,18555,8415,128600,29226,3455,2842,2575,1530,2560,2808
MN27,Chinatown,136210,22370,22100,7335,14445,6469,7655,5079,1470,1743,6185,4625,80580,18978,10795,6172,61325,14416,8460,9957,27765,6151,5765,4441
MN31,Lenox Hill-Roosevelt Island,421750,39306,56795,15244,43580,14240,13215,5364,7475,4184,5740,2744,290745,33569,54280,11288,220355,31024,16110,9625,49080,9685,25145,9683
MN35,Washington Heights North,121355,20723,16420,6518,10075,4915,6345,4057,1710,1788,4635,3647,98830,19919,20510,9575,75440,17096,2880,3461,4330,2065,1775,1798
MN36,Washington Heights South,444315,56442,52710,13870,26195,8174,26520,10159,16890,9211,9630,4728,373620,54121,80830,21268,286660,50428,6130,4730,14085,3743,3895,2374
QN05,Rosedale,371365,38595,167995,24154,144290,23904,23705,10356,15980,7722,7725,5829,191800,36032,82595,24640,90635,28328,18570,9734,3295,2682,8275,5079
QN08,St. Albans,67755,9917,33370,8423,29320,7897,4050,2825,2110,1563,1940,2367,30220,6929,15835,4556,10390,5446,3995,2957,1555,1073,2610,2420
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,67595,10977,37570,6512,33530,6427,4040,2079,2535,1528,1505,1419,29140,9781,4170,4084,23490,9433,1480,1351,460,397,430,369
QN17,Forest Hills,126190,18699,23700,7502,15405,5541,8295,5329,6825,4947,1470,1728,97305,16949,4955,3530,87910,17134,4440,5705,1685,1257,3500,3539
QN22,Flushing,564500,54454,150485,26779,86850,18048,63635,19600,19455,10767,44180,16255,378235,42403,106420,24826,256855,34939,14960,7094,22310,8342,13465,6400
QN25,Corona,260040,31599,59305,18683,47170,15975,12135,8762,5940,4214,6195,5598,187285,28774,49175,17267,127430,24504,10680,9265,6860,3134,6590,6002
QN26,North Corona,462280,54360,55275,13823,32210,10341,23065,9395,8850,4782,14215,8060,390085,52813,45085,12232,340190,50830,4810,3294,10380,4293,6545,4048
QN29,Elmhurst,93750,15201,24660,6733,16060,4971,8600,4770,7445,4696,1155,1272,64790,11753,9000,5186,52295,11115,3495,2669,2660,2082,1640,1703
QN31,Hunters Point-Sunnyside-West Maspeth,225720,20726,42180,9793,26355,7056,15825,7170,7850,5261,7975,5123,175160,20984,15715,5497,156065,20457,3380,2366,5295,3189,3085,2127
QN41,Fresh Meadows-Utopia,184550,34021,84365,25598,58620,12510,25745,22595,20535,19726,5210,5578,93915,22547,40880,18446,44985,16017,8050,7644,1300,1035,4970,5404
QN42,Oakland Gardens,126490,17425,63105,9284,45250,9459,17855,7617,12105,6946,5750,5080,59680,16890,26980,11804,26310,13281,6390,5596,2270,1658,1430,1486
QN50,Elmhurst-Maspeth,101210,18827,28615,7913,23680,7786,4935,2691,3635,2467,1300,1210,65530,17681,7520,4212,56920,16913,1090,982,5340,3506,1720,1452
QN55,South Ozone Park,82100,16903,30660,6817,23815,5869,6845,4815,4265,3244,2580,2400,50490,17767,12975,9449,34305,14123,3210,5287,230,303,720,1163
QN56,Ozone Park,116005,16815,45290,8872,35605,8219,9685,5103,7935,4965,1750,2002,66285,15209,9915,7158,52005,14233,4365,4580,2410,2931,2020,2569
QN60,Kew Gardens,67615,15481,25145,12123,15040,7525,10105,9958,4280,4022,5825,9361,39675,12966,10180,6192,28215,9633,1280,1134,1345,1003,1450,1226
QN61,Jamaica,114170,17134,23395,7619,14695,5269,8700,5800,5565,5089,3135,2379,87115,16302,30490,11136,50595,13928,6030,4659,2150,1312,1510,1937
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,110065,17512,66410,13722,58775,13444,7635,4400,2595,1204,5040,4498,41880,17133,24305,13606,3690,3519,13885,10197,410,487,1365,2064
SI08,Grymes Hill-Clifton-Fox Hills,217525,29355,68115,14442,54060,13308,14055,6280,11320,4995,2735,3180,141725,29300,55020,16389,33065,18344,53640,18777,1690,1333,5995,5667
