area_id,area_name,b19001f001,b19001f001_moe,b19001f002,b19001f002_moe,b19001f003,b19001f003_moe,b19001f004,b19001f004_moe,b19001f005,b19001f005_moe,b19001f006,b19001f006_moe,b19001f007,b19001f007_moe,b19001f008,b19001f008_moe,b19001f009,b19001f009_moe,b19001f010,b19001f010_moe,b19001f011,b19001f011_moe,b19001f012,b19001f012_moe,b19001f013,b19001f013_moe,b19001f014,b19001f014_moe,b19001f015,b19001f015_moe,b19001f016,b19001f016_moe,b19001f017,b19001f017_moe
BK09,Brooklyn Heights-Cobble Hill,190,134,0,29,6,28,0,29,17,39,29,52,0,29,43,73,11,31,0,29,0,29,52,88,0,29,0,29,0,29,0,29,32,55
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,325,159,133,119,0,55,14,58,0,55,42,68,65,95,27,69,0,55,0,55,31,61,0,55,13,57,0,55,0,55,0,55,0,55
BK19,Brighton Beach,147,94,15,44,0,38,0,38,3,37,28,57,18,42,0,38,29,58,0,38,32,53,0,38,0,38,22,50,0,38,0,38,0,38
BK21,Seagate-Coney Island,924,229,175,99,167,124,55,57,116,89,20,46,38,67,100,79,28,50,65,70,32,51,10,39,96,84,0,38,0,38,22,51,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,315,136,27,64,0,48,21,56,69,81,40,61,33,59,0,48,34,68,0,48,41,79,24,53,0,48,26,52,0,48,0,48,0,48
BK26,Gravesend,543,159,69,72,182,128,52,81,42,73,0,36,26,41,0,36,0,36,35,63,40,47,45,56,22,56,6,35,0,36,0,36,24,42
BK27,Bath Beach,429,173,77,102,0,40,0,40,0,40,0,40,33,52,99,105,0,40,19,50,63,68,49,55,33,48,40,71,0,40,0,40,16,44
BK28,Bensonhurst West,1019,236,106,97,45,81,7,63,106,95,104,96,89,95,93,99,19,66,29,76,60,93,189,115,134,100,0,64,38,77,0,64,0,64
BK29,Bensonhurst East,633,175,30,60,33,57,43,68,84,68,0,51,89,89,52,75,12,52,56,65,81,74,70,74,33,63,0,51,50,75,0,51,0,51
