area_id,area_name,b18104001,b18104001_moe,b18104002,b18104002_moe,b18104003,b18104003_moe,b18104004,b18104004_moe,b18104005,b18104005_moe,b18104006,b18104006_moe,b18104007,b18104007_moe,b18104008,b18104008_moe,b18104009,b18104009_moe,b18104010,b18104010_moe,b18104011,b18104011_moe,b18104012,b18104012_moe,b18104013,b18104013_moe,b18104014,b18104014_moe,b18104015,b18104015_moe,b18104016,b18104016_moe,b18104017,b18104017_moe,b18104018,b18104018_moe,b18104019,b18104019_moe,b18104020,b18104020_moe,b18104021,b18104021_moe,b18104022,b18104022_moe,b18104023,b18104023_moe,b18104024,b18104024_moe,b18104025,b18104025_moe,b18104026,b18104026_moe,b18104027,b18104027_moe,b18104028,b18104028_moe,b18104029,b18104029_moe,b18104030,b18104030_moe,b18104031,b18104031_moe,b18104032,b18104032_moe,b18104033,b18104033_moe
BK09,Brooklyn Heights-Cobble Hill,21960,1113,11096,750,866,252,24,41,842,250,3953,461,113,89,3840,456,4948,433,45,42,4903,430,845,173,18,31,827,172,484,147,14,29,470,145,10864,606,602,176,7,30,595,175,4051,418,150,115,3901,398,4659,404,67,55,4592,404,765,171,9,30,756,171,787,217,59,73,728,205
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,58149,1488,27122,951,4350,497,92,92,4258,493,5822,525,99,64,5723,523,12460,565,509,148,11951,559,2281,282,189,89,2092,273,2209,269,570,147,1639,233,31027,1004,3795,464,45,61,3750,462,6662,543,179,106,6483,536,13848,597,567,160,13281,589,2956,299,359,123,2597,278,3766,377,1070,224,2696,308
BK19,Brighton Beach,29964,1186,13596,739,1767,298,28,48,1739,293,3586,463,79,64,3507,461,5774,438,240,110,5534,428,1026,187,206,86,820,169,1443,223,812,205,631,137,16368,736,1921,347,0,38,1921,347,3141,392,10,37,3131,392,7007,442,345,139,6662,439,1745,246,530,143,1215,208,2554,288,1413,249,1141,192
BK21,Seagate-Coney Island,28057,1180,12916,820,2553,437,194,133,2359,424,3303,541,115,82,3188,541,4764,447,412,181,4352,425,1281,240,182,99,1099,222,1015,226,325,139,690,180,15141,721,2553,377,39,52,2514,369,2737,388,40,53,2697,386,6490,419,461,144,6029,409,1744,270,191,82,1553,264,1617,236,569,156,1048,197
BK23,West Brighton,15039,651,6396,435,567,145,13,31,554,142,796,198,54,57,742,188,2624,353,162,84,2462,349,1364,264,46,40,1318,264,1045,198,172,88,873,181,8643,455,349,139,0,27,349,139,1069,234,0,27,1069,234,3668,366,220,113,3448,355,1707,276,258,99,1449,257,1850,266,421,149,1429,247
BK25,Homecrest,39295,1320,19531,819,3921,461,113,81,3808,456,4748,480,78,60,4670,477,7879,444,239,91,7640,445,1642,242,97,64,1545,236,1341,196,184,69,1157,192,19764,730,3617,433,36,52,3581,432,4641,391,6,46,4635,391,7521,422,233,90,7288,421,2117,259,216,90,1901,248,1868,231,403,125,1465,202
BK26,Gravesend,26323,1155,12000,672,1685,334,51,56,1634,331,2827,386,101,62,2726,378,4724,377,206,112,4518,362,1527,284,36,42,1491,283,1237,229,371,128,866,197,14323,744,2082,408,28,41,2054,410,2912,356,15,42,2897,354,5852,390,359,116,5493,392,1976,293,139,70,1837,282,1501,239,569,157,932,188
BK27,Bath Beach,27293,1135,13268,731,1964,360,18,42,1946,360,3578,471,24,41,3554,471,5525,391,235,93,5290,390,1237,203,55,45,1182,198,964,176,171,77,793,165,14025,627,1919,283,5,39,1914,282,3361,386,59,58,3302,377,5894,417,223,99,5671,410,1511,225,102,75,1409,215,1340,206,224,72,1116,200
BK28,Bensonhurst West,81321,2036,39403,1278,6409,568,60,73,6349,568,10932,848,89,81,10843,845,16655,679,494,154,16161,667,3018,324,138,79,2880,319,2389,305,385,128,2004,269,41918,1207,6628,612,24,71,6604,612,10816,670,124,90,10692,668,16779,635,421,120,16358,632,3837,342,231,91,3606,327,3858,397,807,222,3051,316
BK29,Bensonhurst East,57730,1535,28365,931,4268,441,26,52,4242,441,7184,616,45,54,7139,615,12295,565,279,107,12016,562,2595,293,203,77,2392,285,2023,261,252,97,1771,246,29365,958,4021,461,40,61,3981,460,7251,563,86,71,7165,559,12514,598,306,94,12208,598,2828,291,170,68,2658,287,2751,280,572,132,2179,251
