area_id,area_name,b22005a001,b22005a001_moe,b22005a002,b22005a002_moe,b22005a003,b22005a003_moe
BK09,Brooklyn Heights-Cobble Hill,9525,404,178,106,9347,410
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,20171,468,3067,335,17104,518
BK19,Brighton Beach,11970,386,3895,303,8075,428
BK21,Seagate-Coney Island,5471,368,2342,290,3129,321
BK23,West Brighton,7830,238,1901,279,5929,332
BK25,Homecrest,13544,369,1842,216,11702,392
BK26,Gravesend,7724,339,1632,238,6092,349
BK27,Bath Beach,7470,350,1009,156,6461,361
BK28,Bensonhurst West,19542,516,3006,305,16536,543
BK29,Bensonhurst East,14230,441,2593,267,11637,447
BK30,Dyker Heights,10266,349,826,166,9440,368
BK31,Bay Ridge,28149,541,2667,322,25482,572
BK32,Sunset Park West,8318,433,1693,258,6625,413
BK33,Carroll Gardens-Columbia Street-Red Hook,12642,454,688,173,11954,448
BK34,Sunset Park East,7824,420,2022,266,5802,405
BK35,Stuyvesant Heights,2950,353,1258,249,1692,267
BK37,Park Slope-Gowanus,23765,607,599,152,23166,603
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8442,368,494,129,7948,355
BK40,Windsor Terrace,7323,309,408,148,6915,329
BK41,Kensington-Ocean Parkway,7403,365,1943,268,5460,395
BK42,Flatbush,10990,501,2375,277,8615,487
BK43,Midwood,15189,390,3212,299,11977,430
BK44,Madison,12053,325,1785,193,10268,357
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,13487,349,756,181,12731,372
BK46,Ocean Parkway South,5951,232,817,159,5134,249
BK50,Canarsie,2753,274,357,108,2396,262
BK58,Flatlands,5231,318,734,163,4497,292
BK60,Prospect Lefferts Gardens-Wingate,2780,327,498,152,2282,302
BK61,Crown Heights North,5320,405,790,176,4530,385
BK63,Crown Heights South,2933,268,688,159,2245,250
BK64,Prospect Heights,5311,349,134,67,5177,347
BK68,Fort Greene,4435,310,386,129,4049,301
BK69,Clinton Hill,5879,392,427,132,5452,378
BK72,Williamsburg,7285,262,3997,314,3288,324
BK73,North Side-South Side,15138,477,3371,345,11767,499
BK75,Bedford,6058,372,2192,249,3866,347
BK76,Greenpoint,13253,424,636,160,12617,422
BK77,Bushwick North,7381,465,2247,303,5134,406
BK78,Bushwick South,9612,548,3284,380,6328,479
BK79,Ocean Hill,495,147,174,79,321,129
BK81,Brownsville,1176,229,672,177,504,161
BK82,East New York,5185,429,1955,282,3230,379
BK83,Cypress Hills-City Line,6661,402,1250,222,5411,393
