area_id,area_name,b20017a001,b20017a001_moe,b20017a002,b20017a002_moe,b20017a003,b20017a003_moe,b20017a004,b20017a004_moe,b20017a005,b20017a005_moe,b20017a006,b20017a006_moe,b20017a007,b20017a007_moe
BK09,Brooklyn Heights-Cobble Hill,430991,35691,520352,43992,654608,78392,168740,51638,381765,43235,478833,42603,129937,43750
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,796154,57634,900536,68531,1059561,89676,432268,127105,674686,72110,873989,98262,372422,218476
BK19,Brighton Beach,274562,23513,323998,47120,371240,29358,115910,34863,236768,37369,311720,55614,116081,24000
BK21,Seagate-Coney Island,194467,28214,206503,62250,244427,84199,69181,22223,171882,51916,223679,47261,115080,31756
BK23,West Brighton,145761,17727,184706,27579,207446,25920,81800,47056,130045,24907,169083,20306,47850,17641
BK25,Homecrest,544155,49824,646338,54747,761300,51874,226535,68019,389942,48215,598222,88915,208492,40074
BK26,Gravesend,280312,30132,301832,42084,358535,87195,113782,73169,256519,40855,328024,52115,120653,43793
BK27,Bath Beach,446057,45721,428566,55415,572245,71501,158110,54155,467988,64093,554161,80937,182732,109636
BK28,Bensonhurst West,817169,50270,908283,64444,1136648,112197,492480,145209,696318,67487,953677,107581,324030,76469
BK29,Bensonhurst East,590678,34912,640789,53455,764793,67492,370287,54796,547173,57895,698347,42154,258388,96729
BK30,Dyker Heights,699806,58036,757852,70892,912871,114480,267604,175253,677310,76204,978718,88025,259329,71143
BK31,Bay Ridge,1284281,61608,1428306,117156,1765954,116528,548824,115995,1245931,82296,1606031,87522,521772,92075
BK32,Sunset Park West,389776,46920,430027,67545,520025,57613,169506,47393,396526,65852,617476,78103,177355,126111
BK33,Carroll Gardens-Columbia Street-Red Hook,649735,43304,784607,82415,888788,84650,392939,108623,591199,47332,767366,68188,234422,58906
BK34,Sunset Park East,313679,30944,301599,41170,372991,59759,146916,207473,342379,62705,435809,61832,177832,189668
BK35,Stuyvesant Heights,141192,43315,178893,41545,190968,106690,80867,78430,109275,40046,110927,118501,98170,63967
BK37,Park Slope-Gowanus,1189425,45020,1366070,89630,1674780,105435,600381,116272,1077026,66292,1335017,90330,563313,63940
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,707214,37919,754316,85198,911637,165081,286883,117350,650839,50663,798683,64171,287210,92659
BK40,Windsor Terrace,304427,24813,312732,37648,400114,45398,137135,44398,296977,33588,391704,37021,125771,35590
BK41,Kensington-Ocean Parkway,243620,29214,276910,44501,381043,38958,124603,33957,200808,41891,372187,54521,119028,25183
BK42,Flatbush,727176,98032,823410,114364,1000276,104246,325419,144699,601752,106360,854398,116716,411015,85250
BK43,Midwood,682884,63657,858689,95709,1053553,118409,408787,107770,486263,70683,897547,107273,298642,111054
BK44,Madison,641042,37743,734595,56731,833545,70241,321463,90157,575345,47083,746536,93590,233456,52159
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,886974,67533,1048811,84017,1253115,106369,404748,111481,722177,72957,1069851,104023,262291,76915
BK46,Ocean Parkway South,253552,25938,348638,58636,474549,84442,157225,76062,207919,33444,336167,69693,126169,32339
BK50,Canarsie,25714,18141,43917,15521,45000,7133,12167,11439,20333,12689,33750,23485,6250,9328
BK58,Flatlands,415439,28429,501274,112164,573226,108925,339186,166098,375696,73315,505843,91077,268082,155701
BK60,Prospect Lefferts Gardens-Wingate,273297,50335,398615,75246,446711,52975,185854,67308,223014,68422,459150,224133,126458,63168
BK61,Crown Heights North,304947,42626,357055,64825,430083,161119,217533,57031,312985,44404,384587,79650,174332,44344
