area_id,area_name,b19301a001,b19301a001_moe
BK09,Brooklyn Heights-Cobble Hill,540821,37836
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,584340,24983
BK19,Brighton Beach,212103,14501
BK21,Seagate-Coney Island,142976,16848
BK23,West Brighton,115512,9898
BK25,Homecrest,409179,24557
BK26,Gravesend,187826,12160
BK27,Bath Beach,326809,28991
BK28,Bensonhurst West,639590,25926
BK29,Bensonhurst East,447992,24096
BK30,Dyker Heights,538775,27652
BK31,Bay Ridge,1049381,43510
BK32,Sunset Park West,316001,25165
BK33,Carroll Gardens-Columbia Street-Red Hook,702757,47563
BK34,Sunset Park East,300432,38741
BK35,Stuyvesant Heights,428406,61115
BK37,Park Slope-Gowanus,1241139,47000
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,714815,40186
BK40,Windsor Terrace,274278,16291
BK41,Kensington-Ocean Parkway,181807,14669
BK42,Flatbush,753393,57123
BK43,Midwood,544516,37115
BK44,Madison,449642,21215
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,628827,31864
BK46,Ocean Parkway South,236284,20189
BK50,Canarsie,944876,93266
BK58,Flatlands,782196,72468
BK60,Prospect Lefferts Gardens-Wingate,406563,57580
BK61,Crown Heights North,733784,68191
BK63,Crown Heights South,175367,25313
BK64,Prospect Heights,351778,22729
BK68,Fort Greene,442668,35934
BK69,Clinton Hill,418231,31690
BK72,Williamsburg,61013,5997
BK73,North Side-South Side,487769,30943
BK75,Bedford,550301,95505
BK76,Greenpoint,469407,26399
BK77,Bushwick North,250863,20344
BK78,Bushwick South,397005,27816
BK79,Ocean Hill,230026,143076
BK81,Brownsville,155302,27853
BK82,East New York,436216,61791
BK83,Cypress Hills-City Line,242103,19395
BK85,East New York (Pennsylvania Ave),99389,16302
BK88,Borough Park,462254,22707
BK90,East Williamsburg,334018,16828
BK91,East Flatbush-Farragut,354865,77875
BK93,Starrett City,26617,3820
BK95,Erasmus,85780,21323
BK96,Rugby-Remsen Village,224145,49967
BK99,park-cemetery-etc-Brooklyn,51852,21015
BX01,Claremont-Bathgate,90640,25595
