area_id,area_name,b13002a001,b13002a001_moe,b13002a002,b13002a002_moe,b13002a003,b13002a003_moe,b13002a004,b13002a004_moe,b13002a005,b13002a005_moe,b13002a006,b13002a006_moe,b13002a007,b13002a007_moe
BK09,Brooklyn Heights-Cobble Hill,5327,421,376,136,372,135,4,28,4951,422,2167,290,2784,339
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,10274,674,245,105,228,104,17,56,10029,675,5360,425,4669,512
BK19,Brighton Beach,5375,506,201,114,151,100,50,66,5174,500,2770,335,2404,364
BK21,Seagate-Coney Island,2219,370,152,92,102,80,50,57,2067,355,862,187,1205,273
BK23,West Brighton,2714,404,113,85,113,85,0,27,2601,405,1219,260,1382,255
BK25,Homecrest,7956,519,418,135,393,133,25,53,7538,516,4342,364,3196,372
BK26,Gravesend,3122,384,168,91,136,84,32,42,2954,380,1404,247,1550,261
BK27,Bath Beach,3555,409,261,113,223,101,38,60,3294,399,1651,260,1643,317
BK28,Bensonhurst West,11267,736,460,147,259,106,201,115,10807,721,4975,429,5832,564
BK29,Bensonhurst East,7757,601,285,106,232,100,53,62,7472,596,3883,359,3589,471
BK30,Dyker Heights,5631,441,246,96,227,93,19,54,5385,441,2614,275,2771,344
BK31,Bay Ridge,16133,796,860,191,737,175,123,97,15273,799,6716,486,8557,643
BK32,Sunset Park West,6277,553,338,128,217,96,121,95,5939,534,2470,317,3469,432
BK33,Carroll Gardens-Columbia Street-Red Hook,7924,553,292,101,281,100,11,47,7632,550,2883,302,4749,500
BK34,Sunset Park East,5325,516,359,129,248,111,111,83,4966,504,2192,307,2774,360
BK35,Stuyvesant Heights,2513,455,92,76,88,77,4,50,2421,456,779,201,1642,368
BK37,Park Slope-Gowanus,17469,871,803,183,675,173,128,81,16666,865,5950,451,10716,798
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5971,400,320,100,252,86,68,69,5651,397,2237,268,3414,348
BK40,Windsor Terrace,4601,388,313,108,270,101,43,53,4288,398,1886,241,2402,340
