area_id,area_name,b27015001,b27015001_moe,b27015002,b27015002_moe,b27015003,b27015003_moe,b27015004,b27015004_moe,b27015005,b27015005_moe,b27015006,b27015006_moe,b27015007,b27015007_moe,b27015008,b27015008_moe,b27015009,b27015009_moe,b27015010,b27015010_moe,b27015011,b27015011_moe,b27015012,b27015012_moe,b27015013,b27015013_moe,b27015014,b27015014_moe,b27015015,b27015015_moe,b27015016,b27015016_moe,b27015017,b27015017_moe,b27015018,b27015018_moe,b27015019,b27015019_moe,b27015020,b27015020_moe,b27015021,b27015021_moe,b27015022,b27015022_moe,b27015023,b27015023_moe,b27015024,b27015024_moe,b27015025,b27015025_moe,b27015026,b27015026_moe
BK09,Brooklyn Heights-Cobble Hill,21368,1058,1714,334,1423,301,1002,256,763,209,291,140,1746,353,1451,297,1164,241,720,217,295,180,2035,448,1900,438,1780,382,319,160,135,81,1969,409,1903,390,1810,383,363,151,66,68,13904,1093,13547,1062,13221,1020,1200,269,357,162
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,60448,1572,13189,1102,11968,1031,4022,633,9456,904,1221,327,11567,1115,10593,1054,6864,869,5380,716,974,365,9222,1112,8565,1058,7114,929,2517,544,657,222,8313,1087,8072,1072,7073,964,1670,393,241,164,18157,1507,17591,1456,15868,1387,2846,469,566,208
BK19,Brighton Beach,31136,1308,9736,949,7969,781,1697,428,6902,662,1767,482,7300,1061,6376,988,4250,862,2679,587,924,336,3831,773,3215,671,2703,631,973,275,616,270,3658,689,3320,643,2868,561,668,246,338,145,6611,932,6264,913,5623,848,986,276,347,159
BK21,Seagate-Coney Island,28417,1222,10139,988,9448,965,1661,424,8337,974,691,208,8021,1174,7075,1132,3991,868,3887,793,946,298,4378,839,3854,758,2818,651,1440,474,524,229,2656,790,2512,778,1913,629,885,434,144,123,3223,814,2839,741,2261,622,740,297,384,219
BK23,West Brighton,15405,682,3883,435,3711,420,1104,259,3369,411,172,88,3472,527,3228,504,2322,422,2223,393,244,108,3095,677,2896,648,2565,623,779,272,199,131,1456,413,1442,411,1184,355,485,234,14,33,3499,794,3159,717,2853,677,485,171,340,250
BK25,Homecrest,41794,1455,7948,899,6923,808,2256,501,5513,684,1025,256,10546,1139,9227,1049,5692,864,4829,712,1319,342,8865,1076,8245,1025,6215,907,2706,552,620,245,4647,824,4142,762,3554,681,904,269,505,252,9788,1187,9242,1131,8173,1055,1716,433,546,230
BK26,Gravesend,27696,1257,7565,910,6143,862,1205,270,5663,856,1422,451,7590,1014,6843,923,3790,672,4372,719,747,275,4184,857,3636,734,2582,556,1832,548,548,246,3116,718,2668,648,2039,533,812,320,448,242,5241,799,4714,737,4066,649,925,271,527,203
BK27,Bath Beach,29084,1245,5554,694,4550,591,1372,390,3717,463,1004,351,7099,961,6257,895,3490,615,3767,748,842,331,4713,802,3879,688,2629,540,1619,397,834,352,3760,777,3426,699,2263,479,1354,498,334,213,7958,1043,7458,994,6608,906,1402,349,500,174
BK28,Bensonhurst West,85726,2128,18089,1444,15173,1264,3353,507,13365,1169,2916,577,23536,1666,19354,1488,9987,1052,11729,1157,4182,694,17104,1599,14400,1392,10277,1151,5510,774,2704,613,8827,1229,7578,1105,5081,765,2843,711,1249,361,18170,1569,16419,1463,13479,1220,3701,645,1751,404
BK29,Bensonhurst East,60877,1648,11845,1082,10138,946,2597,457,8668,856,1707,387,18030,1548,14172,1326,7206,848,8881,1091,3858,744,10548,1223,9241,1135,6750,936,3425,603,1307,373,8000,1102,7189,1029,5492,861,2142,507,811,287,12454,1287,11843,1228,9734,992,2794,546,611,207
