area_id,area_name,b16002001,b16002001_moe,b16002002,b16002002_moe,b16002003,b16002003_moe,b16002004,b16002004_moe,b16002005,b16002005_moe,b16002006,b16002006_moe,b16002007,b16002007_moe,b16002008,b16002008_moe,b16002009,b16002009_moe,b16002010,b16002010_moe,b16002011,b16002011_moe,b16002012,b16002012_moe,b16002013,b16002013_moe,b16002014,b16002014_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,8335,412,779,194,99,63,680,184,1486,280,41,44,1445,278,584,175,71,51,513,169,162,78,0,29,162,78
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,10797,516,1556,241,389,161,1167,230,9634,522,4858,431,4776,419,2562,260,1014,211,1548,217,521,151,179,100,342,121
BK19,Brighton Beach,13764,343,1980,280,1230,215,722,187,508,148,9515,388,6663,386,2852,320,749,162,255,112,494,124,290,113,170,90,120,70
BK21,Seagate-Coney Island,11215,272,4707,359,2279,322,1035,243,1244,237,3234,292,2510,279,724,161,790,140,387,117,403,106,205,105,55,59,150,88
BK23,West Brighton,8026,219,2696,307,58,59,32,55,26,34,5138,354,3085,313,2053,330,56,46,29,40,27,35,78,74,0,27,78,74
BK25,Homecrest,15435,318,5623,386,1005,213,547,172,458,137,5629,373,3009,300,2620,299,1124,192,448,140,676,156,2054,250,733,180,1321,189
BK26,Gravesend,11068,297,3902,351,1239,236,456,173,783,208,4087,335,2719,321,1368,235,1662,234,855,193,807,173,178,103,110,90,68,60
BK27,Bath Beach,10726,270,4101,318,842,199,416,156,426,131,3170,291,1793,240,1377,194,2230,246,1118,204,1112,186,383,116,84,63,299,105
BK28,Bensonhurst West,29717,419,8582,500,3458,386,1647,303,1811,274,9028,470,5049,399,3979,335,7825,435,4001,363,3824,350,824,188,305,135,519,146
BK29,Bensonhurst East,21737,342,5670,399,2112,304,1091,237,1021,204,7362,416,4250,348,3112,321,6024,377,3097,330,2927,305,569,161,171,101,398,133
BK30,Dyker Heights,14966,279,6261,381,1136,217,314,141,822,174,3615,315,1172,200,2443,262,3597,277,1780,248,1817,225,357,109,93,68,264,100
BK31,Bay Ridge,34990,426,19100,609,3819,367,896,217,2923,323,6379,428,1920,257,4459,366,2999,296,1002,193,1997,263,2693,354,731,203,1962,302
BK32,Sunset Park West,17023,319,4073,340,9509,432,3940,375,5569,387,1063,205,385,133,678,163,2075,232,1169,194,906,178,303,105,82,71,221,86
BK33,Carroll Gardens-Columbia Street-Red Hook,17628,387,11376,487,3683,369,841,204,2842,365,1972,290,286,123,1686,266,478,164,69,57,409,159,119,79,20,48,99,75
BK34,Sunset Park East,20544,327,3566,333,6841,381,2783,338,4058,331,1741,232,793,172,948,179,7974,370,5227,363,2747,291,422,124,77,80,345,111
BK35,Stuyvesant Heights,24360,452,18396,540,4505,413,1134,232,3371,391,867,183,167,78,700,170,311,118,92,63,219,110,281,116,25,59,256,111
BK37,Park Slope-Gowanus,31068,489,21933,631,4607,456,1206,274,3401,389,2878,344,292,124,2586,324,1254,244,215,102,1039,228,396,125,39,61,357,125
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15085,316,9768,401,3070,269,829,176,2241,259,1124,192,127,77,997,179,854,149,301,101,553,130,269,114,55,59,214,97
BK40,Windsor Terrace,9510,205,5816,329,1203,236,121,76,1082,231,1478,216,473,144,1005,195,806,187,347,151,459,138,207,98,13,32,194,96
BK41,Kensington-Ocean Parkway,12037,287,4576,387,1455,261,539,174,916,213,4763,364,2414,315,2349,299,871,187,386,127,485,152,372,129,128,84,244,103
BK42,Flatbush,37482,454,19447,675,6127,496,1892,330,4235,422,9610,544,3943,378,5667,460,1413,241,767,200,646,154,885,201,220,116,665,176
BK43,Midwood,18430,320,7857,411,1243,252,509,194,734,196,7001,404,3964,345,3037,331,960,181,427,130,533,141,1369,222,224,96,1145,206
BK44,Madison,15022,240,6341,381,765,197,139,83,626,183,5477,352,2756,267,2721,308,1895,211,855,164,1040,166,544,138,111,78,433,123
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,16432,289,9999,432,1222,233,109,77,1113,226,3746,357,923,213,2823,321,509,119,106,62,403,108,956,208,117,78,839,197
BK46,Ocean Parkway South,6607,235,3230,251,665,182,325,127,340,129,1921,211,738,146,1183,176,164,66,47,50,117,57,627,135,99,64,528,123
BK50,Canarsie,27669,396,18918,564,2749,324,491,137,2258,309,4764,407,952,189,3812,372,611,146,255,106,356,118,627,153,125,96,502,137
BK58,Flatlands,23279,315,15740,477,1845,252,548,163,1297,204,4726,388,1452,241,3274,324,291,107,81,74,210,97,677,148,77,77,600,141
BK60,Prospect Lefferts Gardens-Wingate,26016,421,18470,594,2688,352,605,177,2083,336,3605,418,889,222,2716,362,417,125,188,89,229,104,836,208,147,106,689,191
BK61,Crown Heights North,40818,573,32080,729,4281,422,811,192,3470,390,3047,372,831,203,2216,316,418,126,191,97,227,103,992,219,242,129,750,188
BK63,Crown Heights South,14662,272,10195,417,1389,242,451,133,938,201,2088,277,572,176,1516,233,158,103,55,56,103,94,832,190,214,116,618,156
BK64,Prospect Heights,9394,270,6870,355,1170,242,260,139,910,206,861,224,148,113,713,204,336,124,48,48,288,117,157,71,3,30,154,71
BK68,Fort Greene,11560,313,8051,385,1618,235,712,178,906,184,1002,201,82,61,920,197,535,160,144,65,391,149,354,139,158,106,196,92
BK69,Clinton Hill,14937,368,10762,436,2031,274,403,143,1628,252,1445,239,86,61,1359,232,424,133,80,66,344,120,275,124,42,61,233,113
BK72,Williamsburg,8299,215,908,177,1516,204,506,163,1010,196,5435,283,968,175,4467,295,33,42,12,39,21,39,407,118,96,61,311,103
BK73,North Side-South Side,19172,372,8549,433,6524,403,2103,291,4421,394,2998,286,476,148,2522,276,840,190,279,126,561,148,261,92,41,55,220,88
BK75,Bedford,24225,451,15588,534,4669,386,1414,239,3255,344,3141,276,425,135,2716,267,319,114,88,71,231,105,508,166,78,73,430,158
BK76,Greenpoint,15124,380,8012,430,1717,239,455,146,1262,240,4920,379,2096,292,2824,323,341,101,116,71,225,92,134,78,21,46,113,72
BK77,Bushwick North,18885,343,4085,333,13013,453,7358,484,5655,444,855,180,190,97,665,159,762,150,393,125,369,109,170,102,68,78,102,84
BK78,Bushwick South,24164,448,9763,523,12997,539,4222,409,8775,527,772,174,137,85,635,158,457,127,206,90,251,111,175,102,44,76,131,87
BK79,Ocean Hill,11686,319,8823,353,2088,249,387,120,1701,244,423,134,98,65,325,120,80,50,53,46,27,40,272,103,38,47,234,99
