area_id,area_name,c23023001,c23023001_moe,c23023002,c23023002_moe,c23023003,c23023003_moe,c23023004,c23023004_moe,c23023005,c23023005_moe,c23023006,c23023006_moe,c23023007,c23023007_moe,c23023008,c23023008_moe,c23023009,c23023009_moe,c23023010,c23023010_moe,c23023011,c23023011_moe,c23023012,c23023012_moe,c23023013,c23023013_moe,c23023014,c23023014_moe,c23023015,c23023015_moe,c23023016,c23023016_moe,c23023017,c23023017_moe,c23023018,c23023018_moe,c23023019,c23023019_moe,c23023020,c23023020_moe,c23023021,c23023021_moe,c23023022,c23023022_moe,c23023023,c23023023_moe
BK09,Brooklyn Heights-Cobble Hill,17869,931,9020,618,489,176,310,150,156,107,154,106,179,81,8531,609,7008,530,5230,432,1778,326,1523,338,8849,525,425,191,211,113,141,104,70,51,214,141,8424,515,6912,436,4621,379,2291,337,1512,302
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40150,1285,19037,811,1400,257,420,168,197,101,223,142,980,191,17637,813,13587,626,10865,581,2722,355,4050,513,21113,797,1732,262,539,133,216,85,323,112,1193,222,19381,783,13228,686,9227,609,4001,444,6153,571
BK19,Brighton Beach,20118,995,9693,622,606,167,169,97,37,44,132,93,437,142,9087,612,6819,551,5196,464,1623,311,2268,353,10425,620,721,182,221,86,107,62,114,66,500,165,9704,617,6281,467,4487,433,1794,288,3423,446
BK21,Seagate-Coney Island,18573,1038,8730,721,1073,247,284,134,149,88,135,77,789,209,7657,707,4992,544,3358,454,1634,301,2665,467,9843,653,1331,224,305,116,221,99,84,64,1026,199,8512,643,5173,478,2837,361,2336,338,3339,455
BK23,West Brighton,8374,783,3601,434,399,136,134,74,92,65,42,39,265,114,3202,415,2522,372,2107,349,415,135,680,200,4773,479,595,171,332,129,158,75,174,100,263,119,4178,477,3263,414,2385,367,878,226,915,260
BK25,Homecrest,25954,1042,13225,663,906,202,342,151,264,145,78,60,564,139,12319,665,9742,576,7270,483,2472,372,2577,348,12729,566,693,146,277,99,163,81,114,72,416,111,12036,564,7018,475,3903,368,3115,349,5018,423
BK26,Gravesend,16928,937,7808,576,796,204,209,104,124,66,85,79,587,179,7012,533,5578,489,4226,417,1352,266,1434,298,9120,566,896,182,434,132,167,77,267,104,462,133,8224,563,5048,447,3374,393,1674,271,3176,384
BK27,Bath Beach,18848,1023,9403,642,629,163,239,103,146,81,93,64,390,121,8774,624,6974,569,4973,441,2001,325,1800,306,9445,557,633,143,148,69,68,51,80,58,485,131,8812,538,5402,467,3686,394,1716,260,3410,368
BK28,Bensonhurst West,57525,1712,28638,1107,1480,240,563,148,222,105,341,116,917,201,27158,1084,21397,917,15518,794,5879,541,5761,559,28887,951,1676,255,465,132,235,99,230,97,1211,217,27211,941,16461,799,10572,646,5889,505,10750,660
BK29,Bensonhurst East,40502,1337,20057,827,910,186,317,121,155,77,162,98,593,146,19147,818,15753,707,11705,648,4048,408,3394,411,20445,827,1100,189,335,109,167,89,168,74,765,156,19345,824,11844,677,7292,554,4552,449,7501,593
BK30,Dyker Heights,29753,1150,14926,775,749,170,224,93,109,74,115,72,525,141,14177,762,11127,658,8247,600,2880,354,3050,358,14827,668,880,175,232,88,92,62,140,76,648,151,13947,661,9362,598,5927,489,3435,362,4585,457
BK31,Bay Ridge,56922,1434,27963,958,1814,291,743,172,397,132,346,121,1071,233,26149,945,21651,818,16225,728,5426,521,4498,453,28959,879,1839,315,612,161,265,112,347,127,1227,278,27120,845,18034,706,11877,647,6157,466,9086,666
BK32,Sunset Park West,38936,1298,21619,999,1350,253,461,146,195,99,266,114,889,200,20269,988,15806,923,11077,785,4729,512,4463,461,17317,740,1139,221,376,128,160,86,216,97,763,171,16178,739,10782,649,5910,441,4872,505,5396,464
BK33,Carroll Gardens-Columbia Street-Red Hook,28205,1035,13090,763,837,206,315,106,168,81,147,76,522,177,12253,752,10487,656,7464,547,3023,418,1766,356,15115,746,1169,262,315,114,145,76,170,97,854,237,13946,714,11568,644,7696,547,3872,420,2378,362
BK34,Sunset Park East,50056,1601,25669,1062,1152,234,437,141,204,100,233,112,715,181,24517,1061,19524,955,12232,781,7292,651,4993,480,24387,860,1717,257,541,156,234,100,307,127,1176,215,22670,862,14010,668,7162,492,6848,531,8660,669
BK35,Stuyvesant Heights,43618,1474,19682,1037,2081,326,611,169,395,143,216,96,1470,276,17601,1002,12030,799,8500,678,3530,464,5571,560,23936,943,2616,362,847,207,605,171,242,106,1769,278,21320,907,13789,729,9576,623,4213,448,7531,599
BK37,Park Slope-Gowanus,55057,1412,26216,988,997,236,580,198,350,162,230,120,417,134,25219,982,22580,943,16527,858,6053,517,2639,400,28841,976,1244,264,423,148,219,129,204,85,821,216,27597,972,23450,873,14915,719,8535,627,4147,470
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,26175,1034,12658,766,1284,257,418,145,167,89,251,118,866,207,11374,725,9070,589,6730,499,2340,330,2304,383,13517,637,1229,263,397,133,81,59,316,123,832,228,12288,597,9636,511,6290,433,3346,340,2652,329
BK40,Windsor Terrace,16179,703,7879,465,454,170,277,158,98,93,179,107,177,78,7425,455,6562,410,4556,401,2006,297,863,214,8300,451,379,171,151,94,48,43,103,80,228,121,7921,428,6640,415,4321,388,2319,310,1281,277
BK41,Kensington-Ocean Parkway,23837,1025,11843,697,1209,247,569,188,280,135,289,134,640,170,10634,677,8581,614,5548,520,3033,380,2053,329,11994,627,851,198,271,108,116,70,155,85,580,164,11143,621,7255,523,3624,387,3631,393,3888,453
BK42,Flatbush,72744,1870,33445,1267,2261,343,770,197,421,148,349,135,1491,279,31184,1232,23953,1080,17426,960,6527,585,7231,679,39299,1218,2500,329,1066,198,524,137,542,152,1434,257,36799,1222,24624,960,15773,809,8851,675,12175,845
BK43,Midwood,32648,1106,16471,760,1141,230,231,89,106,69,125,71,910,213,15330,774,11159,634,7232,496,3927,493,4171,465,16177,662,1270,261,460,168,79,62,381,166,810,189,14907,656,9776,540,4841,392,4935,442,5131,517
BK44,Madison,26716,926,13272,641,727,170,345,124,233,110,112,79,382,121,12545,636,9858,523,7406,450,2452,337,2687,355,13444,565,906,177,356,104,228,88,128,62,550,146,12538,558,8114,471,5365,411,2749,304,4424,397
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,30802,1074,14802,666,737,168,292,114,182,89,110,85,445,129,14065,665,11148,530,8427,485,2721,311,2917,376,16000,700,899,185,373,124,197,92,176,94,526,144,15101,692,10120,549,6430,453,3690,395,4981,510
BK46,Ocean Parkway South,11997,758,6065,453,256,87,105,66,32,41,73,60,151,66,5809,448,4543,390,3089,341,1454,237,1266,219,5932,425,336,113,90,67,47,66,43,37,246,91,5596,414,3406,328,1537,233,1869,259,2190,297
BK50,Canarsie,60304,1593,27025,1013,1615,267,596,171,359,139,237,116,1019,203,25410,988,18107,803,13291,700,4816,464,7303,599,33279,1011,1978,278,748,164,361,113,387,135,1230,218,31301,997,23098,817,16759,723,6339,518,8203,608
BK58,Flatlands,47904,1305,22105,865,1212,215,430,129,175,93,255,106,782,166,20893,852,15777,733,10930,633,4847,467,5116,480,25799,825,1442,234,663,156,349,112,314,117,779,171,24357,827,18100,696,11942,609,6158,494,6257,502
BK60,Prospect Lefferts Gardens-Wingate,47221,1565,20965,1053,1604,363,559,176,234,105,325,148,1045,313,19361,1017,14436,862,9989,735,4447,525,4925,578,26256,1033,1988,319,841,189,406,140,435,142,1147,256,24268,1042,17798,896,11559,750,6239,598,6470,658
BK61,Crown Heights North,69216,1847,30904,1335,2610,365,897,219,537,159,360,158,1713,281,28294,1291,19981,1070,13741,915,6240,583,8313,716,38312,1228,3378,389,1359,255,719,182,640,160,2019,303,34934,1206,24024,955,16696,847,7328,594,10910,815
BK63,Crown Heights South,27209,1148,12838,800,815,206,292,117,168,83,124,70,523,165,12023,794,8249,620,5541,483,2708,423,3774,541,14371,718,966,210,413,121,272,109,141,68,553,159,13405,701,9030,575,5308,490,3722,385,4375,524
BK64,Prospect Heights,16032,781,7638,536,150,89,98,80,28,43,70,74,52,43,7488,519,6474,460,4684,409,1790,299,1014,242,8394,606,292,110,184,73,81,51,103,55,108,77,8102,605,7071,567,5083,527,1988,296,1031,237
BK68,Fort Greene,19656,879,8575,645,690,158,128,72,85,64,43,42,562,146,7885,640,6356,569,4308,509,2048,291,1529,297,11081,581,1044,224,311,135,182,85,129,92,733,174,10037,571,7815,472,4885,382,2930,355,2222,358
BK69,Clinton Hill,27620,1157,13211,838,596,172,199,82,96,66,103,66,397,151,12615,828,9855,718,6766,575,3089,470,2760,431,14409,688,671,153,274,93,97,61,177,79,397,122,13738,683,10403,622,6370,508,4033,457,3335,406
BK72,Williamsburg,16468,725,8451,515,451,147,176,106,95,90,81,64,275,106,8000,505,4896,371,1915,243,2981,330,3104,355,8017,421,461,146,173,86,47,64,126,83,288,117,7556,427,3073,312,742,173,2331,279,4483,428
BK73,North Side-South Side,34595,1128,16943,813,785,191,303,110,144,77,159,94,482,154,16158,790,13427,729,8697,635,4730,481,2731,388,17652,798,1132,245,256,118,153,104,103,72,876,217,16520,804,12566,741,7719,640,4847,461,3954,448
BK75,Bedford,45632,1483,21169,1014,1717,281,560,162,283,118,277,118,1157,229,19452,986,14110,832,9426,677,4684,516,5342,561,24463,944,2517,326,806,186,432,133,374,125,1711,270,21946,914,14020,712,9076,601,4944,443,7926,616
