area_id,area_name,b21100001,b21100001_moe,b21100002,b21100002_moe,b21100003,b21100003_moe,b21100004,b21100004_moe,b21100005,b21100005_moe,b21100006,b21100006_moe,b21100007,b21100007_moe,b21100008,b21100008_moe,b21100009,b21100009_moe
BK09,Brooklyn Heights-Cobble Hill,651,155,568,147,83,56,27,39,39,42,0,29,0,29,17,38,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1957,246,1725,235,232,91,16,56,74,63,35,63,22,58,42,57,43,69
BK19,Brighton Beach,488,142,450,137,38,41,0,38,22,39,9,38,0,38,7,38,0,38
BK21,Seagate-Coney Island,709,194,611,182,98,69,42,45,56,63,0,38,0,38,0,38,0,38
BK23,West Brighton,658,166,513,156,145,71,27,34,70,49,0,27,8,27,20,31,20,40
BK25,Homecrest,968,200,862,193,106,65,0,48,56,59,19,51,5,47,21,51,5,47
BK26,Gravesend,1321,270,1217,264,104,65,37,45,18,37,4,35,0,36,33,50,12,37
BK27,Bath Beach,1158,208,1051,200,107,63,0,40,32,47,0,40,37,54,25,42,13,39
BK28,Bensonhurst West,2017,275,1851,264,166,81,12,63,84,75,8,64,5,63,44,69,13,63
BK29,Bensonhurst East,1742,262,1670,260,72,62,6,51,16,51,37,59,0,51,13,50,0,51
BK30,Dyker Heights,1676,226,1563,222,113,55,6,51,42,54,51,53,9,51,5,50,0,51
BK31,Bay Ridge,3011,320,2661,305,350,117,18,67,157,85,43,71,56,84,50,74,26,68
BK32,Sunset Park West,1167,232,1054,222,113,72,16,56,4,48,21,51,24,54,11,52,37,59
BK33,Carroll Gardens-Columbia Street-Red Hook,1135,218,1009,206,126,80,0,45,56,58,19,46,0,45,38,63,13,46
BK34,Sunset Park East,791,191,717,184,74,67,18,57,19,60,0,59,7,58,0,59,30,66
BK35,Stuyvesant Heights,1827,292,1571,269,256,126,7,51,104,89,41,66,41,68,28,61,35,68
BK37,Park Slope-Gowanus,1599,266,1475,256,124,79,0,58,58,71,23,61,33,59,0,58,10,59
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,718,156,620,140,98,66,22,49,14,41,22,48,0,42,35,56,5,41
BK40,Windsor Terrace,585,144,552,140,33,38,10,32,8,33,5,30,0,32,10,32,0,32
BK41,Kensington-Ocean Parkway,449,146,419,143,30,48,0,40,4,39,0,40,5,40,0,40,21,48
BK42,Flatbush,1495,251,1271,233,224,111,15,71,34,69,33,72,9,68,27,75,106,99
BK43,Midwood,718,138,598,126,120,68,0,51,59,53,41,63,4,50,7,51,9,52
BK44,Madison,889,150,820,145,69,56,6,46,33,51,0,46,10,47,20,49,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1821,238,1522,211,299,105,13,54,139,77,11,54,10,55,75,68,51,75
BK46,Ocean Parkway South,377,96,376,96,1,34,0,36,0,36,0,36,0,36,1,34,0,36
BK50,Canarsie,1935,292,1760,281,175,102,34,80,58,81,45,80,1,69,11,71,26,74
BK58,Flatlands,1552,221,1223,193,329,115,7,62,140,95,79,78,12,62,48,65,43,68
BK60,Prospect Lefferts Gardens-Wingate,1473,370,1278,357,195,97,50,74,64,71,10,59,10,58,32,64,29,65
BK61,Crown Heights North,2237,339,1925,314,312,139,53,75,59,80,39,76,48,77,78,108,35,75
BK63,Crown Heights South,657,161,599,153,58,55,0,40,0,40,0,40,35,51,11,41,12,41
BK64,Prospect Heights,378,128,337,124,41,36,12,35,4,30,8,32,0,32,17,32,0,32
BK68,Fort Greene,749,167,650,158,99,63,0,38,28,43,0,38,39,56,21,41,11,39
BK69,Clinton Hill,930,214,801,202,129,86,9,40,41,57,9,40,0,40,50,69,20,42
BK72,Williamsburg,184,98,162,93,22,47,0,36,22,47,0,36,0,36,0,36,0,36
BK73,North Side-South Side,618,160,521,144,97,72,0,48,65,64,0,48,0,48,32,59,0,48
BK75,Bedford,1194,213,1092,205,102,77,25,62,44,68,12,58,11,58,0,56,10,58
BK76,Greenpoint,582,154,434,121,148,102,13,45,45,53,51,70,23,54,16,48,0,42
BK77,Bushwick North,751,197,649,170,102,77,29,61,16,55,38,65,0,54,16,55,3,53
BK78,Bushwick South,1202,244,1088,241,114,80,16,58,47,64,25,67,0,56,26,60,0,56
BK79,Ocean Hill,1005,242,917,231,88,66,15,38,24,55,0,38,45,53,4,38,0,38
BK81,Brownsville,780,195,690,188,90,66,0,51,59,63,15,53,0,51,16,53,0,51
BK82,East New York,1431,242,1282,236,149,85,27,67,47,71,28,71,27,70,20,65,0,65
BK83,Cypress Hills-City Line,583,162,504,152,79,69,0,49,57,67,0,49,0,49,22,50,0,49
BK85,East New York (Pennsylvania Ave),345,120,292,110,53,54,12,39,41,50,0,36,0,36,0,36,0,36
BK88,Borough Park,831,161,713,141,118,95,24,76,22,72,16,68,33,83,0,68,23,71
BK90,East Williamsburg,893,197,750,187,143,77,0,40,61,63,14,42,45,51,11,42,12,42
BK91,East Flatbush-Farragut,1093,213,891,194,202,105,0,54,68,66,23,59,14,57,30,57,67,87
BK93,Starrett City,404,188,375,186,29,34,0,24,29,34,0,24,0,24,0,24,0,24
BK95,Erasmus,348,114,348,114,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK96,Rugby-Remsen Village,1216,220,1042,199,174,104,4,53,99,82,0,54,0,54,18,59,53,79
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,354,119,297,114,57,53,0,40,32,46,0,40,6,40,0,40,19,48
BX03,Eastchester-Edenwald-Baychester,1102,247,991,236,111,75,14,43,34,48,0,40,0,40,44,57,19,49
BX05,Bedford Park-Fordham North,856,230,593,169,263,156,28,65,99,119,2,47,0,50,50,74,84,89
BX06,Belmont,355,114,343,114,12,36,0,34,12,36,0,34,0,34,0,34,0,34
BX07,Bronxdale,1019,218,945,212,74,61,0,38,47,58,7,39,0,38,8,38,12,38
BX08,West Farms-Bronx River,870,222,757,213,113,72,0,40,38,50,0,40,39,56,36,52,0,40
BX09,Soundview-Castle Hill-Clason Point-Harding Park,1936,347,1490,301,446,172,74,88,55,63,117,105,48,55,110,109,42,66
BX10,Pelham Bay-Country Club-City Island,1888,307,1689,293,199,104,32,44,76,58,24,39,0,34,25,41,42,74
BX13,Co-op City,2371,435,2016,433,355,150,19,39,132,88,26,35,121,112,16,35,41,48
BX14,East Concourse-Concourse Village,1393,283,1006,234,387,167,16,55,115,96,102,109,15,54,34,59,105,100
BX17,East Tremont,669,177,547,156,122,86,21,54,41,60,10,48,13,48,37,65,0,45
BX22,North Riverdale-Fieldston-Riverdale,1386,230,1292,226,94,53,14,43,56,47,0,38,0,38,15,39,9,39
BX26,Highbridge,754,202,574,178,180,99,0,42,75,77,24,54,39,57,30,50,12,42
BX27,Hunts Point,551,154,454,141,97,72,9,38,29,45,0,38,13,41,36,62,10,38
BX28,Van Cortlandt Village,1272,247,1111,226,161,91,48,58,43,56,8,42,31,56,24,56,7,44
BX29,Spuyten Duyvil-Kingsbridge,1563,252,1443,241,120,73,9,39,58,57,7,38,16,42,27,42,3,37
BX30,Kingsbridge Heights,812,256,652,223,160,89,26,47,7,37,12,39,25,42,57,69,33,49
BX31,Allerton-Pelham Gardens,1183,197,1085,192,98,56,6,40,55,47,4,41,0,42,11,43,22,52
BX33,Longwood,329,107,321,107,8,34,0,36,0,36,0,36,8,34,0,36,0,36
BX34,Melrose South-Mott Haven North,547,165,538,165,9,41,0,42,0,42,9,41,0,42,0,42,0,42
BX35,Morrisania-Melrose,606,165,553,160,53,56,9,39,0,40,0,40,26,55,5,39,13,43
BX36,University Heights-Morris Heights,1122,254,1057,251,65,66,21,60,11,50,12,52,21,59,0,51,0,51
BX37,Van Nest-Morris Park-Westchester Square,1201,242,980,207,221,105,11,43,67,65,16,46,14,49,103,66,10,43
BX39,Mott Haven-Port Morris,1029,215,936,213,93,79,10,49,0,50,0,50,8,49,54,74,21,58
