area_id,area_name,b11002g001,b11002g001_moe,b11002g002,b11002g002_moe,b11002g003,b11002g003_moe,b11002g004,b11002g004_moe,b11002g005,b11002g005_moe,b11002g006,b11002g006_moe,b11002g007,b11002g007_moe,b11002g008,b11002g008_moe,b11002g009,b11002g009_moe,b11002g010,b11002g010_moe,b11002g011,b11002g011_moe,b11002g012,b11002g012_moe
BK09,Brooklyn Heights-Cobble Hill,445,241,304,214,260,203,260,203,0,29,44,74,44,74,0,29,0,29,0,29,0,29,141,115
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,458,379,412,378,163,176,163,176,0,55,218,335,171,270,47,87,31,75,31,75,0,55,46,61
BK19,Brighton Beach,852,412,763,406,473,281,456,278,17,47,0,38,0,38,0,38,290,295,290,295,0,38,89,78
BK21,Seagate-Coney Island,213,211,168,210,40,76,40,76,0,38,0,38,0,38,0,38,128,199,103,159,25,52,45,45
BK23,West Brighton,28,47,28,47,13,32,13,32,0,27,0,27,0,27,0,27,15,35,15,35,0,27,0,27
BK25,Homecrest,492,426,453,426,215,199,215,199,0,48,0,48,0,48,0,48,238,380,238,380,0,48,39,53
BK26,Gravesend,293,208,293,208,217,186,217,186,0,36,0,36,0,36,0,36,76,99,76,99,0,36,0,36
BK27,Bath Beach,282,158,219,151,201,148,201,148,0,40,5,45,5,45,0,40,13,43,13,43,0,40,63,64
BK28,Bensonhurst West,677,271,600,267,297,176,297,176,0,64,65,95,65,95,0,64,238,199,229,196,9,64,77,78
BK29,Bensonhurst East,853,408,794,407,675,387,675,387,0,51,76,130,76,130,0,51,43,69,43,69,0,51,59,62
BK30,Dyker Heights,247,195,231,194,171,170,171,170,0,51,0,51,0,51,0,51,60,106,40,73,20,75,16,53
BK31,Bay Ridge,1305,459,1021,441,750,403,750,403,0,66,189,169,189,169,0,66,82,111,82,111,0,66,284,142
BK32,Sunset Park West,967,363,718,337,475,288,475,288,0,49,72,93,72,93,0,49,171,165,163,162,8,50,249,128
BK33,Carroll Gardens-Columbia Street-Red Hook,964,447,498,354,160,115,160,115,0,45,63,81,63,81,0,45,275,314,258,306,17,50,466,277
BK34,Sunset Park East,922,346,747,332,382,238,382,238,0,59,119,154,107,140,12,59,246,188,210,160,36,69,175,103
BK35,Stuyvesant Heights,1216,457,1023,443,406,286,406,286,0,51,174,156,174,156,0,51,443,309,398,271,45,71,193,115
BK37,Park Slope-Gowanus,1547,385,1003,335,671,259,671,259,0,58,150,142,137,127,13,59,182,176,175,173,7,58,544,193
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,875,257,485,210,219,162,219,162,0,42,0,42,0,42,0,42,266,154,257,149,9,42,390,144
BK40,Windsor Terrace,227,172,172,159,74,109,74,109,0,32,23,47,23,47,0,32,75,115,75,115,0,32,55,72
BK41,Kensington-Ocean Parkway,613,272,520,261,307,195,307,195,0,40,33,51,33,51,0,40,180,174,180,174,0,40,93,76
BK42,Flatbush,1795,531,1578,517,1014,446,1014,446,0,68,166,167,151,155,15,71,398,227,378,216,20,73,217,130
BK43,Midwood,554,214,496,208,424,197,424,197,0,51,30,68,30,68,0,51,42,67,36,64,6,50,58,66
BK44,Madison,300,163,276,159,215,144,215,144,0,46,20,53,20,53,0,46,41,77,30,64,11,48,24,58
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,322,181,297,180,145,111,145,111,0,55,53,106,53,106,0,55,99,121,87,112,12,57,25,57
BK46,Ocean Parkway South,105,80,81,75,36,50,36,50,0,36,0,36,0,36,0,36,45,67,45,67,0,36,24,44
BK50,Canarsie,601,325,490,319,83,105,83,105,0,70,82,124,82,124,0,70,325,291,325,291,0,70,111,92
BK58,Flatlands,857,320,760,318,510,243,486,235,24,70,163,178,163,178,0,62,87,127,87,127,0,62,97,70
