area_id,area_name,b11001d001,b11001d001_moe,b11001d002,b11001d002_moe,b11001d003,b11001d003_moe,b11001d004,b11001d004_moe,b11001d005,b11001d005_moe,b11001d006,b11001d006_moe,b11001d007,b11001d007_moe,b11001d008,b11001d008_moe,b11001d009,b11001d009_moe
BK09,Brooklyn Heights-Cobble Hill,854,214,319,135,308,134,11,32,0,29,11,32,535,174,479,163,56,67
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2686,262,2263,241,1732,222,531,171,241,128,290,116,423,148,364,144,59,65
BK19,Brighton Beach,1145,188,979,181,763,168,216,85,133,68,83,60,166,91,109,73,57,60
BK21,Seagate-Coney Island,856,144,735,123,682,123,53,46,24,40,29,40,121,85,78,71,43,59
BK23,West Brighton,41,40,41,40,41,40,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,1194,208,1122,206,969,196,153,79,73,57,80,69,72,58,52,55,20,52
BK26,Gravesend,1778,230,1626,216,1395,210,231,98,76,52,155,88,152,87,138,86,14,37
BK27,Bath Beach,2483,253,2153,247,1871,247,282,100,59,50,223,92,330,103,169,75,161,78
BK28,Bensonhurst West,8458,437,7621,428,6326,411,1295,215,586,147,709,165,837,190,609,159,228,114
BK29,Bensonhurst East,6379,386,5711,374,4600,370,1111,196,368,105,743,174,668,170,556,157,112,82
BK30,Dyker Heights,4008,287,3694,285,3030,280,664,161,279,115,385,123,314,121,178,88,136,96
BK31,Bay Ridge,3807,340,2846,288,2358,268,488,151,230,125,258,101,961,200,822,188,139,84
BK32,Sunset Park West,2344,249,1860,225,1431,204,429,146,112,79,317,131,484,141,337,118,147,92
BK33,Carroll Gardens-Columbia Street-Red Hook,870,217,614,181,543,165,71,85,21,48,50,83,256,124,87,70,169,109
BK34,Sunset Park East,8598,370,7362,370,5883,361,1479,233,655,164,824,174,1236,222,762,175,474,144
BK35,Stuyvesant Heights,590,154,362,117,262,100,100,79,0,51,100,79,228,112,134,87,94,86
BK37,Park Slope-Gowanus,2079,324,1020,229,857,209,163,106,62,83,101,86,1059,235,584,180,475,151
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1193,178,596,131,439,110,157,78,108,73,49,50,597,131,358,102,239,84
BK40,Windsor Terrace,904,197,586,165,393,122,193,113,88,80,105,89,318,131,243,121,75,57
