area_id,area_name,c21001f001,c21001f001_moe,c21001f002,c21001f002_moe,c21001f003,c21001f003_moe,c21001f004,c21001f004_moe,c21001f005,c21001f005_moe,c21001f006,c21001f006_moe,c21001f007,c21001f007_moe,c21001f008,c21001f008_moe,c21001f009,c21001f009_moe,c21001f010,c21001f010_moe,c21001f011,c21001f011_moe,c21001f012,c21001f012_moe,c21001f013,c21001f013_moe,c21001f014,c21001f014_moe,c21001f015,c21001f015_moe
BK09,Brooklyn Heights-Cobble Hill,638,250,289,143,289,143,0,29,289,143,0,29,0,29,0,29,349,163,283,142,0,29,283,142,66,77,0,29,66,77
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,616,244,230,125,169,112,0,55,169,112,61,65,0,55,61,65,386,179,359,176,0,55,359,176,27,59,0,55,27,59
BK19,Brighton Beach,559,342,319,223,311,219,0,38,311,219,8,40,0,38,8,40,240,148,232,146,0,38,232,146,8,39,0,38,8,39
BK21,Seagate-Coney Island,1989,539,885,363,746,351,13,42,733,351,139,97,0,38,139,97,1104,290,895,276,0,38,895,276,209,106,0,38,209,106
BK23,West Brighton,1,24,1,24,1,24,0,27,1,24,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,773,332,419,233,388,230,3,47,385,230,31,69,0,48,31,69,354,137,318,136,0,48,318,136,36,65,0,48,36,65
BK26,Gravesend,991,303,427,158,427,158,33,49,394,162,0,36,0,36,0,36,564,213,478,174,17,41,461,180,86,92,0,36,86,92
BK27,Bath Beach,1150,450,553,233,527,230,6,39,521,229,26,44,6,39,20,43,597,273,556,259,0,40,556,259,41,60,0,40,41,60
BK28,Bensonhurst West,2996,757,1777,519,1712,501,0,64,1712,501,65,91,0,64,65,91,1219,320,1159,311,0,64,1159,311,60,84,0,64,60,84
BK29,Bensonhurst East,1572,450,811,265,748,259,66,81,682,250,63,70,0,51,63,70,761,214,705,209,0,51,705,209,56,65,0,51,56,65
BK30,Dyker Heights,783,347,457,253,425,250,6,51,419,250,32,63,0,51,32,63,326,148,311,147,0,51,311,147,15,52,0,51,15,52
BK31,Bay Ridge,3063,549,1261,294,1238,293,48,77,1190,288,23,68,0,66,23,68,1802,363,1697,346,0,66,1697,346,105,99,0,66,105,99
BK32,Sunset Park West,12064,1091,6842,736,6321,706,160,103,6161,701,521,163,0,49,521,163,5222,550,4768,537,19,56,4749,537,454,127,0,49,454,127
BK33,Carroll Gardens-Columbia Street-Red Hook,3863,699,1729,372,1466,360,42,64,1424,352,263,149,60,91,203,123,2134,452,1716,403,0,45,1716,403,418,184,0,45,418,184
BK34,Sunset Park East,7376,997,3837,646,3696,640,28,63,3668,640,141,92,0,59,141,92,3539,466,3292,446,0,59,3292,446,247,112,0,59,247,112
BK35,Stuyvesant Heights,3713,652,1559,385,1342,370,64,85,1278,363,217,111,11,53,206,113,2154,394,1844,356,0,51,1844,356,310,133,0,51,310,133
BK37,Park Slope-Gowanus,5182,828,2639,496,2356,483,42,87,2314,483,283,127,59,80,224,115,2543,457,2170,427,0,58,2170,427,373,150,0,58,373,150
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3223,565,1538,365,1408,358,43,64,1365,357,130,93,14,41,116,92,1685,325,1262,301,0,42,1262,301,423,157,0,42,423,157
BK40,Windsor Terrace,1033,342,492,200,476,195,32,42,444,190,16,33,0,32,16,33,541,188,467,173,0,32,467,173,74,57,0,32,74,57
BK41,Kensington-Ocean Parkway,2262,627,1251,409,1231,408,49,72,1182,403,20,42,0,40,20,42,1011,297,918,296,0,40,918,296,93,69,0,40,93,69
BK42,Flatbush,8227,1225,4138,729,4023,726,58,83,3965,721,115,96,0,68,115,96,4089,624,3819,602,0,68,3819,602,270,133,0,68,270,133
BK43,Midwood,1305,460,787,340,770,338,0,51,770,338,17,53,0,51,17,53,518,221,459,201,0,51,459,201,59,69,0,51,59,69
BK44,Madison,469,220,179,100,177,100,0,46,177,100,2,45,0,46,2,45,290,177,290,177,0,46,290,177,0,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1020,409,507,257,460,240,19,62,441,238,47,70,0,55,47,70,513,227,491,216,0,55,491,216,22,58,0,55,22,58
BK46,Ocean Parkway South,714,333,351,177,319,170,19,46,300,168,32,59,0,36,32,59,363,180,336,175,0,36,336,175,27,56,0,36,27,56
BK50,Canarsie,2792,626,1288,354,1149,345,127,118,1022,349,139,96,29,79,110,89,1504,334,1382,322,0,70,1382,322,122,92,0,70,122,92
BK58,Flatlands,1383,387,670,222,636,212,12,62,624,211,34,68,0,62,34,68,713,213,649,210,0,62,649,210,64,73,0,62,64,73
BK60,Prospect Lefferts Gardens-Wingate,2922,659,1098,330,1041,322,13,63,1028,319,57,75,0,58,57,75,1824,443,1578,427,17,63,1561,424,246,131,0,58,246,131
BK61,Crown Heights North,4806,838,2364,547,2243,539,85,84,2158,533,121,94,16,70,105,92,2442,451,2216,438,0,67,2216,438,226,116,0,67,226,116
BK63,Crown Heights South,1416,428,808,282,781,281,11,41,770,280,27,46,0,40,27,46,608,198,547,190,0,40,547,190,61,60,0,40,61,60
BK64,Prospect Heights,970,353,438,168,370,161,11,34,359,160,68,59,11,30,57,59,532,218,436,191,0,32,436,191,96,70,0,32,96,70
BK68,Fort Greene,1967,432,910,315,810,306,18,39,792,306,100,71,10,39,90,70,1057,236,901,229,0,38,901,229,156,66,0,38,156,66
BK69,Clinton Hill,1973,434,1138,304,1073,298,46,62,1027,294,65,67,0,40,65,67,835,220,755,209,0,40,755,209,80,65,0,40,80,65
BK72,Williamsburg,869,319,371,173,282,160,22,47,260,157,89,62,21,48,68,54,498,182,359,144,0,36,359,144,139,100,0,36,139,100
BK73,North Side-South Side,2793,566,1269,309,1055,285,33,57,1022,283,214,112,0,48,214,112,1524,339,1311,319,0,48,1311,319,213,86,0,48,213,86
BK75,Bedford,4555,708,2160,456,1983,445,43,67,1940,441,177,92,20,60,157,88,2395,386,2137,372,0,56,2137,372,258,100,0,56,258,100
BK76,Greenpoint,1516,346,720,241,701,238,47,68,654,231,19,45,0,42,19,45,796,228,756,215,0,42,756,215,40,59,0,42,40,59
BK77,Bushwick North,18456,1419,9635,954,9120,937,138,89,8982,938,515,163,0,54,515,163,8821,728,8206,698,21,61,8185,696,615,164,0,54,615,164
BK78,Bushwick South,11519,1186,5776,697,5295,680,151,117,5144,653,481,149,23,56,458,145,5743,653,5021,623,0,56,5021,623,722,170,0,56,722,170
BK79,Ocean Hill,2575,516,1261,274,1101,257,66,59,1035,254,160,93,11,40,149,92,1314,315,1185,304,0,38,1185,304,129,74,0,38,129,74
BK81,Brownsville,3037,541,1087,291,1023,284,0,51,1023,284,64,86,2,50,62,87,1950,342,1761,328,0,51,1761,328,189,108,0,51,189,108
BK82,East New York,5205,772,2314,443,2123,434,58,79,2065,431,191,92,37,71,154,83,2891,473,2570,452,13,67,2557,451,321,125,0,65,321,125
BK83,Cypress Hills-City Line,4633,665,2206,392,1986,362,88,86,1898,352,220,98,29,63,191,91,2427,359,2123,328,0,49,2123,328,304,119,0,49,304,119
BK85,East New York (Pennsylvania Ave),2368,529,953,295,864,264,36,43,828,262,89,67,0,36,89,67,1415,318,1301,309,0,36,1301,309,114,63,0,36,114,63
BK88,Borough Park,4401,835,2688,611,2548,604,15,72,2533,606,140,98,0,68,140,98,1713,346,1649,341,0,68,1649,341,64,84,0,68,64,84
BK90,East Williamsburg,3288,561,1673,351,1415,331,130,94,1285,326,258,116,62,60,196,105,1615,306,1351,285,0,40,1351,285,264,117,0,40,264,117
BK91,East Flatbush-Farragut,705,270,386,184,345,179,4,53,341,180,41,60,0,54,41,60,319,144,299,143,0,54,299,143,20,53,0,54,20,53
BK93,Starrett City,564,394,6,21,6,21,0,24,6,21,0,24,0,24,0,24,558,394,485,387,0,24,485,387,73,80,0,24,73,80
BK95,Erasmus,767,297,385,156,377,154,19,44,358,153,8,34,0,36,8,34,382,166,366,164,0,36,366,164,16,37,0,36,16,37
BK96,Rugby-Remsen Village,806,290,370,185,305,168,12,55,293,167,65,79,12,56,53,77,436,175,414,172,0,54,414,172,22,61,0,54,22,61
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,7979,836,3301,494,3041,467,76,73,2965,458,260,123,16,45,244,121,4678,538,4410,523,0,40,4410,523,268,110,0,40,268,110
BX03,Eastchester-Edenwald-Baychester,3709,686,1540,395,1380,378,133,87,1247,365,160,125,0,40,160,125,2169,395,2093,392,0,40,2093,392,76,74,0,40,76,74
BX05,Bedford Park-Fordham North,19538,1457,9038,1030,8664,1018,347,175,8317,1014,374,143,0,50,374,143,10500,810,9699,786,0,50,9699,786,801,205,0,50,801,205
BX06,Belmont,6928,890,3233,557,3088,532,67,63,3021,531,145,86,0,34,145,86,3695,491,3546,481,0,34,3546,481,149,81,0,34,149,81
BX07,Bronxdale,8463,969,4364,804,4102,800,208,115,3894,797,262,113,40,58,222,103,4099,471,3686,463,0,38,3686,463,413,144,0,38,413,144
BX08,West Farms-Bronx River,10867,1181,5311,772,4828,760,112,89,4716,763,483,156,116,95,367,139,5556,639,5060,604,0,40,5060,604,496,168,0,40,496,168
BX09,Soundview-Castle Hill-Clason Point-Harding Park,15273,1365,6321,813,5487,766,296,157,5191,734,834,243,99,95,735,228,8952,835,7801,823,17,53,7784,823,1151,252,0,50,1151,252
