area_id,area_name,b10051h001,b10051h001_moe,b10051h002,b10051h002_moe,b10051h003,b10051h003_moe,b10051h004,b10051h004_moe,b10051h005,b10051h005_moe,b10051h006,b10051h006_moe,b10051h007,b10051h007_moe
BK09,Brooklyn Heights-Cobble Hill,70,66,0,29,0,29,0,29,70,66,0,29,70,66
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,247,101,53,62,16,59,37,58,194,97,16,58,178,95
BK19,Brighton Beach,263,127,115,94,38,59,77,85,148,92,36,46,112,84
BK21,Seagate-Coney Island,126,87,5,37,0,38,5,37,121,87,17,45,104,78
BK23,West Brighton,282,141,117,97,62,78,55,62,165,107,64,78,101,76
BK25,Homecrest,448,178,144,101,48,66,96,87,304,151,73,67,231,133
BK26,Gravesend,145,83,39,50,29,49,10,37,106,74,21,40,85,71
BK27,Bath Beach,226,112,91,85,61,81,30,48,135,78,49,58,86,58
BK28,Bensonhurst West,640,188,123,91,79,84,44,70,517,170,122,121,395,131
BK29,Bensonhurst East,507,162,144,90,80,86,64,71,363,143,81,88,282,115
BK30,Dyker Heights,550,150,147,96,44,63,103,88,403,119,48,57,355,112
BK31,Bay Ridge,470,154,62,75,36,69,26,70,408,145,121,97,287,123
BK32,Sunset Park West,44,69,1,48,0,49,1,48,43,67,43,67,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,56,68,28,53,18,52,10,46,28,62,28,62,0,45
BK34,Sunset Park East,71,69,23,67,23,67,0,59,48,58,21,59,27,59
BK35,Stuyvesant Heights,77,90,48,67,9,51,39,66,29,61,29,61,0,51
BK37,Park Slope-Gowanus,278,117,90,71,22,60,68,67,188,109,20,65,168,103
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,28,50,28,50,14,41,14,41,0,42,0,42,0,42
BK40,Windsor Terrace,167,100,21,46,21,46,0,32,146,93,34,41,112,88
BK41,Kensington-Ocean Parkway,165,91,73,60,42,48,31,53,92,61,61,57,31,46
BK42,Flatbush,119,85,25,68,15,67,10,69,94,83,17,69,77,80
BK43,Midwood,117,81,36,55,10,52,26,53,81,77,29,68,52,63
BK44,Madison,324,139,53,58,32,53,21,51,271,135,101,92,170,107
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,469,147,145,86,64,75,81,69,324,124,64,71,260,119
BK46,Ocean Parkway South,150,91,17,44,17,44,0,36,133,88,33,63,100,70
BK50,Canarsie,33,76,3,69,0,70,3,69,30,76,9,71,21,72
BK58,Flatlands,89,69,48,64,48,64,0,62,41,64,26,64,15,62
BK60,Prospect Lefferts Gardens-Wingate,47,70,38,70,0,58,38,70,9,58,9,58,0,58
BK61,Crown Heights North,21,70,0,67,0,67,0,67,21,70,0,67,21,70
BK63,Crown Heights South,49,60,5,39,5,39,0,40,44,58,19,49,25,49
BK64,Prospect Heights,7,33,7,33,7,33,0,32,0,32,0,32,0,32
BK68,Fort Greene,15,41,15,41,0,38,15,41,0,38,0,38,0,38
BK69,Clinton Hill,18,42,0,40,0,40,0,40,18,42,0,40,18,42
BK72,Williamsburg,283,144,167,125,75,63,92,114,116,82,13,39,103,81
BK73,North Side-South Side,29,51,8,48,0,48,8,48,21,50,11,50,10,49
BK75,Bedford,2,55,2,55,2,55,0,56,0,56,0,56,0,56
BK76,Greenpoint,152,78,47,57,20,50,27,50,105,66,37,56,68,53
BK77,Bushwick North,28,59,11,54,11,54,0,54,17,58,0,54,17,58
BK78,Bushwick South,0,56,0,56,0,56,0,56,0,56,0,56,0,56
BK79,Ocean Hill,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK81,Brownsville,15,56,0,51,0,51,0,51,15,56,0,51,15,56
BK82,East New York,0,65,0,65,0,65,0,65,0,65,0,65,0,65
BK83,Cypress Hills-City Line,96,72,20,52,20,52,0,49,76,70,57,66,19,52
BK85,East New York (Pennsylvania Ave),7,38,0,36,0,36,0,36,7,38,0,36,7,38
BK88,Borough Park,315,142,109,99,52,76,57,82,206,104,69,81,137,93
BK90,East Williamsburg,16,43,0,40,0,40,0,40,16,43,14,43,2,40
BK91,East Flatbush-Farragut,23,60,0,54,0,54,0,54,23,60,23,60,0,54
BK93,Starrett City,55,52,18,33,18,33,0,24,37,46,0,24,37,46
BK95,Erasmus,14,39,0,36,0,36,0,36,14,39,14,39,0,36
BK96,Rugby-Remsen Village,0,54,0,54,0,54,0,54,0,54,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX05,Bedford Park-Fordham North,231,182,70,85,46,76,24,62,161,171,23,60,138,167
BX06,Belmont,41,59,0,34,0,34,0,34,41,59,24,49,17,42
BX07,Bronxdale,198,162,33,48,11,38,22,48,165,153,9,38,156,153
BX08,West Farms-Bronx River,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX09,Soundview-Castle Hill-Clason Point-Harding Park,13,51,13,51,0,50,13,51,0,50,0,50,0,50
BX10,Pelham Bay-Country Club-City Island,311,148,78,67,48,57,30,46,233,122,32,48,201,109
BX13,Co-op City,41,56,0,33,0,33,0,33,41,56,0,33,41,56
BX14,East Concourse-Concourse Village,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BX17,East Tremont,69,120,0,45,0,45,0,45,69,120,34,70,35,72
BX22,North Riverdale-Fieldston-Riverdale,177,97,35,48,27,46,8,38,142,90,22,42,120,87
BX26,Highbridge,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BX27,Hunts Point,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BX28,Van Cortlandt Village,0,43,0,43,0,43,0,43,0,43,0,43,0,43
BX29,Spuyten Duyvil-Kingsbridge,18,46,0,38,0,38,0,38,18,46,0,38,18,46
BX30,Kingsbridge Heights,4,38,0,38,0,38,0,38,4,38,0,38,4,38
BX31,Allerton-Pelham Gardens,257,164,23,46,11,43,12,45,234,161,46,68,188,129
BX33,Longwood,11,37,0,36,0,36,0,36,11,37,11,37,0,36
