area_id,area_name,b19113f001,b19113f001_moe
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,116305,101491
BK19,Brighton Beach,66219,174321
BK21,Seagate-Coney Island,168522,93372
BK25,Homecrest,113158,75169
BK26,Gravesend,63730,28054
BK27,Bath Beach,249018,111500
BK28,Bensonhurst West,418788,150376
BK29,Bensonhurst East,451679,292853
BK30,Dyker Heights,143831,44934
BK31,Bay Ridge,655274,280131
BK32,Sunset Park West,506394,82239
BK33,Carroll Gardens-Columbia Street-Red Hook,470896,254938
BK34,Sunset Park East,479624,151058
BK35,Stuyvesant Heights,360605,306730
BK37,Park Slope-Gowanus,572565,295031
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,270418,210268
BK40,Windsor Terrace,141217,86082
BK41,Kensington-Ocean Parkway,590248,211036
BK42,Flatbush,983983,354422
BK43,Midwood,216197,299244
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,444695,102408
BK46,Ocean Parkway South,376702,402160
BK50,Canarsie,703220,295874
BK58,Flatlands,331030,353033
BK60,Prospect Lefferts Gardens-Wingate,353349,329339
BK61,Crown Heights North,482361,213113
BK63,Crown Heights South,117789,76379
BK64,Prospect Heights,211162,187508
BK68,Fort Greene,732465,337222
BK69,Clinton Hill,303968,245197
BK72,Williamsburg,170553,66127
BK73,North Side-South Side,352748,182393
BK75,Bedford,481319,150550
BK76,Greenpoint,343767,209298
BK77,Bushwick North,409550,54357
BK78,Bushwick South,780964,232649
BK79,Ocean Hill,693650,248900
BK81,Brownsville,235933,73492
BK82,East New York,873548,279577
BK83,Cypress Hills-City Line,598626,211058
BK85,East New York (Pennsylvania Ave),143315,139813
BK88,Borough Park,458367,341652
BK90,East Williamsburg,129774,516944
BK91,East Flatbush-Farragut,178998,161408
BK93,Starrett City,43938,1429
BK95,Erasmus,56647,32743
BK96,Rugby-Remsen Village,16977,25620
BX01,Claremont-Bathgate,213221,141303
BX03,Eastchester-Edenwald-Baychester,371774,144690
BX05,Bedford Park-Fordham North,311653,48194
BX06,Belmont,111714,17767
BX07,Bronxdale,301478,69228
BX08,West Farms-Bronx River,209698,53357
BX09,Soundview-Castle Hill-Clason Point-Harding Park,575747,95480
BX10,Pelham Bay-Country Club-City Island,297446,233937
BX13,Co-op City,179652,46942
BX14,East Concourse-Concourse Village,389692,65630
BX17,East Tremont,227763,38223
BX22,North Riverdale-Fieldston-Riverdale,295222,114420
BX26,Highbridge,181525,29218
BX27,Hunts Point,153698,42129
BX28,Van Cortlandt Village,491689,149153
BX29,Spuyten Duyvil-Kingsbridge,548423,322010
BX30,Kingsbridge Heights,195556,27361
BX31,Allerton-Pelham Gardens,833103,406344
BX33,Longwood,119928,21770
BX34,Melrose South-Mott Haven North,243971,62616
BX35,Morrisania-Melrose,199346,43283
BX36,University Heights-Morris Heights,389397,65683
BX37,Van Nest-Morris Park-Westchester Square,382577,83463
BX39,Mott Haven-Port Morris,304777,52095
BX40,Fordham South,112177,44549
BX41,Mount Hope,363811,54550
BX43,Norwood,226031,51727
BX44,Williamsbridge-Olinville,576892,247711
