area_id,area_name,c02003001,c02003001_moe,c02003002,c02003002_moe,c02003003,c02003003_moe,c02003004,c02003004_moe,c02003005,c02003005_moe,c02003006,c02003006_moe,c02003007,c02003007_moe,c02003008,c02003008_moe,c02003009,c02003009_moe,c02003010,c02003010_moe,c02003011,c02003011_moe,c02003012,c02003012_moe,c02003013,c02003013_moe,c02003014,c02003014_moe,c02003015,c02003015_moe,c02003016,c02003016_moe,c02003017,c02003017_moe,c02003018,c02003018_moe,c02003019,c02003019_moe
BK09,Brooklyn Heights-Cobble Hill,23498,1176,22567,1101,18810,996,1282,346,80,72,1713,400,0,29,682,272,931,314,102,71,829,303,898,304,262,248,18,37,466,173,0,29,152,82,33,59,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61584,1613,61008,1583,45514,1475,4584,737,25,61,9815,1118,112,185,958,440,576,385,126,134,450,362,545,380,59,78,218,335,84,116,36,70,148,136,31,75,0,55
BK19,Brighton Beach,31584,1327,30784,1340,25322,1243,526,262,74,76,4171,738,0,38,691,421,800,360,187,126,613,345,800,360,50,74,98,113,427,321,0,38,225,133,0,38,0,38
BK21,Seagate-Coney Island,30018,1278,29396,1283,12724,1095,10739,1065,187,151,3113,598,21,49,2612,669,622,350,157,122,465,334,507,317,284,292,0,38,21,40,38,51,164,123,115,157,0,38
BK23,West Brighton,15472,690,15388,689,15109,711,168,112,0,27,110,99,0,27,1,24,84,74,50,57,34,55,84,74,0,27,0,27,34,55,0,27,50,57,0,27,0,27
BK25,Homecrest,41899,1458,41337,1439,35395,1414,484,272,55,62,4336,805,0,48,1067,443,562,432,27,50,535,432,553,432,17,49,48,89,202,197,0,48,286,379,9,49,0,48
BK26,Gravesend,27759,1258,27402,1252,16699,988,2338,580,107,107,6585,924,0,36,1673,581,357,168,172,127,185,122,277,145,87,76,0,36,0,36,1,34,189,130,80,98,0,36
BK27,Bath Beach,29311,1246,28993,1243,17345,1079,641,407,74,119,9224,1059,0,40,1709,653,318,150,86,67,232,143,318,150,179,131,22,52,6,44,18,43,93,69,0,40,0,40
BK28,Bensonhurst West,86592,2144,85885,2147,48060,1805,769,248,621,434,32319,1827,0,64,4116,1058,707,223,170,114,537,192,702,223,266,152,57,90,141,99,15,63,223,124,5,63,0,64
BK29,Bensonhurst East,61066,1648,60202,1630,33602,1352,628,246,58,80,23673,1641,18,58,2223,639,864,393,151,119,713,379,818,389,116,128,14,54,422,344,47,78,219,135,46,77,0,51
