area_id,area_name,c25095001,c25095001_moe,c25095002,c25095002_moe,c25095003,c25095003_moe,c25095004,c25095004_moe,c25095005,c25095005_moe,c25095006,c25095006_moe,c25095007,c25095007_moe,c25095008,c25095008_moe,c25095009,c25095009_moe,c25095010,c25095010_moe,c25095011,c25095011_moe,c25095012,c25095012_moe,c25095013,c25095013_moe,c25095014,c25095014_moe,c25095015,c25095015_moe,c25095016,c25095016_moe,c25095017,c25095017_moe,c25095018,c25095018_moe,c25095019,c25095019_moe,c25095020,c25095020_moe,c25095021,c25095021_moe,c25095022,c25095022_moe,c25095023,c25095023_moe,c25095024,c25095024_moe,c25095025,c25095025_moe,c25095026,c25095026_moe,c25095027,c25095027_moe,c25095028,c25095028_moe,c25095029,c25095029_moe
BK09,Brooklyn Heights-Cobble Hill,4957,365,27,40,14,34,0,29,13,34,108,83,0,29,108,83,0,29,367,143,120,87,247,109,0,29,234,121,179,115,55,47,0,29,507,162,357,128,150,100,0,29,528,151,390,126,138,81,0,29,3186,324,2899,314,287,96,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,12683,487,573,148,25,55,425,131,123,76,823,156,130,69,693,146,0,55,1670,249,663,148,1007,208,0,55,1212,206,628,146,584,149,0,55,2076,271,1154,184,922,211,0,55,2011,293,1369,220,642,202,0,55,4318,390,3722,369,596,154,0,55
BK19,Brighton Beach,4047,321,302,137,34,55,162,103,106,84,222,89,56,54,166,77,0,38,466,138,226,97,240,105,0,38,388,133,216,102,172,87,0,38,413,111,307,97,106,63,0,38,785,181,404,129,381,135,0,38,1471,235,1325,233,146,87,0,38
BK21,Seagate-Coney Island,1856,212,113,78,0,38,61,55,52,68,142,72,33,41,109,66,0,38,186,83,35,56,151,71,0,38,289,114,206,103,83,59,0,38,308,102,188,84,120,70,0,38,303,120,236,112,67,64,0,38,515,148,421,140,94,66,0,38
BK23,West Brighton,3044,303,175,80,46,39,108,69,21,28,314,124,92,51,222,116,0,27,446,139,215,95,231,117,0,27,307,127,230,104,77,73,0,27,889,222,819,218,70,71,0,27,248,109,185,77,63,73,0,27,665,211,625,194,40,64,0,27
BK25,Homecrest,6287,358,220,98,14,48,146,86,60,63,475,129,106,77,369,113,0,48,721,156,135,67,586,146,0,48,1087,219,599,167,488,150,0,48,1352,197,838,159,514,118,0,48,874,180,517,123,357,130,0,48,1558,207,1197,172,361,119,0,48
BK26,Gravesend,4005,333,183,78,0,36,146,61,37,58,179,83,10,38,169,81,0,36,777,200,260,117,517,165,0,36,590,175,430,153,160,93,0,36,675,177,504,153,171,78,0,36,457,134,287,105,170,86,0,36,1144,192,1034,181,110,70,0,36
BK27,Bath Beach,4473,303,136,77,0,40,107,64,29,55,443,123,26,39,417,120,0,40,539,140,245,113,294,91,0,40,517,131,329,113,188,76,0,40,626,149,318,110,308,102,0,40,601,139,271,87,330,109,0,40,1611,208,1290,189,321,104,0,40
BK28,Bensonhurst West,10532,482,360,117,0,64,305,111,55,69,936,169,34,63,902,168,0,64,1500,225,228,88,1272,214,0,64,1521,228,742,162,779,168,0,64,1944,259,1266,202,678,165,0,64,1188,199,757,158,431,125,0,64,3083,305,2532,278,551,140,0,64
BK29,Bensonhurst East,7875,417,271,100,9,51,247,98,15,51,722,149,25,56,697,147,0,51,1171,199,265,92,906,181,0,51,1260,222,559,160,701,166,0,51,1249,212,769,171,480,130,0,51,1099,199,797,178,302,97,0,51,2103,244,1777,229,326,100,0,51
