area_id,area_name,b19301f001,b19301f001_moe
BK09,Brooklyn Heights-Cobble Hill,115158,49575
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,85689,28200
BK19,Brighton Beach,47778,14014
BK21,Seagate-Coney Island,92329,16846
BK25,Homecrest,104052,20460
BK26,Gravesend,104991,29362
BK27,Bath Beach,188938,62077
BK28,Bensonhurst West,234656,26521
BK29,Bensonhurst East,209108,28506
BK30,Dyker Heights,113593,31436
BK31,Bay Ridge,510568,70406
BK32,Sunset Park West,206888,16856
BK33,Carroll Gardens-Columbia Street-Red Hook,381805,75277
BK34,Sunset Park East,185904,21952
BK35,Stuyvesant Heights,317869,68356
BK37,Park Slope-Gowanus,397211,76067
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,170696,35250
BK40,Windsor Terrace,237814,89899
BK41,Kensington-Ocean Parkway,175170,40652
BK42,Flatbush,464717,70536
BK43,Midwood,131191,141582
BK44,Madison,193777,43206
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,230314,31893
BK46,Ocean Parkway South,98184,21755
BK50,Canarsie,353065,60538
BK58,Flatlands,403028,64301
BK60,Prospect Lefferts Gardens-Wingate,276495,34649
BK61,Crown Heights North,296046,38701
BK63,Crown Heights South,178376,75860
BK64,Prospect Heights,139101,38340
BK68,Fort Greene,215615,64257
BK69,Clinton Hill,215924,57359
BK72,Williamsburg,69431,28931
BK73,North Side-South Side,191081,28774
BK75,Bedford,353418,67010
BK76,Greenpoint,209882,34696
BK77,Bushwick North,162046,11455
BK78,Bushwick South,289550,27549
BK79,Ocean Hill,214572,82152
BK81,Brownsville,124797,25011
BK82,East New York,426129,89151
BK83,Cypress Hills-City Line,248020,37652
BK85,East New York (Pennsylvania Ave),89115,20743
BK88,Borough Park,193589,30252
BK90,East Williamsburg,250459,38631
BK91,East Flatbush-Farragut,197745,37915
BK93,Starrett City,45551,20248
BK95,Erasmus,58039,26034
BK96,Rugby-Remsen Village,115356,19306
BX01,Claremont-Bathgate,87315,13039
BX03,Eastchester-Edenwald-Baychester,121388,19877
BX05,Bedford Park-Fordham North,144164,12846
BX06,Belmont,55537,10369
BX07,Bronxdale,126499,13507
BX08,West Farms-Bronx River,95324,9452
BX09,Soundview-Castle Hill-Clason Point-Harding Park,208254,16859
BX10,Pelham Bay-Country Club-City Island,166575,32399
BX13,Co-op City,69136,18968
BX14,East Concourse-Concourse Village,187553,17358
BX17,East Tremont,117062,11993
BX22,North Riverdale-Fieldston-Riverdale,161749,33415
