area_id,area_name,b07004i001,b07004i001_moe,b07004i002,b07004i002_moe,b07004i003,b07004i003_moe,b07004i004,b07004i004_moe,b07004i005,b07004i005_moe,b07004i006,b07004i006_moe
BK09,Brooklyn Heights-Cobble Hill,1733,385,1478,343,147,172,60,53,31,43,17,34
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4783,787,4394,760,245,147,90,86,9,57,45,77
BK19,Brighton Beach,4102,791,3611,735,407,298,11,43,24,48,49,84
BK21,Seagate-Coney Island,6910,977,6661,966,148,81,20,49,0,38,81,102
BK23,West Brighton,169,143,168,143,0,27,0,27,1,24,0,27
BK25,Homecrest,2860,663,2564,622,126,173,45,68,46,97,79,96
BK26,Gravesend,4192,879,4035,870,122,104,35,48,0,36,0,36
BK27,Bath Beach,3489,814,3196,777,267,210,14,41,0,40,12,42
BK28,Bensonhurst West,12280,1480,11325,1413,799,328,14,66,0,64,142,155
BK29,Bensonhurst East,7275,1068,6434,1017,452,255,49,69,11,50,329,277
BK30,Dyker Heights,4193,802,3692,756,368,261,67,99,27,59,39,72
BK31,Bay Ridge,13148,1269,11585,1224,1147,367,218,112,162,115,36,74
BK32,Sunset Park West,33412,1771,30259,1728,1577,449,492,168,361,201,723,301
BK33,Carroll Gardens-Columbia Street-Red Hook,8480,932,7630,876,580,255,32,52,137,125,101,141
BK34,Sunset Park East,23438,1487,20377,1444,2206,601,307,167,212,129,336,186
BK35,Stuyvesant Heights,13503,1293,11549,1183,1060,416,517,319,227,183,150,179
BK37,Park Slope-Gowanus,12560,1267,11404,1250,596,185,253,105,210,125,97,91
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8319,871,7399,801,390,165,302,125,141,75,87,60
BK40,Windsor Terrace,3436,639,2964,576,157,143,215,268,79,64,21,45
BK41,Kensington-Ocean Parkway,4973,1027,4707,1010,212,143,29,58,0,40,25,48
BK42,Flatbush,19711,1838,18342,1812,750,334,183,115,263,175,173,146
BK43,Midwood,3245,709,3042,710,138,112,43,77,11,56,11,52
BK44,Madison,2675,644,2471,619,129,173,38,79,14,47,23,49
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4043,763,3671,645,288,329,19,60,65,79,0,55
BK46,Ocean Parkway South,1626,562,1564,563,42,43,20,34,0,36,0,36
BK50,Canarsie,7371,950,6793,909,281,163,148,118,99,121,50,88
BK58,Flatlands,5453,827,4928,778,460,262,60,111,0,62,5,62
BK60,Prospect Lefferts Gardens-Wingate,6914,1017,5756,960,826,385,269,207,63,117,0,58
BK61,Crown Heights North,11480,1282,10079,1242,693,227,460,216,210,150,38,87
BK63,Crown Heights South,3154,591,2667,548,211,158,63,60,58,59,155,111
BK64,Prospect Heights,2510,494,2247,480,81,83,127,96,11,33,44,61
BK68,Fort Greene,5069,687,4387,644,439,238,214,130,15,43,14,45
BK69,Clinton Hill,5853,767,4903,707,376,216,429,235,122,92,23,45
BK72,Williamsburg,3753,611,3695,610,13,39,17,41,11,36,17,44
BK73,North Side-South Side,17059,1231,16024,1192,427,174,454,250,87,76,67,69
BK75,Bedford,12819,1271,11552,1246,770,256,272,154,119,92,106,76
BK76,Greenpoint,4670,664,4160,637,256,111,127,86,73,77,54,64
BK77,Bushwick North,45708,1997,41493,2027,3124,784,451,209,300,168,340,170
BK78,Bushwick South,42196,2098,37300,2011,3644,790,620,242,202,105,430,189
BK79,Ocean Hill,5963,874,5472,861,383,179,93,81,13,34,2,36
BK81,Brownsville,10163,1222,9016,1109,819,369,141,83,165,161,22,55
BK82,East New York,25175,1743,23105,1702,1231,407,421,194,232,190,186,129
BK83,Cypress Hills-City Line,28553,1742,26359,1716,1375,440,499,271,165,143,155,108
BK85,East New York (Pennsylvania Ave),8549,1002,7730,971,477,249,208,114,77,70,57,72
BK88,Borough Park,10829,1353,10175,1323,549,348,19,69,17,68,69,85
BK90,East Williamsburg,10832,1003,10173,995,420,165,135,139,51,62,53,53
BK91,East Flatbush-Farragut,3230,608,3043,593,146,83,30,59,11,55,0,54
BK93,Starrett City,2644,812,2598,812,46,55,0,24,0,24,0,24
BK95,Erasmus,2931,807,2171,646,687,427,18,40,0,36,55,74
BK96,Rugby-Remsen Village,2583,620,2426,606,154,107,1,52,2,52,0,54
BK99,park-cemetery-etc-Brooklyn,86,74,66,81,0,40,0,40,20,50,0,40
BX01,Claremont-Bathgate,16757,1200,14577,1172,1571,467,429,178,68,53,112,81
BX03,Eastchester-Edenwald-Baychester,9034,1116,8159,1123,574,276,145,161,141,157,15,41
BX05,Bedford Park-Fordham North,35381,1846,30908,1840,3273,828,589,243,414,266,197,116
BX06,Belmont,15119,1335,12621,1232,1628,475,279,233,175,94,416,274
BX07,Bronxdale,16624,1277,14488,1269,1927,525,58,59,87,83,64,66
BX08,West Farms-Bronx River,23443,1590,20786,1564,1796,556,583,439,71,76,207,148
BX09,Soundview-Castle Hill-Clason Point-Harding Park,32786,1802,29557,1719,2165,651,517,291,277,357,270,206
BX10,Pelham Bay-Country Club-City Island,8094,1076,6201,1052,1255,386,329,272,226,216,83,88
BX13,Co-op City,12364,1416,11815,1418,291,175,167,190,44,50,47,45
BX14,East Concourse-Concourse Village,35754,2055,31203,2007,3040,742,663,298,233,191,615,251
BX17,East Tremont,28711,1651,25543,1597,2085,509,384,219,215,134,484,416
BX22,North Riverdale-Fieldston-Riverdale,4862,656,4257,630,305,172,208,109,56,64,36,60
BX26,Highbridge,22809,1405,19453,1282,1733,552,905,371,172,150,546,247
BX27,Hunts Point,20479,1179,17891,1149,1579,427,631,264,204,233,174,108
BX28,Van Cortlandt Village,31350,1693,27591,1622,2118,590,743,270,361,203,537,283
BX29,Spuyten Duyvil-Kingsbridge,10612,775,9165,742,765,382,515,225,14,38,153,147
BX30,Kingsbridge Heights,20696,1307,17159,1130,2122,647,858,467,137,122,420,270
BX31,Allerton-Pelham Gardens,9467,1060,8784,1054,467,186,150,86,33,62,33,46
BX33,Longwood,18019,1297,15661,1172,1748,639,375,204,120,73,115,83
BX34,Melrose South-Mott Haven North,26429,1606,22694,1581,2473,624,377,282,424,319,461,460
BX35,Morrisania-Melrose,22612,1457,20626,1460,1370,377,294,138,167,232,155,105
BX36,University Heights-Morris Heights,35248,1708,29305,1575,3248,741,1409,451,533,259,753,353
BX37,Van Nest-Morris Park-Westchester Square,16194,1201,13166,1147,2140,590,525,324,156,113,207,108
BX39,Mott Haven-Port Morris,36883,1593,33297,1650,2444,560,525,172,299,234,318,199
BX40,Fordham South,17786,1338,15264,1269,1348,506,674,341,233,169,267,188
BX41,Mount Hope,35357,1691,30352,1610,2684,574,1401,540,471,310,449,220
BX43,Norwood,22644,1932,20148,1916,1737,587,319,206,176,161,264,149
BX44,Williamsbridge-Olinville,13132,1204,11116,1038,1572,583,347,222,54,79,43,64
BX46,Parkchester,10591,919,9754,863,477,204,293,228,26,40,41,48
BX49,Pelham Parkway,10761,996,9452,935,893,421,150,119,68,114,198,163
BX52,Schuylerville-Throgs Neck-Edgewater Park,18037,1430,15897,1336,1214,425,263,143,580,372,83,105
