area_id,area_name,b10058001,b10058001_moe,b10058002,b10058002_moe,b10058003,b10058003_moe,b10058004,b10058004_moe,b10058005,b10058005_moe,b10058006,b10058006_moe,b10058007,b10058007_moe,b10058008,b10058008_moe,b10058009,b10058009_moe,b10058010,b10058010_moe,b10058011,b10058011_moe
BX01,Claremont-Bathgate,1049,281,476,177,241,115,234,115,7,40,235,134,573,209,196,136,51,67,145,124,377,161
BX03,Eastchester-Edenwald-Baychester,1526,375,902,313,372,236,250,176,122,159,530,183,624,189,235,130,92,88,143,95,389,142
BX05,Bedford Park-Fordham North,1754,365,728,226,345,161,326,159,19,53,383,169,1026,282,255,117,152,99,103,85,771,255
BX06,Belmont,530,179,202,106,14,37,14,37,0,34,188,104,328,154,83,71,83,71,0,34,245,138
BX07,Bronxdale,922,272,326,126,204,98,144,92,60,56,122,88,596,241,218,114,128,88,90,81,378,195
BX08,West Farms-Bronx River,854,231,418,146,137,88,120,86,17,41,281,123,436,175,87,112,0,40,87,112,349,136
BX09,Soundview-Castle Hill-Clason Point-Harding Park,1675,339,779,239,368,188,325,171,43,68,411,159,896,221,223,121,116,93,107,86,673,190
BX10,Pelham Bay-Country Club-City Island,450,177,120,83,38,50,38,50,0,34,82,73,330,150,106,88,36,52,70,76,224,114
BX13,Co-op City,1324,414,656,302,416,252,355,244,61,55,240,167,668,235,71,62,0,33,71,62,597,236
BX14,East Concourse-Concourse Village,2312,419,903,262,377,178,328,164,49,67,526,197,1409,322,423,175,195,131,228,127,986,269
BX17,East Tremont,1451,301,427,160,219,123,183,112,36,58,208,104,1024,255,441,152,324,136,117,72,583,207
BX22,North Riverdale-Fieldston-Riverdale,212,110,56,57,35,48,27,46,8,38,21,41,156,102,0,38,0,38,0,38,156,102
BX26,Highbridge,1088,260,487,167,286,129,260,123,26,56,201,101,601,202,216,107,92,77,124,82,385,163
BX27,Hunts Point,774,188,362,131,184,95,184,95,0,38,178,83,412,123,185,96,97,74,88,69,227,94
