area_id,area_name,c24010a001,c24010a001_moe,c24010a002,c24010a002_moe,c24010a003,c24010a003_moe,c24010a004,c24010a004_moe,c24010a005,c24010a005_moe,c24010a006,c24010a006_moe,c24010a007,c24010a007_moe,c24010a008,c24010a008_moe,c24010a009,c24010a009_moe,c24010a010,c24010a010_moe,c24010a011,c24010a011_moe,c24010a012,c24010a012_moe,c24010a013,c24010a013_moe
BK09,Brooklyn Heights-Cobble Hill,11658,677,6135,470,4619,402,274,128,972,222,169,112,101,79,5523,395,4070,366,327,120,1068,223,10,31,48,41
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,20374,934,10510,561,4496,444,1215,257,1763,292,1437,258,1599,286,9864,631,5062,453,1743,320,2767,358,34,57,258,113
BK19,Brighton Beach,10384,720,5127,463,1908,281,731,205,984,230,708,196,796,197,5257,458,2137,318,1735,297,1223,229,33,48,129,100
BK21,Seagate-Coney Island,4252,547,2210,360,432,152,563,194,503,159,355,137,357,155,2042,334,581,173,665,198,678,200,36,55,82,84
BK23,West Brighton,6188,670,2605,386,1136,273,274,133,387,146,386,149,422,167,3583,424,1387,273,1072,272,1009,242,14,32,101,78
BK25,Homecrest,13838,730,8203,499,3218,323,1052,260,2002,265,1019,225,912,183,5635,429,2057,263,1320,228,2123,301,0,48,135,85
BK26,Gravesend,6167,577,2996,371,740,184,361,133,687,190,646,178,562,164,3171,336,1357,255,911,199,839,186,14,41,50,63
BK27,Bath Beach,7198,712,4011,463,1427,259,589,166,791,175,617,263,587,161,3187,392,1423,314,518,172,1135,217,16,40,95,108
BK28,Bensonhurst West,19461,972,10736,662,2701,345,1878,321,2174,335,2066,340,1917,299,8725,595,2992,354,2372,339,3028,352,27,65,306,122
BK29,Bensonhurst East,14299,843,7985,570,1857,265,1227,238,1224,243,2146,366,1531,292,6314,522,2217,290,1875,358,1934,290,31,68,257,115
BK30,Dyker Heights,11378,713,6451,534,1993,266,1058,224,1190,222,1648,359,562,158,4927,401,2243,271,790,193,1709,244,40,61,145,88
BK31,Bay Ridge,29190,978,15930,697,6718,473,2264,310,3061,361,1728,331,2159,338,13260,647,7644,492,1697,264,3679,368,9,66,231,110
BK32,Sunset Park West,11519,854,6748,634,2179,314,1338,323,961,204,1095,295,1175,251,4771,444,1794,261,1316,251,1254,265,23,54,384,147
BK33,Carroll Gardens-Columbia Street-Red Hook,15678,728,7807,504,5466,445,567,148,1119,217,319,141,336,129,7871,539,5299,438,714,206,1704,250,6,44,148,104
BK34,Sunset Park East,9601,773,5688,561,1353,272,1256,284,935,209,1052,289,1092,240,3913,407,1276,220,1013,230,1104,226,94,87,426,154
BK35,Stuyvesant Heights,3086,545,1564,327,560,175,297,136,337,158,166,108,204,111,1522,321,588,188,530,192,329,117,54,64,21,56
BK37,Park Slope-Gowanus,34674,1187,17184,799,12747,670,1261,279,2125,328,427,148,624,200,17490,818,12995,696,1314,263,2874,362,46,77,261,131
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11317,587,5866,422,4239,361,326,116,966,217,187,86,148,84,5451,356,3916,306,313,111,1135,210,0,42,87,61
BK40,Windsor Terrace,9971,609,5072,361,2966,293,577,173,789,195,420,153,320,125,4899,389,3534,333,352,129,914,183,0,32,99,74
