area_id,area_name,c23002d001,c23002d001_moe,c23002d002,c23002d002_moe,c23002d003,c23002d003_moe,c23002d004,c23002d004_moe,c23002d005,c23002d005_moe,c23002d006,c23002d006_moe,c23002d007,c23002d007_moe,c23002d008,c23002d008_moe,c23002d009,c23002d009_moe,c23002d010,c23002d010_moe,c23002d011,c23002d011_moe,c23002d012,c23002d012_moe,c23002d013,c23002d013_moe,c23002d014,c23002d014_moe,c23002d015,c23002d015_moe,c23002d016,c23002d016_moe,c23002d017,c23002d017_moe,c23002d018,c23002d018_moe,c23002d019,c23002d019_moe,c23002d020,c23002d020_moe,c23002d021,c23002d021_moe,c23002d022,c23002d022_moe,c23002d023,c23002d023_moe,c23002d024,c23002d024_moe,c23002d025,c23002d025_moe,c23002d026,c23002d026_moe,c23002d027,c23002d027_moe
BK09,Brooklyn Heights-Cobble Hill,1621,364,574,173,566,172,473,164,0,29,473,164,473,164,0,29,93,56,8,29,8,29,8,29,0,29,0,29,1047,253,941,237,709,196,0,29,709,196,705,196,4,28,232,113,106,85,0,29,0,29,0,29,106,85
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,8058,874,3797,455,3252,409,2491,330,0,55,2491,330,2245,309,246,124,761,202,545,155,39,60,39,60,0,55,506,154,4261,496,3692,457,2264,343,0,55,2264,343,2111,332,153,88,1428,240,569,150,63,70,52,70,11,56,506,143
BK19,Brighton Beach,3271,557,1702,315,1531,297,1182,240,9,39,1173,240,999,220,174,91,349,168,171,74,19,40,19,40,0,38,152,68,1569,310,1402,285,796,196,0,38,796,196,734,182,62,55,606,196,167,81,21,46,21,46,0,38,146,78
BK21,Seagate-Coney Island,2552,509,1473,374,1210,375,831,263,0,38,831,263,787,261,44,46,379,159,263,99,7,39,7,39,0,38,256,100,1079,216,901,205,472,153,0,38,472,153,434,147,38,41,429,137,178,89,14,37,14,37,0,38,164,89
BK23,West Brighton,97,87,57,58,38,41,38,41,0,27,38,41,38,41,0,27,0,27,19,33,0,27,0,27,0,27,19,33,40,40,21,33,8,28,0,27,8,28,8,28,0,27,13,33,19,33,0,27,0,27,0,27,19,33
BK25,Homecrest,3514,623,1810,350,1587,337,1149,265,0,48,1149,265,1027,257,122,76,438,155,223,108,60,75,60,75,0,48,163,90,1704,304,1431,276,1000,214,0,48,1000,214,884,197,116,76,431,153,273,102,0,48,0,48,0,48,273,102
BK26,Gravesend,5187,705,2544,373,2291,344,1880,305,0,36,1880,305,1725,287,155,91,411,125,253,112,6,34,0,36,6,34,247,112,2643,379,2427,355,1487,264,0,36,1487,264,1328,238,159,78,940,206,216,110,0,36,0,36,0,36,216,110
BK27,Bath Beach,7094,806,3398,431,3209,421,2330,316,0,40,2330,316,2171,312,159,78,879,242,189,74,33,43,27,43,6,39,156,68,3696,445,3396,411,1892,298,0,40,1892,298,1704,278,188,98,1504,266,300,109,13,40,13,40,0,40,287,108
BK28,Bensonhurst West,25788,1492,12760,797,11516,770,8722,622,21,66,8701,622,7620,591,1081,204,2794,408,1244,212,251,129,235,126,16,64,993,178,13028,838,11681,779,6497,535,0,64,6497,535,6082,514,415,123,5184,493,1347,211,103,81,96,80,7,64,1244,202
BK29,Bensonhurst East,18905,1239,9253,657,8157,620,6832,536,0,51,6832,536,6177,516,655,183,1325,250,1096,196,147,81,147,81,0,51,949,192,9652,688,8545,657,4973,498,0,51,4973,498,4452,455,521,168,3572,425,1107,186,52,63,52,63,0,51,1055,184
BK30,Dyker Heights,12949,1039,6335,563,5717,533,4190,431,0,51,4190,431,3691,418,499,148,1527,265,618,158,100,80,100,80,0,51,518,148,6614,593,5977,564,4007,453,0,51,4007,453,3727,450,280,107,1970,367,637,157,16,50,5,50,11,49,621,156
BK31,Bay Ridge,9886,928,4742,521,4160,488,3113,385,4,65,3109,385,2925,372,184,86,1047,225,582,134,73,68,73,68,0,66,509,130,5144,502,4284,446,2852,346,0,66,2852,346,2575,320,277,116,1432,246,860,193,66,77,66,77,0,66,794,190
BK32,Sunset Park West,7025,828,3255,476,2932,469,2148,370,0,49,2148,370,1888,369,260,113,784,201,323,108,70,64,33,51,37,62,253,101,3770,463,3236,441,2334,383,0,49,2334,383,2166,375,168,91,902,208,534,141,0,49,0,49,0,49,534,141
BK33,Carroll Gardens-Columbia Street-Red Hook,1998,511,836,301,749,293,676,267,0,45,676,267,660,267,16,46,73,82,87,64,12,49,12,49,0,45,75,61,1162,300,1101,296,845,251,0,45,845,251,788,248,57,59,256,125,61,53,10,46,10,46,0,45,51,52
BK34,Sunset Park East,27668,1424,13847,805,12689,787,10425,680,0,59,10425,680,8896,633,1529,269,2264,316,1158,217,177,116,177,116,0,59,981,190,13821,770,12481,729,7621,571,0,59,7621,571,6601,493,1020,231,4860,490,1340,223,54,72,32,64,22,67,1286,219
