area_id,area_name,b20017f001,b20017f001_moe,b20017f002,b20017f002_moe,b20017f003,b20017f003_moe,b20017f004,b20017f004_moe,b20017f005,b20017f005_moe,b20017f006,b20017f006_moe,b20017f007,b20017f007_moe
BK32,Sunset Park West,263272,20965,270659,30337,313556,38701,174274,75237,232574,38987,341124,63850,91148,45513
BK33,Carroll Gardens-Columbia Street-Red Hook,52933,17240,56664,30487,57899,37253,75347,51237,52523,23774,59425,30377,21966,24559
BK34,Sunset Park East,80912,13376,99368,18338,122362,66686,47342,22001,61945,12430,93768,62004,49376,18071
BK35,Stuyvesant Heights,40376,24132,59772,45239,76084,44465,16284,6321,43733,34416,109157,86438,28758,40746
BK37,Park Slope-Gowanus,43465,36994,42878,25151,45831,68941,28185,5581,51298,45420,73550,46477,45824,38246
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,22361,12576,31836,23086,32188,28116,4250,79357,11850,18509,12150,16385,9167,28320
BK40,Windsor Terrace,43217,2250,42944,3271,44435,1594,38679,282,43500,27300,65603,35373,6786,51023
BK42,Flatbush,70378,13640,71362,11863,93447,50637,47754,14096,54216,37743,105050,79562,31793,38571
BK68,Fort Greene,18661,35022,40833,55177,67596,31855,3646,39657,17946,29438,19911,45988,2708,12778
BK73,North Side-South Side,36247,7377,36204,48133,54481,74903,33831,19339,35054,6871,46163,23727,33842,31072
BK75,Bedford,50614,25998,51212,48854,94865,61724,44173,31795,46291,26247,82922,158705,28900,15667
BK77,Bushwick North,185550,10577,187420,19424,207381,34514,108559,50184,180508,26336,211625,39112,134338,40984
BK78,Bushwick South,266839,52417,294872,96551,372938,102311,168700,99863,242393,59915,360649,66391,120088,25823
BK79,Ocean Hill,47850,12294,50313,20246,60426,16488,7067,2037,47650,39040,47600,25431,67546,110871
BK81,Brownsville,28833,2751,36543,12466,41111,12613,40303,11650,32222,20662,42958,39978,26188,12335
BK82,East New York,43156,8783,62567,25651,79973,33958,45755,27750,39676,7996,51821,23865,34672,9522
BK83,Cypress Hills-City Line,58315,24094,81514,21067,91161,22445,61655,72546,53211,28474,96184,48015,42136,21446
BK85,East New York (Pennsylvania Ave),43137,25876,50249,32402,58039,28500,24544,29300,33107,24381,51800,73369,15139,15351
BK88,Borough Park,57728,12269,60859,14560,72166,11939,53932,55327,46367,23485,51787,38260,31802,28153
BK90,East Williamsburg,46113,26972,33490,6271,59146,58127,16758,10125,51396,12020,77267,13379,23480,7385
BK95,Erasmus,20042,8681,21667,11582,21958,13874,19375,89517,9144,755,9321,37832,8816,317
BX01,Claremont-Bathgate,103080,19843,120755,22839,144344,32317,64867,44637,89279,19508,128459,24476,35425,20063
BX05,Bedford Park-Fordham North,176111,16671,197674,27179,227645,35988,91255,235620,146370,23212,223341,29203,79748,19514
BX06,Belmont,66318,7206,82010,11866,84720,27549,59407,35679,43307,6920,96650,41683,29277,7511
BX07,Bronxdale,154509,24077,160175,37661,205958,53287,94737,100588,143973,54401,213330,50354,67542,66664
BX08,West Farms-Bronx River,150807,17987,175377,20375,185226,45849,102253,37535,110249,22565,148957,43169,72780,32483
BX09,Soundview-Castle Hill-Clason Point-Harding Park,239870,28847,266416,42322,310471,47453,119756,98867,231580,28966,266244,47885,83319,37105
BX10,Pelham Bay-Country Club-City Island,40096,17485,17398,50612,42447,32676,4091,9450,41222,6665,42301,4681,15341,16963
BX13,Co-op City,63104,11708,67599,44008,70455,103139,57065,103981,52713,18704,91605,12883,8534,11511
BX14,East Concourse-Concourse Village,214232,32571,242287,46230,318694,40076,137494,33857,195539,60483,297664,56344,98476,12256
BX17,East Tremont,157775,23486,203780,50680,303927,63927,96027,47254,145342,20349,225281,57207,103920,16341
BX22,North Riverdale-Fieldston-Riverdale,38750,22583,30500,19363,41818,38931,20500,21838,48594,28877,51667,19907,4400,17581
BX26,Highbridge,124719,15556,149623,34652,208921,17256,74633,20426,117680,17826,172125,33302,67907,15504
BX27,Hunts Point,88005,11658,94192,21139,162118,74808,54634,20059,72227,27769,110208,12812,94920,107897
BX28,Van Cortlandt Village,206215,25778,238678,32541,301402,91739,114449,58121,178205,41148,336014,79947,63121,27207
BX29,Spuyten Duyvil-Kingsbridge,34440,11671,35714,6254,35960,4736,3472,71925,27837,54146,29327,79953,10347,15173
BX30,Kingsbridge Heights,122693,20465,123153,13987,155017,41752,62912,15348,137080,17157,174088,29102,64151,22747
BX31,Allerton-Pelham Gardens,127758,55410,132304,98912,187392,95304,24571,19556,132414,74542,200325,73220,33354,97827
BX33,Longwood,98908,11929,115387,26746,129901,26378,58955,29251,88854,15938,120683,33786,40896,14650
BX34,Melrose South-Mott Haven North,141254,15576,165768,44675,194626,30135,90068,41321,124338,19921,204793,40051,66679,21535
BX35,Morrisania-Melrose,124914,13590,140740,21423,158793,21777,112961,48481,109990,13632,175727,24312,60241,24783
BX36,University Heights-Morris Heights,173029,20915,205095,35185,268968,30743,107548,42186,166292,41675,227966,25000,85925,31071
BX37,Van Nest-Morris Park-Westchester Square,172704,19011,188185,42465,240057,48050,49035,58671,158692,19763,179862,20784,49224,19032
BX39,Mott Haven-Port Morris,137704,11383,145638,15274,167850,29080,110009,35163,128377,18331,203452,54528,105093,24055
BX40,Fordham South,66043,13097,93476,26238,98559,24970,16272,48951,52794,14848,84074,21478,29061,8842
BX41,Mount Hope,196346,17743,224739,33974,317002,52718,124488,57694,185102,16845,254708,37375,113270,19677
BX43,Norwood,90182,14079,100813,18885,110799,12962,43191,17442,79209,32149,116925,31988,42471,8663
BX44,Williamsbridge-Olinville,79323,17530,87949,29266,92902,52001,48538,48732,72108,21527,96631,53483,39564,20063
BX46,Parkchester,144045,21550,149531,52671,190924,27852,33819,23045,134119,39318,159080,39294,57407,55086
BX49,Pelham Parkway,70033,16822,76254,19897,83392,43595,57860,34859,67635,49475,131402,36896,39633,17375
