area_id,area_name,b19037f001,b19037f001_moe,b19037f002,b19037f002_moe,b19037f003,b19037f003_moe,b19037f004,b19037f004_moe,b19037f005,b19037f005_moe,b19037f006,b19037f006_moe,b19037f007,b19037f007_moe,b19037f008,b19037f008_moe,b19037f009,b19037f009_moe,b19037f010,b19037f010_moe,b19037f011,b19037f011_moe,b19037f012,b19037f012_moe,b19037f013,b19037f013_moe,b19037f014,b19037f014_moe,b19037f015,b19037f015_moe,b19037f016,b19037f016_moe,b19037f017,b19037f017_moe,b19037f018,b19037f018_moe,b19037f019,b19037f019_moe,b19037f020,b19037f020_moe,b19037f021,b19037f021_moe,b19037f022,b19037f022_moe,b19037f023,b19037f023_moe,b19037f024,b19037f024_moe,b19037f025,b19037f025_moe,b19037f026,b19037f026_moe,b19037f027,b19037f027_moe,b19037f028,b19037f028_moe,b19037f029,b19037f029_moe,b19037f030,b19037f030_moe,b19037f031,b19037f031_moe,b19037f032,b19037f032_moe,b19037f033,b19037f033_moe,b19037f034,b19037f034_moe,b19037f035,b19037f035_moe,b19037f036,b19037f036_moe,b19037f037,b19037f037_moe,b19037f038,b19037f038_moe,b19037f039,b19037f039_moe,b19037f040,b19037f040_moe,b19037f041,b19037f041_moe,b19037f042,b19037f042_moe,b19037f043,b19037f043_moe,b19037f044,b19037f044_moe,b19037f045,b19037f045_moe,b19037f046,b19037f046_moe,b19037f047,b19037f047_moe,b19037f048,b19037f048_moe,b19037f049,b19037f049_moe,b19037f050,b19037f050_moe,b19037f051,b19037f051_moe,b19037f052,b19037f052_moe,b19037f053,b19037f053_moe,b19037f054,b19037f054_moe,b19037f055,b19037f055_moe,b19037f056,b19037f056_moe,b19037f057,b19037f057_moe,b19037f058,b19037f058_moe,b19037f059,b19037f059_moe,b19037f060,b19037f060_moe,b19037f061,b19037f061_moe,b19037f062,b19037f062_moe,b19037f063,b19037f063_moe,b19037f064,b19037f064_moe,b19037f065,b19037f065_moe,b19037f066,b19037f066_moe,b19037f067,b19037f067_moe,b19037f068,b19037f068_moe,b19037f069,b19037f069_moe
BK09,Brooklyn Heights-Cobble Hill,190,134,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,61,70,0,29,0,29,0,29,0,29,29,52,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,32,55,63,89,0,29,0,29,0,29,0,29,0,29,0,29,0,29,11,31,0,29,0,29,52,88,0,29,0,29,0,29,0,29,0,29,66,77,0,29,6,28,0,29,17,39,0,29,0,29,43,73,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,325,159,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,205,148,90,111,0,55,0,55,0,55,23,66,65,95,27,69,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,79,74,43,69,0,55,0,55,0,55,9,55,0,55,0,55,0,55,0,55,14,58,0,55,13,57,0,55,0,55,0,55,0,55,41,63,0,55,0,55,14,58,0,55,10,56,0,55,0,55,0,55,0,55,17,59,0,55,0,55,0,55,0,55,0,55,0,55
BK19,Brighton Beach,147,94,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,73,75,0,38,0,38,0,38,0,38,28,57,0,38,0,38,0,38,0,38,23,52,0,38,0,38,22,50,0,38,0,38,0,38,66,66,15,44,0,38,0,38,3,37,0,38,10,41,0,38,29,58,0,38,9,39,0,38,0,38,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,924,229,25,48,0,38,0,38,0,38,0,38,0,38,4,37,0,38,21,49,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,182,102,12,41,12,41,7,38,25,43,20,46,0,38,11,40,7,38,11,40,14,48,0,38,63,76,0,38,0,38,0,38,0,38,534,189,121,85,117,122,36,54,0,38,0,38,34,67,89,75,0,38,54,67,18,41,10,39,33,50,0,38,0,38,22,51,0,38,183,101,42,56,38,46,12,39,91,86,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,315,136,50,71,27,64,0,48,0,48,0,48,0,48,23,58,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,136,89,0,48,0,48,21,56,12,50,15,53,0,48,0,48,34,68,0,48,16,52,15,52,0,48,23,52,0,48,0,48,0,48,89,90,0,48,0,48,0,48,26,61,25,56,10,49,0,48,0,48,0,48,25,76,0,48,0,48,3,48,0,48,0,48,0,48,40,69,0,48,0,48,0,48,31,69,0,48,0,48,0,48,0,48,0,48,0,48,9,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,543,159,12,39,0,36,12,39,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,392,150,38,65,117,114,52,81,42,73,0,36,0,36,0,36,0,36,35,63,35,48,45,56,22,56,6,35,0,36,0,36,0,36,108,94,0,36,53,87,0,36,0,36,0,36,26,41,0,36,0,36,0,36,5,35,0,36,0,36,0,36,0,36,0,36,24,42,31,47,31,47,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,429,173,13,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,13,44,0,40,0,40,0,40,0,40,0,40,266,148,68,101,0,40,0,40,0,40,0,40,20,50,87,104,0,40,19,50,11,42,30,51,15,45,0,40,0,40,0,40,16,44,116,82,9,42,0,40,0,40,0,40,0,40,13,42,12,42,0,40,0,40,18,48,6,39,18,43,40,71,0,40,0,40,0,40,34,60,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,34,60,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,1019,236,91,90,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,43,79,48,76,0,64,0,64,0,64,0,64,636,202,74,93,0,64,7,63,83,88,70,89,76,94,93,99,19,66,0,64,24,74,90,95,74,90,0,64,26,75,0,64,0,64,253,127,16,66,45,81,0,64,0,64,34,74,13,65,0,64,0,64,29,76,36,84,56,78,12,65,0,64,12,65,0,64,0,64,39,77,16,67,0,64,0,64,23,73,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,633,175,43,68,0,51,0,51,0,51,17,55,0,51,0,51,0,51,0,51,0,51,0,51,26,64,0,51,0,51,0,51,0,51,0,51,286,125,30,60,6,51,19,58,52,61,0,51,56,82,52,75,0,51,2,50,36,60,0,51,33,63,0,51,0,51,0,51,0,51,248,113,0,51,19,57,24,62,15,55,0,51,33,61,0,51,12,52,32,57,19,58,44,63,0,51,0,51,50,75,0,51,0,51,56,65,0,51,8,51,0,51,0,51,0,51,0,51,0,51,0,51,22,59,26,57,0,51,0,51,0,51,0,51,0,51,0,51
BK30,Dyker Heights,372,141,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,263,120,0,51,0,51,13,54,20,59,30,57,0,51,24,62,0,51,0,51,55,77,57,69,35,64,29,66,0,51,0,51,0,51,75,78,0,51,10,52,0,51,26,62,0,51,33,70,0,51,0,51,0,51,0,51,6,50,0,51,0,51,0,51,0,51,0,51,34,63,0,51,25,62,0,51,9,52,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK31,Bay Ridge,1626,293,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,981,232,92,101,10,65,23,69,71,88,27,79,47,98,28,70,96,90,59,91,104,99,180,103,151,103,44,76,8,66,41,76,0,66,587,186,41,83,0,66,28,72,53,85,25,68,43,92,116,108,64,87,39,71,50,78,10,67,43,81,45,86,19,68,11,67,0,66,58,84,14,65,35,85,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,9,66,0,66,0,66,0,66,0,66
BK32,Sunset Park West,4864,404,289,122,5,49,41,66,101,85,22,58,0,49,0,49,42,69,15,52,19,57,0,49,10,51,21,58,13,52,0,49,0,49,0,49,2598,334,161,98,91,75,114,79,321,133,171,92,176,98,187,99,172,101,210,108,221,107,219,124,188,109,177,95,114,84,40,58,36,62,1413,240,127,89,66,69,67,66,159,102,117,88,100,77,11,50,176,99,57,59,120,80,219,103,96,80,29,58,10,51,22,56,37,60,564,160,113,68,56,60,118,83,100,85,31,61,24,60,21,56,35,62,12,51,0,49,20,52,11,51,14,48,9,49,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,1899,327,33,66,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,33,66,0,45,0,45,0,45,0,45,0,45,708,201,58,79,97,86,14,47,22,54,33,67,32,65,15,49,31,65,0,45,14,47,48,69,72,79,50,61,94,96,103,110,25,58,685,179,128,103,117,97,20,46,0,45,34,52,23,54,54,81,0,45,62,71,58,70,151,119,15,49,0,45,7,45,10,46,6,45,473,207,122,102,130,107,28,61,49,59,0,45,0,45,0,45,0,45,0,45,53,77,42,79,0,45,0,45,49,90,0,45,0,45
BK34,Sunset Park East,2900,329,240,113,17,62,18,63,0,59,31,66,23,68,39,67,46,78,0,59,23,61,22,67,21,65,0,59,0,59,0,59,0,59,0,59,1450,255,128,97,84,82,117,85,141,84,148,96,53,69,145,112,175,111,118,88,66,69,66,68,104,77,46,68,38,62,0,59,21,65,967,216,117,91,69,69,26,63,101,86,63,83,80,94,110,89,112,90,50,69,87,87,55,67,87,94,10,58,0,59,0,59,0,59,243,102,60,71,10,59,26,63,93,83,4,57,0,59,0,59,0,59,21,65,0,59,0,59,18,62,0,59,11,60,0,59,0,59
BK35,Stuyvesant Heights,1688,282,145,100,53,75,17,56,0,51,23,62,0,51,52,70,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,694,210,198,124,30,65,0,51,72,83,26,65,0,51,83,89,51,68,16,56,0,51,99,87,9,51,78,84,32,61,0,51,0,51,509,158,88,71,73,81,96,80,0,51,0,51,44,70,56,66,30,69,25,63,33,60,0,51,50,69,9,52,0,51,5,51,0,51,340,132,70,78,75,82,70,73,0,51,11,53,0,51,2,50,32,70,0,51,21,59,41,66,0,51,0,51,18,57,0,51,0,51
BK37,Park Slope-Gowanus,2343,355,113,107,0,58,0,58,62,90,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,25,70,0,58,0,58,26,70,0,58,958,264,112,105,0,58,0,58,57,94,54,76,71,90,65,80,51,78,48,82,144,113,122,125,90,90,78,87,0,58,0,58,66,100,843,224,128,118,42,87,102,98,0,58,42,75,27,70,25,68,72,76,44,77,152,106,75,81,36,69,74,98,0,58,15,60,9,58,429,150,56,73,82,80,64,77,19,59,25,66,66,94,19,64,0,58,33,65,30,73,0,58,28,63,7,57,0,58,0,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1549,231,35,65,35,65,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,415,148,109,87,27,49,0,42,50,63,0,42,0,42,0,42,77,76,0,42,39,55,32,54,0,42,12,45,19,49,50,67,0,42,710,180,244,117,78,87,30,47,75,88,28,60,24,54,110,77,0,42,0,42,0,42,34,56,18,47,35,68,0,42,34,66,0,42,389,141,96,76,53,66,35,52,45,55,14,45,41,69,44,65,36,64,0,42,0,42,0,42,0,42,0,42,25,57,0,42,0,42
