area_id,area_name,b07004g001,b07004g001_moe,b07004g002,b07004g002_moe,b07004g003,b07004g003_moe,b07004g004,b07004g004_moe,b07004g005,b07004g005_moe,b07004g006,b07004g006_moe
BK09,Brooklyn Heights-Cobble Hill,906,311,774,295,29,47,36,46,43,43,24,39
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,520,323,459,310,21,57,0,55,9,57,31,75
BK19,Brighton Beach,769,355,625,329,144,125,0,38,0,38,0,38
BK21,Seagate-Coney Island,589,332,536,327,53,50,0,38,0,38,0,38
BK23,West Brighton,76,70,76,70,0,27,0,27,0,27,0,27
BK25,Homecrest,562,432,325,240,99,129,0,48,41,80,97,162
BK26,Gravesend,333,160,273,128,40,67,20,43,0,36,0,36
BK27,Bath Beach,296,145,257,133,32,70,0,40,7,42,0,40
BK28,Bensonhurst West,683,217,649,212,0,64,20,65,0,64,14,67
BK29,Bensonhurst East,829,372,802,367,0,51,0,51,5,50,22,62
BK30,Dyker Heights,413,202,317,190,78,75,0,51,0,51,18,57
BK31,Bay Ridge,1770,482,1600,466,45,71,72,114,53,75,0,66
BK32,Sunset Park West,1561,399,1279,377,61,65,48,63,102,89,71,87
BK33,Carroll Gardens-Columbia Street-Red Hook,1590,448,1390,439,123,94,77,64,0,45,0,45
BK34,Sunset Park East,1067,318,908,293,98,77,42,72,19,60,0,59
BK35,Stuyvesant Heights,1122,342,940,327,142,97,14,51,15,55,11,52
BK37,Park Slope-Gowanus,2736,420,2342,386,208,110,105,91,68,86,13,59
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1422,287,1054,253,203,96,92,77,53,53,20,44
BK40,Windsor Terrace,619,223,516,215,40,44,0,32,42,59,21,45
BK41,Kensington-Ocean Parkway,895,285,783,257,30,49,0,40,10,41,72,85
BK42,Flatbush,2351,560,1936,493,219,145,32,79,77,123,87,122
BK43,Midwood,643,236,513,208,109,97,10,52,0,51,11,52
BK44,Madison,304,139,289,138,0,46,0,46,15,50,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,733,243,699,237,34,75,0,55,0,55,0,55
BK46,Ocean Parkway South,131,82,99,63,0,36,10,37,22,48,0,36
BK50,Canarsie,676,229,541,199,92,99,9,72,5,70,29,73
BK58,Flatlands,1032,319,939,309,67,78,1,61,0,62,25,73
BK60,Prospect Lefferts Gardens-Wingate,1307,441,1127,381,57,71,0,58,63,117,60,118
BK61,Crown Heights North,1907,383,1638,361,67,75,73,81,88,97,41,100
BK63,Crown Heights South,295,177,264,174,16,44,15,43,0,40,0,40
BK64,Prospect Heights,760,207,651,197,45,51,53,44,11,34,0,32
BK68,Fort Greene,1296,319,973,238,283,213,24,44,16,44,0,38
BK69,Clinton Hill,1464,364,1315,355,47,46,46,49,26,47,30,46
BK72,Williamsburg,298,179,298,179,0,36,0,36,0,36,0,36
BK73,North Side-South Side,1319,367,1075,350,88,79,79,62,77,71,0,48
BK75,Bedford,1362,340,1181,324,99,79,40,68,9,57,33,62
BK76,Greenpoint,684,238,543,198,19,44,122,133,0,42,0,42
BK77,Bushwick North,1486,416,1239,378,161,140,24,56,28,53,34,76
BK78,Bushwick South,2162,551,1948,513,151,131,14,57,36,60,13,66
BK79,Ocean Hill,344,160,331,159,12,38,1,36,0,38,0,38
BK81,Brownsville,783,221,716,217,27,55,37,59,3,50,0,51
BK82,East New York,1221,358,1171,346,23,66,22,68,0,65,5,64
BK83,Cypress Hills-City Line,708,218,662,198,13,50,27,64,0,49,6,49
