area_id,area_name,b14007g001,b14007g001_moe,b14007g002,b14007g002_moe,b14007g003,b14007g003_moe,b14007g004,b14007g004_moe,b14007g005,b14007g005_moe,b14007g006,b14007g006_moe,b14007g007,b14007g007_moe,b14007g008,b14007g008_moe,b14007g009,b14007g009_moe,b14007g010,b14007g010_moe,b14007g011,b14007g011_moe,b14007g012,b14007g012_moe,b14007g013,b14007g013_moe,b14007g014,b14007g014_moe,b14007g015,b14007g015_moe,b14007g016,b14007g016_moe,b14007g017,b14007g017_moe,b14007g018,b14007g018_moe,b14007g019,b14007g019_moe
BK09,Brooklyn Heights-Cobble Hill,831,305,358,263,94,64,16,36,0,29,9,31,0,29,0,29,14,34,94,154,0,29,24,37,0,29,46,79,0,29,0,29,41,50,20,40,473,180
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,511,322,196,148,0,55,8,55,0,55,47,91,0,55,0,55,0,55,0,55,0,55,0,55,15,60,0,55,15,59,26,60,59,81,26,69,315,219
BK19,Brighton Beach,769,355,302,220,9,39,0,38,0,38,23,50,40,54,0,38,0,38,0,38,0,38,0,38,0,38,30,62,18,44,8,39,174,200,0,38,467,189
BK21,Seagate-Coney Island,551,320,262,225,0,38,54,69,0,38,30,58,10,42,10,42,0,38,32,52,22,51,0,38,17,43,20,60,10,42,10,42,36,62,11,40,289,124
BK23,West Brighton,76,70,39,51,8,28,0,27,11,29,9,28,0,27,0,27,0,27,0,27,11,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,37,48
BK25,Homecrest,557,432,252,225,0,48,20,56,0,48,0,48,0,48,0,48,10,49,37,75,0,48,24,60,0,48,80,88,20,56,0,48,61,85,0,48,305,225
BK26,Gravesend,315,156,160,88,0,36,0,36,34,49,0,36,0,36,0,36,42,46,19,44,0,36,0,36,0,36,28,42,24,40,13,38,0,36,0,36,155,107
BK27,Bath Beach,296,145,104,76,34,52,27,46,0,40,12,44,0,40,0,40,1,38,0,40,0,40,0,40,1,38,0,40,0,40,0,40,29,51,0,40,192,108
BK28,Bensonhurst West,584,197,250,142,7,64,42,82,0,64,20,68,5,62,9,64,26,75,29,66,9,63,24,67,16,67,0,64,0,64,0,64,42,67,21,66,334,127
BK29,Bensonhurst East,829,372,397,217,8,52,63,69,17,56,44,67,11,53,42,67,63,70,0,51,30,68,10,52,9,51,0,51,18,57,21,61,34,64,27,55,432,197
BK30,Dyker Heights,408,200,272,136,18,53,0,51,0,51,22,54,31,54,0,51,15,51,0,51,18,53,0,51,0,51,13,52,19,53,0,51,128,106,8,51,136,92
BK31,Bay Ridge,1666,475,883,289,64,70,64,78,74,85,78,82,33,68,29,71,43,74,18,68,8,66,90,83,55,74,50,83,60,89,20,72,123,85,74,81,783,271
BK32,Sunset Park West,1520,395,606,253,74,76,0,49,56,68,41,60,28,63,33,58,21,58,0,49,0,49,0,49,17,54,58,61,39,61,53,75,131,93,55,68,914,251
BK33,Carroll Gardens-Columbia Street-Red Hook,1551,443,773,336,165,112,70,72,67,66,16,49,41,57,119,100,75,94,0,45,61,85,0,45,45,64,11,47,0,45,16,45,71,102,16,49,778,200
BK34,Sunset Park East,1035,315,403,164,10,59,11,61,30,64,21,60,18,59,10,58,27,58,12,61,22,63,28,63,62,70,39,62,0,59,42,61,43,68,28,60,632,228
BK35,Stuyvesant Heights,1049,321,379,172,81,73,24,62,45,64,10,52,17,56,0,51,19,58,17,56,0,51,59,71,10,52,0,51,15,54,14,55,60,61,8,50,670,207
BK37,Park Slope-Gowanus,2564,404,1212,289,183,101,84,71,112,95,43,67,119,81,62,68,140,109,46,65,29,59,37,66,62,77,8,58,57,68,21,65,102,81,107,100,1352,261
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1246,259,330,156,63,52,16,39,91,77,10,43,0,42,0,42,10,44,24,52,0,42,9,43,0,42,26,55,11,45,0,42,29,45,41,65,916,206
BK40,Windsor Terrace,586,222,262,121,3,31,9,33,27,43,9,33,16,37,13,31,0,32,34,34,34,42,17,33,0,32,27,38,29,46,18,39,12,33,14,35,324,159
BK41,Kensington-Ocean Parkway,767,262,371,183,9,39,34,46,0,40,8,40,20,40,0,40,11,42,13,42,7,40,39,50,22,50,37,54,0,40,0,40,161,148,10,41,396,152
BK42,Flatbush,2242,535,1000,326,93,95,119,105,82,106,42,75,50,73,19,70,28,74,56,81,44,78,104,96,22,75,35,76,6,67,80,88,181,114,39,82,1242,317
BK43,Midwood,613,234,201,148,47,88,0,51,9,51,12,53,0,51,0,51,0,51,0,51,4,50,0,51,4,50,0,51,14,55,0,51,101,88,10,50,412,168
BK44,Madison,304,139,187,104,16,51,0,46,0,46,31,61,0,46,11,48,0,46,28,49,13,50,21,49,0,46,11,48,8,46,11,48,22,50,15,50,117,72
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,664,224,362,154,39,62,28,62,45,62,13,57,20,55,8,55,14,55,0,55,21,58,15,58,5,54,59,65,30,57,13,57,52,63,0,55,302,131
BK46,Ocean Parkway South,127,80,56,54,4,36,19,39,0,36,0,36,0,36,11,38,0,36,0,36,0,36,0,36,0,36,0,36,22,48,0,36,0,36,0,36,71,51
BK50,Canarsie,644,215,231,113,0,70,13,74,0,70,9,70,7,71,9,70,1,69,10,70,0,70,0,70,0,70,20,75,0,70,20,71,102,86,40,83,413,165
BK58,Flatlands,969,305,437,187,20,65,17,63,0,62,27,65,69,75,11,63,0,62,39,65,21,65,23,65,6,62,1,61,23,66,37,68,126,103,17,66,532,183
BK60,Prospect Lefferts Gardens-Wingate,1224,405,471,215,114,102,16,57,8,58,33,64,0,58,8,58,40,71,0,58,0,58,9,58,0,58,77,97,0,58,41,64,49,74,76,93,753,311
BK61,Crown Heights North,1757,363,615,210,2,66,49,77,21,73,26,72,69,81,15,70,14,68,44,74,29,69,63,87,22,69,0,67,0,67,63,77,108,96,90,90,1142,272
BK63,Crown Heights South,287,175,147,162,19,49,18,48,0,40,31,51,0,40,29,51,0,40,22,47,28,48,0,40,0,40,0,40,0,40,0,40,0,40,0,40,140,70
BK64,Prospect Heights,663,191,320,136,74,60,25,43,7,33,0,32,19,37,10,34,24,39,37,43,0,32,20,36,13,36,10,33,0,32,25,40,33,56,23,36,343,120
BK68,Fort Greene,1168,305,409,181,89,73,17,40,0,38,21,50,0,38,17,43,4,37,0,38,45,59,0,38,30,60,49,51,19,40,0,38,64,68,54,48,759,209
BK69,Clinton Hill,1389,347,431,194,75,76,9,40,43,60,40,67,10,41,0,40,0,40,23,52,0,40,0,40,9,41,0,40,0,40,1,38,132,91,89,79,958,233
BK72,Williamsburg,292,178,122,99,0,36,5,35,0,36,18,37,21,47,22,47,12,38,0,36,17,37,0,36,0,36,0,36,21,47,0,36,6,35,0,36,170,106
BK73,North Side-South Side,1262,362,338,175,23,53,37,66,37,58,1,47,9,47,9,47,30,53,24,53,26,63,8,48,16,53,11,48,8,47,35,65,44,67,20,50,924,294
BK75,Bedford,1275,324,414,170,69,73,35,63,0,56,81,72,8,55,25,61,15,56,19,61,0,56,46,72,0,56,42,70,9,55,0,56,33,60,32,64,861,224
BK76,Greenpoint,634,229,121,86,20,51,0,42,13,45,0,42,21,52,0,42,0,42,11,43,0,42,0,42,0,42,0,42,22,48,11,44,12,44,11,43,513,190
BK77,Bushwick North,1410,398,362,166,20,55,0,54,0,54,31,62,19,60,19,54,21,60,61,69,16,51,7,52,0,54,29,60,24,60,73,77,24,55,18,58,1048,295
BK78,Bushwick South,2077,520,706,234,39,68,16,57,108,94,63,76,49,95,50,74,10,57,31,61,61,75,10,57,0,56,47,76,24,60,35,67,158,102,5,56,1371,361
BK79,Ocean Hill,344,160,65,59,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,22,52,0,38,0,38,0,38,0,38,18,39,25,45,0,38,279,146
BK81,Brownsville,717,209,269,139,74,100,11,52,14,55,21,59,0,51,21,60,0,51,27,57,15,53,0,51,17,53,5,50,0,51,8,51,21,53,35,65,448,146
BK82,East New York,1143,327,544,226,0,65,31,74,34,77,0,65,34,73,29,72,15,71,19,71,84,90,28,70,24,68,5,64,42,88,41,74,132,90,26,70,599,183
BK83,Cypress Hills-City Line,708,218,146,79,22,53,4,48,0,49,0,49,17,54,6,49,0,49,23,55,4,48,3,48,11,48,0,49,0,49,5,49,50,56,1,48,562,167
BK85,East New York (Pennsylvania Ave),356,185,116,94,9,38,0,36,0,36,8,39,25,52,0,36,9,39,0,36,0,36,0,36,6,35,0,36,13,40,10,38,10,39,26,49,240,118
BK88,Borough Park,368,195,112,109,0,68,0,68,14,69,0,68,4,67,0,68,0,68,9,68,0,68,0,68,9,69,0,68,0,68,0,68,52,88,24,75,256,128
BK90,East Williamsburg,532,168,152,95,42,62,0,40,0,40,0,40,0,40,0,40,9,40,0,40,0,40,0,40,0,40,0,40,15,44,27,46,42,60,17,41,380,128
BK91,East Flatbush-Farragut,884,257,228,114,16,55,61,79,10,55,6,53,7,53,10,54,11,55,0,54,11,55,6,54,0,54,0,54,23,58,39,61,28,57,0,54,656,198
BK93,Starrett City,254,152,88,72,25,38,17,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,28,0,24,0,24,18,34,14,29,166,126
BK95,Erasmus,611,278,204,110,0,36,0,36,14,38,24,42,0,36,0,36,0,36,29,41,11,39,0,36,0,36,0,36,0,36,50,53,38,55,38,53,407,219
BK96,Rugby-Remsen Village,515,206,117,82,0,54,14,56,10,54,0,54,0,54,0,54,5,53,0,54,0,54,6,55,9,53,6,54,0,54,13,54,54,62,0,54,398,173
BK99,park-cemetery-etc-Brooklyn,35,55,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,35,55
BX01,Claremont-Bathgate,668,233,227,129,22,46,14,42,15,45,4,39,80,71,33,52,0,40,19,47,14,42,7,41,0,40,0,40,0,40,8,38,11,40,0,40,441,177
BX03,Eastchester-Edenwald-Baychester,792,351,304,207,0,40,14,43,17,44,28,58,69,99,13,42,0,40,0,40,54,63,0,40,0,40,0,40,6,38,89,75,14,43,0,40,488,220
BX05,Bedford Park-Fordham North,1325,386,607,257,10,49,40,58,28,67,18,56,33,60,65,80,32,69,21,50,3,45,4,48,98,81,15,54,84,72,16,54,124,119,16,48,718,227
BX06,Belmont,837,378,277,129,0,34,0,34,12,36,24,49,0,34,7,31,32,57,0,34,0,34,0,34,6,31,21,43,30,49,0,34,145,91,0,34,560,337
BX07,Bronxdale,1369,388,536,201,62,61,31,48,48,55,39,60,0,38,38,59,56,61,27,46,8,39,9,39,9,39,47,62,32,50,59,79,63,52,8,38,833,279
BX08,West Farms-Bronx River,2417,699,851,330,113,113,0,40,60,61,75,77,21,42,10,39,66,71,8,40,45,67,86,89,19,48,34,50,95,76,36,52,135,105,48,64,1566,488
BX09,Soundview-Castle Hill-Clason Point-Harding Park,1400,488,554,306,81,105,50,94,50,94,37,52,33,49,11,51,35,71,11,51,14,52,43,60,7,50,0,50,0,50,27,54,109,85,46,62,846,295
BX10,Pelham Bay-Country Club-City Island,505,326,247,208,36,61,18,42,19,42,1,39,45,76,0,34,0,34,1,40,16,38,1,39,0,34,65,88,0,34,22,50,23,39,0,34,258,191
BX13,Co-op City,1443,872,659,462,0,33,20,43,0,33,20,42,20,42,0,33,20,42,0,33,0,33,0,33,35,64,34,44,45,65,102,113,274,249,89,133,784,464
BX14,East Concourse-Concourse Village,1332,428,489,244,9,52,0,51,48,87,32,62,12,55,28,65,48,70,0,51,56,81,18,51,0,51,29,54,34,67,124,97,51,76,0,51,843,265
BX17,East Tremont,1470,453,579,212,70,72,18,50,47,70,63,74,38,54,27,53,3,44,29,50,30,48,30,52,0,45,14,46,17,46,67,73,112,80,14,45,891,365
BX22,North Riverdale-Fieldston-Riverdale,521,189,337,158,0,38,11,40,51,56,4,37,0,38,18,40,0,38,15,44,29,41,9,40,31,49,0,38,5,37,18,44,136,115,10,39,184,82
BX26,Highbridge,615,229,234,165,9,41,0,42,0,42,10,39,0,42,8,42,14,40,64,80,29,60,6,40,30,60,0,42,23,44,6,40,35,42,0,42,381,141
BX27,Hunts Point,1214,387,409,154,29,37,0,38,22,39,0,38,39,52,0,38,20,42,23,50,33,47,25,55,51,58,15,38,8,38,17,41,127,69,0,38,805,330
BX28,Van Cortlandt Village,2084,488,888,306,63,74,33,52,26,50,80,82,140,97,0,43,0,43,54,83,116,123,9,44,62,75,99,82,50,69,21,46,74,69,61,57,1196,295
BX29,Spuyten Duyvil-Kingsbridge,1148,359,525,235,61,66,74,80,36,63,0,38,87,88,11,40,7,36,13,42,8,38,19,46,14,42,2,37,8,38,23,44,141,124,21,42,623,222
BX30,Kingsbridge Heights,1155,398,401,189,0,38,19,41,0,38,13,39,30,50,20,47,22,54,0,38,13,40,19,40,25,42,0,38,3,37,0,38,219,143,18,42,754,267
BX31,Allerton-Pelham Gardens,941,335,639,308,42,56,0,42,0,42,4,41,34,49,62,61,85,75,33,47,35,68,39,66,43,53,42,51,97,89,9,43,72,74,42,57,302,118
BX33,Longwood,717,245,330,148,12,35,43,67,10,36,0,36,0,36,15,40,9,35,38,50,20,37,0,36,0,36,43,53,30,43,18,34,92,55,0,36,387,149
BX34,Melrose South-Mott Haven North,783,321,225,118,24,49,27,46,13,43,0,42,33,48,0,42,0,42,4,41,6,40,0,42,22,40,17,45,32,52,37,60,10,43,0,42,558,244
