area_id,area_name,c23002b001,c23002b001_moe,c23002b002,c23002b002_moe,c23002b003,c23002b003_moe,c23002b004,c23002b004_moe,c23002b005,c23002b005_moe,c23002b006,c23002b006_moe,c23002b007,c23002b007_moe,c23002b008,c23002b008_moe,c23002b009,c23002b009_moe,c23002b010,c23002b010_moe,c23002b011,c23002b011_moe,c23002b012,c23002b012_moe,c23002b013,c23002b013_moe,c23002b014,c23002b014_moe,c23002b015,c23002b015_moe,c23002b016,c23002b016_moe,c23002b017,c23002b017_moe,c23002b018,c23002b018_moe,c23002b019,c23002b019_moe,c23002b020,c23002b020_moe,c23002b021,c23002b021_moe,c23002b022,c23002b022_moe,c23002b023,c23002b023_moe,c23002b024,c23002b024_moe,c23002b025,c23002b025_moe,c23002b026,c23002b026_moe,c23002b027,c23002b027_moe
BK09,Brooklyn Heights-Cobble Hill,1264,343,575,245,490,193,321,147,0,29,321,147,286,145,35,41,169,101,85,93,12,32,12,32,0,29,73,92,689,207,459,156,297,136,0,29,297,136,265,132,32,38,162,86,230,117,58,79,58,79,0,29,172,89
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3567,584,1468,367,1253,349,745,260,0,55,745,260,570,210,175,144,508,227,215,104,43,65,43,65,0,55,172,97,2099,360,1683,334,1131,266,0,55,1131,266,878,240,253,124,552,183,416,138,26,69,26,69,0,55,390,133
BK19,Brighton Beach,422,201,190,104,179,103,129,95,0,38,129,95,121,94,8,39,50,46,11,39,0,38,0,38,0,38,11,39,232,121,182,110,136,95,0,38,136,95,102,85,34,46,46,67,50,57,0,38,0,38,0,38,50,57
BK21,Seagate-Coney Island,8673,851,3568,571,3016,555,1844,472,0,38,1844,472,1237,317,607,332,1172,284,552,174,38,47,38,47,0,38,514,171,5105,504,4100,497,2717,384,0,38,2717,384,1882,288,835,236,1383,275,1005,205,64,55,50,54,14,40,941,197
BK23,West Brighton,168,112,28,34,13,29,1,24,0,27,1,24,0,27,1,24,12,29,15,33,15,33,15,33,0,27,0,27,140,106,51,59,38,43,0,27,38,43,38,43,0,27,13,33,89,90,38,66,38,66,0,27,51,68
BK25,Homecrest,390,186,203,111,186,109,54,65,0,48,54,65,54,65,0,48,132,99,17,48,0,48,0,48,0,48,17,48,187,106,159,102,141,94,0,48,141,94,141,94,0,48,18,52,28,55,0,48,0,48,0,48,28,55
BK26,Gravesend,1770,355,626,184,519,158,447,140,0,36,447,140,284,126,163,108,72,87,107,88,0,36,0,36,0,36,107,88,1144,248,944,252,724,232,0,36,724,232,595,208,129,106,220,107,200,93,24,40,24,40,0,36,176,95
BK27,Bath Beach,407,196,201,113,127,92,96,87,0,40,96,87,96,87,0,40,31,50,74,77,25,54,25,54,0,40,49,68,206,105,197,106,150,97,0,40,150,97,150,97,0,40,47,54,9,38,0,40,0,40,0,40,9,38
BK28,Bensonhurst West,613,191,267,119,234,106,156,99,0,64,156,99,141,96,15,68,78,73,33,72,0,64,0,64,0,64,33,72,346,129,278,121,225,111,0,64,225,111,207,109,18,64,53,68,68,77,0,64,0,64,0,64,68,77
BK29,Bensonhurst East,537,210,336,153,292,143,258,137,0,51,258,137,198,101,60,105,34,56,44,63,0,51,0,51,0,51,44,63,201,116,166,111,108,91,0,51,108,91,99,87,9,51,58,81,35,56,18,56,18,56,0,51,17,51
BK30,Dyker Heights,470,207,159,91,145,90,127,89,0,51,127,89,127,89,0,51,18,51,14,51,7,51,7,51,0,51,7,51,311,159,259,153,206,146,0,51,206,146,191,136,15,55,53,65,52,64,11,52,11,52,0,51,41,63
BK31,Bay Ridge,1421,308,693,192,650,190,580,182,76,105,504,162,408,149,96,86,70,74,43,67,0,66,0,66,0,66,43,67,728,177,661,173,502,150,0,66,502,150,495,150,7,64,159,94,67,69,0,66,0,66,0,66,67,69
BK32,Sunset Park West,2548,416,1667,300,1626,298,756,211,1,48,755,212,712,212,43,58,870,208,41,57,30,58,30,58,0,49,11,48,881,204,747,185,588,160,0,49,588,160,502,151,86,77,159,96,134,71,29,53,10,51,19,52,105,67
BK33,Carroll Gardens-Columbia Street-Red Hook,3580,483,1329,323,1174,302,929,251,0,45,929,251,550,169,379,190,245,145,155,81,0,45,0,45,0,45,155,81,2251,361,1807,339,1290,307,0,45,1290,307,1009,245,281,127,517,172,444,131,37,54,37,54,0,45,407,126
BK34,Sunset Park East,1484,422,734,233,711,232,608,223,0,59,608,223,490,194,118,99,103,89,23,59,9,58,0,59,9,58,14,57,750,229,747,228,524,182,0,59,524,182,524,182,0,59,223,109,3,51,0,59,0,59,0,59,3,51
BK35,Stuyvesant Heights,37909,1478,16367,938,14750,903,9937,702,0,51,9937,702,8120,633,1817,333,4813,505,1617,259,287,128,279,128,8,53,1330,229,21542,954,18144,899,12115,716,0,51,12115,716,10528,681,1587,286,6029,540,3398,324,308,107,304,107,4,50,3090,308
BK37,Park Slope-Gowanus,4188,581,1984,343,1741,333,1553,304,0,58,1553,304,1316,279,237,110,188,117,243,89,32,61,32,61,0,58,211,86,2204,347,1754,307,1431,265,0,58,1431,265,1376,261,55,69,323,142,450,152,80,76,80,76,0,58,370,141
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6933,646,2822,406,2591,396,1505,281,0,42,1505,281,1120,226,385,137,1086,279,231,98,17,42,11,41,6,42,214,93,4111,442,3485,403,2227,293,0,42,2227,293,1782,273,445,149,1258,270,626,135,52,47,51,47,1,40,574,131
BK40,Windsor Terrace,1287,394,558,217,424,183,320,142,0,32,320,142,315,142,5,28,104,92,134,81,63,73,63,73,0,32,71,53,729,222,597,208,523,195,0,32,523,195,483,167,40,62,74,68,132,77,0,32,0,32,0,32,132,77
BK41,Kensington-Ocean Parkway,2442,523,1150,298,895,251,788,245,0,40,788,245,699,238,89,83,107,74,255,126,34,52,34,52,0,40,221,120,1292,305,1036,281,708,232,0,40,708,232,647,210,61,65,328,133,256,103,4,39,4,39,0,40,252,105
BK42,Flatbush,42867,1623,17777,983,16098,958,11612,791,6,68,11606,790,9905,754,1701,309,4486,521,1679,246,503,154,468,150,35,76,1176,208,25090,1121,21786,1088,15515,835,0,68,15515,835,13836,781,1679,294,6271,644,3304,339,636,175,550,165,86,86,2668,314
BK43,Midwood,2247,477,1040,349,997,347,730,267,0,51,730,267,487,140,243,231,267,122,43,54,0,51,0,51,0,51,43,54,1207,252,1038,230,779,189,0,51,779,189,705,169,74,73,259,110,169,81,19,52,19,52,0,51,150,80
BK44,Madison,388,220,197,133,197,133,125,94,0,46,125,94,125,94,0,46,72,81,0,46,0,46,0,46,0,46,0,46,191,110,187,111,155,94,0,46,155,94,155,94,0,46,32,55,4,41,0,46,0,46,0,46,4,41
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4360,633,2020,337,1844,318,1497,273,0,55,1497,273,1240,236,257,127,347,142,176,104,51,65,51,65,0,55,125,96,2340,412,2087,372,1676,308,0,55,1676,308,1455,269,221,148,411,150,253,121,69,82,69,82,0,55,184,104
BK46,Ocean Parkway South,125,69,35,42,33,41,30,43,0,36,30,43,25,42,5,35,3,32,2,34,0,36,0,36,0,36,2,34,90,58,71,57,58,49,0,36,58,49,58,49,0,36,13,38,19,35,0,36,0,36,0,36,19,35
BK50,Canarsie,56415,1675,24388,1019,22604,979,16253,784,98,97,16155,779,14458,741,1697,254,6351,583,1784,266,407,132,365,130,42,72,1377,237,32027,1055,28688,998,21760,806,15,73,21745,806,19896,760,1849,270,6928,575,3339,348,563,144,556,144,7,70,2776,321
BK58,Flatlands,41291,1400,17810,857,15815,835,12229,714,0,62,12229,714,10668,687,1561,259,3586,405,1995,252,433,131,413,126,20,70,1562,229,23481,878,19987,816,15317,657,0,62,15317,657,13983,649,1334,251,4670,460,3494,314,521,128,507,127,14,64,2973,297
BK60,Prospect Lefferts Gardens-Wingate,44604,1807,19151,1124,16280,984,12383,862,0,58,12383,862,9996,728,2387,461,3897,481,2871,375,537,161,513,159,24,56,2334,354,25453,1149,20857,1037,16041,959,0,58,16041,959,13779,834,2262,469,4816,555,4596,453,620,166,604,165,16,58,3976,433
BK61,Crown Heights North,61208,1766,25237,1151,21843,1110,15080,878,45,80,15035,875,12341,809,2694,421,6763,635,3394,368,548,164,501,159,47,73,2846,332,35971,1226,29546,1181,20491,966,0,67,20491,966,18003,887,2488,366,9055,694,6425,461,687,162,588,143,99,98,5738,454
BK63,Crown Heights South,21949,1107,9359,721,8159,698,6143,589,14,44,6129,589,4834,542,1295,291,2016,366,1200,202,160,84,160,84,0,40,1040,190,12590,722,10306,685,7622,573,0,40,7622,573,6358,501,1264,312,2684,386,2284,259,382,117,364,115,18,43,1902,248
BK64,Prospect Heights,5095,637,2295,437,1983,408,1547,332,0,32,1547,332,1282,289,265,123,436,182,312,122,28,45,28,45,0,32,284,119,2800,367,2193,333,1723,260,0,32,1723,260,1551,243,172,87,470,188,607,169,60,47,60,47,0,32,547,160
BK68,Fort Greene,9731,763,3697,477,3284,445,2134,375,0,38,2134,375,1730,325,404,156,1150,243,413,134,0,38,0,38,0,38,413,134,6034,464,4769,429,3164,367,0,38,3164,367,2553,340,611,186,1605,262,1265,191,183,100,148,96,35,49,1082,184
BK69,Clinton Hill,12877,894,5782,594,4766,552,3394,435,0,40,3394,435,2897,398,497,169,1372,282,1016,198,77,60,77,60,0,40,939,192,7095,554,5585,491,4023,411,0,40,4023,411,3573,385,450,144,1562,280,1510,206,188,88,180,85,8,43,1322,191
BK72,Williamsburg,746,184,334,138,260,132,81,84,0,36,81,84,65,82,16,42,179,114,74,69,0,36,0,36,0,36,74,69,412,126,254,105,133,83,0,36,133,83,86,68,47,59,121,72,158,86,18,43,18,43,0,36,140,74
BK73,North Side-South Side,2097,451,904,274,857,271,501,207,0,48,501,207,437,205,64,67,356,162,47,53,0,48,0,48,0,48,47,53,1193,287,1070,270,792,225,0,48,792,225,684,205,108,93,278,137,123,69,12,48,12,48,0,48,111,67
BK75,Bedford,30318,1356,13241,836,11656,794,7769,630,0,56,7769,630,6485,558,1284,261,3887,469,1585,254,212,105,175,102,37,61,1373,236,17077,865,14516,815,9440,644,0,56,9440,644,8434,596,1006,230,5076,486,2561,290,269,104,236,100,33,62,2292,284
BK76,Greenpoint,270,115,184,102,184,102,109,76,0,42,109,76,96,75,13,42,75,82,0,42,0,42,0,42,0,42,0,42,86,63,79,63,76,63,0,42,76,63,71,61,5,42,3,40,7,41,0,42,0,42,0,42,7,41
BK77,Bushwick North,6042,803,2882,465,2735,465,2046,408,0,54,2046,408,1579,370,467,182,689,192,147,73,12,56,12,56,0,54,135,71,3160,453,2806,440,1937,350,0,54,1937,350,1613,311,324,139,869,235,354,112,15,52,15,52,0,54,339,112
BK78,Bushwick South,17422,1174,7126,665,6174,639,4308,486,0,56,4308,486,3470,427,838,230,1866,341,952,183,133,81,133,81,0,56,819,176,10296,748,8768,710,5770,550,0,56,5770,550,4880,493,890,215,2998,420,1528,226,173,100,120,90,53,69,1355,215
BK79,Ocean Hill,19178,1005,8001,640,6899,616,4685,477,0,38,4685,477,4009,435,676,174,2214,383,1102,199,163,81,163,81,0,38,939,191,11177,636,9618,618,6527,540,0,38,6527,540,5837,524,690,171,3091,403,1559,215,218,86,210,86,8,38,1341,213
BK81,Brownsville,34102,1238,12447,810,11050,782,6374,584,36,74,6338,580,5072,502,1266,284,4676,583,1397,241,330,116,320,117,10,52,1067,216,21655,863,18332,826,11256,676,0,51,11256,676,9764,617,1492,268,7076,623,3323,306,230,100,230,100,0,51,3093,291
BK82,East New York,48085,1653,19390,1001,17222,951,10430,721,0,65,10430,721,8632,649,1798,299,6792,654,2168,296,336,123,323,122,13,67,1832,273,28695,1065,24650,1033,15456,757,0,65,15456,757,13833,726,1623,259,9194,714,4045,374,408,113,375,109,33,67,3637,367
BK83,Cypress Hills-City Line,9825,976,4515,548,4163,519,2670,376,0,49,2670,376,2451,364,219,111,1493,271,352,118,78,69,78,69,0,49,274,106,5310,583,4856,562,2827,370,0,49,2827,370,2521,349,306,108,2029,361,454,114,109,71,95,68,14,52,345,101
BK85,East New York (Pennsylvania Ave),15812,891,6427,537,5909,532,4109,444,0,36,4109,444,3226,378,883,217,1800,296,518,129,156,76,156,76,0,36,362,106,9385,593,8484,570,5651,450,0,36,5651,450,4646,403,1005,225,2833,390,901,146,189,86,189,86,0,36,712,135
BK88,Borough Park,741,220,384,148,334,143,249,133,8,68,241,133,219,131,22,70,85,81,50,74,0,68,0,68,0,68,50,74,357,126,272,118,184,106,0,68,184,106,184,106,0,68,88,75,85,80,0,68,0,68,0,68,85,80
BK90,East Williamsburg,2707,416,975,275,798,261,483,182,0,40,483,182,397,152,86,107,315,138,177,75,14,42,14,42,0,40,163,75,1732,304,1140,265,761,190,0,40,761,190,610,172,151,93,379,164,592,142,60,54,60,54,0,40,532,136
BK91,East Flatbush-Farragut,39599,1386,16940,850,14450,824,10996,649,0,54,10996,649,9533,608,1463,279,3454,450,2490,286,482,133,396,122,86,72,2008,260,22659,862,18716,845,14066,700,0,54,14066,700,12822,685,1244,238,4650,484,3943,334,659,162,625,159,34,56,3284,312
BK93,Starrett City,4776,620,1204,323,991,316,776,288,0,24,776,288,454,224,322,201,215,126,213,98,27,36,27,36,0,24,186,89,3572,442,2849,420,2011,294,0,24,2011,294,1854,268,157,105,838,369,723,195,82,74,82,74,0,24,641,184
BK95,Erasmus,20641,1050,8804,641,7761,623,5720,540,0,36,5720,540,4693,482,1027,249,2041,350,1043,181,219,92,192,88,27,40,824,161,11837,713,10072,663,7583,555,29,52,7554,553,6683,515,871,199,2489,364,1765,240,343,112,327,110,16,35,1422,231
BK96,Rugby-Remsen Village,41908,1384,17935,864,15242,809,10803,674,48,72,10755,673,9327,637,1428,263,4439,489,2693,318,502,146,471,145,31,57,2191,284,23973,933,19921,893,14864,726,0,54,14864,726,13428,702,1436,269,5057,532,4052,392,429,121,347,105,82,75,3623,378
BK99,park-cemetery-etc-Brooklyn,58,79,39,58,39,58,39,58,0,40,39,58,39,58,0,40,0,40,0,40,0,40,0,40,0,40,0,40,19,48,19,48,19,48,0,40,19,48,0,40,19,48,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,10831,854,4527,539,4168,548,2406,400,0,40,2406,400,1802,328,604,219,1762,348,359,171,40,50,40,50,0,40,319,167,6304,589,5504,524,2993,355,0,40,2993,355,2285,309,708,226,2511,354,800,200,11,38,11,38,0,40,789,200
BX03,Eastchester-Edenwald-Baychester,20906,1324,8708,794,7551,799,5560,640,43,78,5517,642,4458,575,1059,266,1991,380,1157,223,386,175,339,168,47,59,771,175,12198,841,10570,817,7684,641,0,40,7684,641,6516,587,1168,313,2886,484,1628,253,332,134,332,134,0,40,1296,226
