area_id,area_name,c23002i001,c23002i001_moe,c23002i002,c23002i002_moe,c23002i003,c23002i003_moe,c23002i004,c23002i004_moe,c23002i005,c23002i005_moe,c23002i006,c23002i006_moe,c23002i007,c23002i007_moe,c23002i008,c23002i008_moe,c23002i009,c23002i009_moe,c23002i010,c23002i010_moe,c23002i011,c23002i011_moe,c23002i012,c23002i012_moe,c23002i013,c23002i013_moe,c23002i014,c23002i014_moe,c23002i015,c23002i015_moe,c23002i016,c23002i016_moe,c23002i017,c23002i017_moe,c23002i018,c23002i018_moe,c23002i019,c23002i019_moe,c23002i020,c23002i020_moe,c23002i021,c23002i021_moe,c23002i022,c23002i022_moe,c23002i023,c23002i023_moe,c23002i024,c23002i024_moe,c23002i025,c23002i025_moe,c23002i026,c23002i026_moe,c23002i027,c23002i027_moe
BK09,Brooklyn Heights-Cobble Hill,1601,356,794,219,741,210,555,183,0,29,555,183,525,175,30,51,186,106,53,51,18,40,18,40,0,29,35,43,807,207,640,193,330,140,0,29,330,140,268,126,62,62,310,134,167,87,21,34,21,34,0,29,146,92
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3346,473,1342,266,1068,244,860,221,0,55,860,221,719,204,141,97,208,114,274,120,65,68,65,68,0,55,209,113,2004,314,1710,297,996,262,0,55,996,262,832,240,164,105,714,237,294,109,20,56,20,56,0,55,274,109
BK19,Brighton Beach,3037,568,1551,333,1463,326,1141,297,17,45,1124,292,1049,291,75,69,322,138,88,80,32,60,32,60,0,38,56,62,1486,303,1286,286,671,191,0,38,671,191,593,186,78,66,615,205,200,97,30,50,30,50,0,38,170,91
BK21,Seagate-Coney Island,5287,761,2418,488,1999,450,1421,341,0,38,1421,341,1109,249,312,232,578,209,419,167,53,56,53,56,0,38,366,160,2869,424,2356,405,1400,293,10,39,1390,293,1187,265,203,99,956,247,513,150,12,39,12,39,0,38,501,151
BK23,West Brighton,116,109,1,24,1,24,0,27,0,27,0,27,0,27,0,27,1,24,0,27,0,27,0,27,0,27,0,27,115,109,91,105,32,55,0,27,32,55,32,55,0,27,59,93,24,35,0,27,0,27,0,27,24,35
BK25,Homecrest,2177,494,1223,334,1131,328,1089,325,0,48,1089,325,1063,324,26,50,42,54,92,86,22,58,22,58,0,48,70,79,954,225,765,210,499,159,0,48,499,159,422,145,77,76,266,128,189,101,21,51,21,51,0,48,168,99
BK26,Gravesend,3068,598,1395,327,1240,313,926,250,0,36,926,250,801,230,125,100,314,136,155,78,26,43,26,43,0,36,129,75,1673,404,1479,362,647,219,0,36,647,219,509,187,138,115,832,220,194,110,28,56,28,56,0,36,166,101
BK27,Bath Beach,2666,623,1435,412,1268,398,1147,390,0,40,1147,390,986,340,161,97,121,76,167,102,8,40,8,40,0,40,159,101,1231,323,1132,305,566,186,0,40,566,186,519,178,47,46,566,191,99,85,28,60,28,60,0,40,71,72
BK28,Bensonhurst West,9362,1127,5080,739,4771,724,3973,639,0,64,3973,639,3730,611,243,146,798,229,309,142,103,100,103,100,0,64,206,116,4282,522,3784,504,1957,357,0,64,1957,357,1734,328,223,121,1827,321,498,167,39,77,39,77,0,64,459,156
BK29,Bensonhurst East,5461,797,3029,489,2827,478,2575,450,0,51,2575,450,2367,424,208,146,252,109,202,104,25,61,25,61,0,51,177,99,2432,400,2145,390,1046,237,0,51,1046,237,941,224,105,81,1099,272,287,110,9,51,9,51,0,51,278,109
BK30,Dyker Heights,3229,611,1576,435,1459,427,1242,398,0,51,1242,398,1187,395,55,63,217,155,117,87,11,52,11,52,0,51,106,86,1653,325,1506,314,1046,248,0,51,1046,248,934,232,112,78,460,143,147,79,15,52,15,52,0,51,132,78
BK31,Bay Ridge,9843,895,4403,540,4285,536,3639,481,80,104,3559,475,3312,460,247,116,646,195,118,75,0,66,0,66,0,66,118,75,5440,540,4936,524,3184,389,29,69,3155,388,2967,383,188,103,1752,331,504,160,0,66,0,66,0,66,504,160
BK32,Sunset Park West,25478,1306,14165,933,13216,912,9981,858,0,49,9981,858,9281,835,700,191,3235,383,949,213,103,74,103,74,0,49,846,205,11313,674,10026,662,6195,516,0,49,6195,516,5141,454,1054,248,3831,420,1287,190,76,57,63,55,13,52,1211,187
BK33,Carroll Gardens-Columbia Street-Red Hook,6735,736,2937,438,2479,404,1760,305,8,45,1752,305,1436,287,316,128,719,249,458,164,27,47,20,47,7,44,431,163,3798,490,3094,449,2165,388,0,45,2165,388,1856,319,309,169,929,223,704,204,36,60,12,46,24,58,668,199
BK34,Sunset Park East,18361,1193,9360,804,8690,798,6924,759,8,59,6916,760,6358,727,558,193,1766,297,670,170,73,79,73,79,0,59,597,161,9001,599,7926,582,4570,437,0,59,4570,437,4121,404,449,141,3356,416,1075,200,69,61,60,59,9,58,1006,194
BK35,Stuyvesant Heights,9712,896,4298,586,3831,567,2789,505,31,63,2758,505,2102,420,656,247,1042,246,467,148,9,52,0,51,9,52,458,147,5414,562,4774,545,2727,412,0,51,2727,412,2113,339,614,207,2047,356,640,174,102,88,102,88,0,51,538,161
BK37,Park Slope-Gowanus,10408,1028,5257,614,4558,595,3681,534,30,75,3651,532,3345,506,306,143,877,239,699,157,209,113,209,113,0,58,490,124,5151,606,4254,568,2671,409,0,58,2671,409,2334,374,337,146,1583,322,897,208,132,122,132,122,0,58,765,177
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6707,659,3013,441,2674,423,1768,339,0,42,1768,339,1377,285,391,152,906,251,339,124,94,84,94,84,0,42,245,97,3694,391,2830,384,1794,294,0,42,1794,294,1435,296,359,134,1036,224,864,177,84,68,65,62,19,50,780,168
BK40,Windsor Terrace,2684,459,1177,241,1014,218,875,201,0,32,875,201,835,201,40,44,139,73,163,97,101,91,101,91,0,32,62,44,1507,321,1335,292,778,203,0,32,778,203,680,181,98,74,557,209,172,71,13,36,0,32,13,36,159,70
BK41,Kensington-Ocean Parkway,3837,724,2052,453,1876,448,1590,415,0,40,1590,415,1438,355,152,139,286,119,176,78,19,47,19,47,0,40,157,72,1785,361,1528,346,941,256,0,40,941,256,880,240,61,59,587,188,257,87,90,73,90,73,0,40,167,77
