area_id,area_name,b19013d001,b19013d001_moe
BK09,Brooklyn Heights-Cobble Hill,475348,214689
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,886991,191214
BK19,Brighton Beach,510815,113306
BK21,Seagate-Coney Island,252101,84367
BK23,West Brighton,103750,45693
BK25,Homecrest,392967,153438
BK26,Gravesend,492816,143098
BK27,Bath Beach,654228,145137
BK28,Bensonhurst West,1240576,172208
BK29,Bensonhurst East,883078,198614
BK30,Dyker Heights,870802,268989
BK31,Bay Ridge,1800859,335763
BK32,Sunset Park West,569177,281100
BK33,Carroll Gardens-Columbia Street-Red Hook,1183146,284488
BK34,Sunset Park East,450159,57759
BK35,Stuyvesant Heights,747933,251001
BK37,Park Slope-Gowanus,1903797,536879
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1130314,321249
BK40,Windsor Terrace,429982,185282
BK41,Kensington-Ocean Parkway,340963,58622
BK42,Flatbush,838607,311997
BK43,Midwood,662793,131410
BK44,Madison,894091,365730
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1143745,240568
BK46,Ocean Parkway South,178548,192064
BK50,Canarsie,865251,518065
BK58,Flatlands,957083,429780
BK60,Prospect Lefferts Gardens-Wingate,737889,519292
BK61,Crown Heights North,699683,264731
BK63,Crown Heights South,147435,107472
BK64,Prospect Heights,576400,215338
BK68,Fort Greene,611928,176015
BK69,Clinton Hill,692213,266796
BK73,North Side-South Side,935655,416038
BK75,Bedford,769928,201103
BK76,Greenpoint,721561,155731
BK77,Bushwick North,386665,136507
BK78,Bushwick South,314358,155034
BK79,Ocean Hill,23750,18054
BK81,Brownsville,314612,239991
BK82,East New York,489059,224031
BK83,Cypress Hills-City Line,653795,233019
BK85,East New York (Pennsylvania Ave),54236,24410
BK88,Borough Park,800476,261750
BK90,East Williamsburg,588257,298592
BK91,East Flatbush-Farragut,335884,163967
BK93,Starrett City,11354,33040
BK95,Erasmus,113340,117572
BK96,Rugby-Remsen Village,129556,114674
BX05,Bedford Park-Fordham North,512390,303407
BX06,Belmont,105782,85999
BX07,Bronxdale,284316,147126
BX08,West Farms-Bronx River,189447,88512
BX09,Soundview-Castle Hill-Clason Point-Harding Park,216901,242684
BX10,Pelham Bay-Country Club-City Island,244601,246876
BX13,Co-op City,72203,87854
BX14,East Concourse-Concourse Village,163755,104088
BX22,North Riverdale-Fieldston-Riverdale,856792,403697
BX26,Highbridge,43542,613
BX28,Van Cortlandt Village,471536,235223
BX29,Spuyten Duyvil-Kingsbridge,774660,171049
BX30,Kingsbridge Heights,208739,42606
BX31,Allerton-Pelham Gardens,1087230,377797
BX33,Longwood,135884,155627
BX34,Melrose South-Mott Haven North,57321,191675
BX36,University Heights-Morris Heights,50139,101418
BX37,Van Nest-Morris Park-Westchester Square,595585,219183
BX39,Mott Haven-Port Morris,117237,78367
BX40,Fordham South,76017,42191
BX41,Mount Hope,293007,136828
BX43,Norwood,275452,130875
BX44,Williamsbridge-Olinville,533668,406807
BX46,Parkchester,196246,67364
BX49,Pelham Parkway,590728,110773
BX52,Schuylerville-Throgs Neck-Edgewater Park,403311,259318
BX55,Soundview-Bruckner,376640,115256
BX59,Westchester-Unionport,425182,95910
BX62,Woodlawn-Wakefield,577385,252548
BX63,West Concourse,144782,35650
BX99,park-cemetery-etc-Bronx,280238,162060
MN01,Marble Hill-Inwood,310117,358139
MN03,Central Harlem North-Polo Grounds,817002,324787
MN04,Hamilton Heights,279826,244183
MN06,Manhattanville,122053,69263
MN09,Morningside Heights,526339,252998
MN11,Central Harlem South,606214,410553
MN12,Upper West Side,1230751,340217
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,1619259,227706
MN14,Lincoln Square,754123,249761
MN15,Clinton,606600,146518
MN17,Midtown-Midtown South,1179545,207548
MN19,Turtle Bay-East Midtown,1009335,204927
MN20,Murray Hill-Kips Bay,712165,136315
MN21,Gramercy,397950,98148
MN22,East Village,488788,166735
