area_id,area_name,b19001a001,b19001a001_moe,b19001a002,b19001a002_moe,b19001a003,b19001a003_moe,b19001a004,b19001a004_moe,b19001a005,b19001a005_moe,b19001a006,b19001a006_moe,b19001a007,b19001a007_moe,b19001a008,b19001a008_moe,b19001a009,b19001a009_moe,b19001a010,b19001a010_moe,b19001a011,b19001a011_moe,b19001a012,b19001a012_moe,b19001a013,b19001a013_moe,b19001a014,b19001a014_moe,b19001a015,b19001a015_moe,b19001a016,b19001a016_moe,b19001a017,b19001a017_moe
BK09,Brooklyn Heights-Cobble Hill,9525,404,481,153,156,77,160,91,285,131,200,103,216,98,198,108,186,106,251,122,336,136,747,164,1097,229,1065,216,556,145,1029,221,2562,296
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,20171,468,2389,331,1334,216,1098,224,1034,210,925,209,1108,224,688,180,659,166,671,162,1129,216,1771,291,2324,304,2027,306,1187,236,964,193,863,181
BK19,Brighton Beach,11970,386,2811,341,1268,202,683,190,660,174,955,233,319,129,491,137,398,136,408,148,472,141,656,173,1119,211,589,167,318,129,423,138,400,128
BK21,Seagate-Coney Island,5471,368,1264,210,614,146,317,116,481,166,303,129,281,134,222,106,318,139,133,74,361,130,312,117,308,129,197,94,104,75,195,109,61,52
BK23,West Brighton,7830,238,920,196,824,208,497,147,533,187,331,112,370,119,312,125,509,176,271,99,768,214,697,211,574,170,436,141,417,171,173,98,198,119
BK25,Homecrest,13544,369,1225,205,923,160,704,155,830,171,534,151,752,172,740,179,890,199,595,172,1232,209,1388,230,1347,224,918,195,531,146,450,117,485,109
BK26,Gravesend,7724,339,1025,221,567,147,427,152,831,218,571,181,478,154,503,181,382,134,280,123,418,167,552,163,523,146,404,127,262,86,296,116,205,95
BK27,Bath Beach,7470,350,607,135,630,151,436,127,436,129,586,152,331,104,373,132,244,103,243,89,531,147,656,174,801,189,603,143,435,120,295,138,263,93
BK28,Bensonhurst West,19542,516,1651,240,1513,236,1485,239,1186,219,1381,240,1170,217,980,196,1007,213,618,165,1756,266,2054,284,1719,250,1066,196,756,166,823,168,377,114
BK29,Bensonhurst East,14230,441,1166,185,1137,195,1059,211,820,177,1001,212,869,177,858,201,1035,222,588,161,973,189,1250,214,1472,234,883,181,428,119,482,121,209,78
BK30,Dyker Heights,10266,349,579,142,469,122,528,130,387,123,599,159,378,119,524,136,357,116,428,128,900,178,1070,203,1260,206,825,163,763,160,706,161,493,119
BK31,Bay Ridge,28149,541,2027,261,1350,229,1354,218,1527,251,1611,247,956,177,1156,217,1254,238,1233,241,2239,296,2367,293,3578,344,2214,300,1329,208,2149,268,1805,234
BK32,Sunset Park West,8318,433,901,183,561,153,386,126,461,143,418,138,502,152,387,139,483,142,265,111,668,169,699,163,1003,196,654,160,451,149,262,102,217,81
BK33,Carroll Gardens-Columbia Street-Red Hook,12642,454,758,199,387,131,312,110,421,153,400,147,275,114,450,143,255,100,405,160,763,180,1032,232,1549,240,1311,225,1008,206,1186,221,2130,270
BK34,Sunset Park East,7824,420,837,188,738,173,581,149,489,142,511,162,506,146,375,127,404,144,291,110,433,140,816,190,741,170,444,149,301,104,234,90,123,71
BK35,Stuyvesant Heights,2950,353,529,160,293,142,232,117,188,107,232,119,144,101,168,95,151,87,54,73,103,72,194,103,269,128,133,83,79,75,115,85,66,67
BK37,Park Slope-Gowanus,23765,607,672,182,506,174,358,111,494,157,274,105,484,173,449,148,742,190,569,158,1569,259,1944,293,3068,352,2683,334,2190,300,2960,342,4803,410
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8442,368,398,114,211,73,198,79,180,81,196,91,178,78,124,59,207,98,192,79,437,122,463,133,1109,207,782,165,710,172,1106,194,1951,254
BK40,Windsor Terrace,7323,309,321,115,212,80,256,95,256,102,269,97,242,119,153,62,107,63,246,116,431,133,683,163,1058,199,1096,204,404,124,733,169,856,186
BK41,Kensington-Ocean Parkway,7403,365,705,179,911,221,574,181,366,110,304,109,413,140,182,89,451,147,255,103,608,165,645,158,819,171,304,109,296,98,375,131,195,88
BK42,Flatbush,10990,501,1267,221,929,203,740,179,492,141,539,165,414,144,436,145,499,160,367,162,910,200,878,203,1116,201,773,175,468,146,583,138,579,140
BK43,Midwood,15189,390,2233,271,1219,208,876,182,655,154,546,134,683,150,626,179,491,140,396,129,963,208,1305,226,1364,226,1357,218,650,143,963,185,862,144
BK44,Madison,12053,325,945,171,980,157,657,162,622,170,421,121,536,150,572,166,498,132,448,130,803,170,1136,191,1288,221,1161,187,783,178,648,144,555,133
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,13487,349,620,144,365,105,513,148,526,154,509,143,434,143,411,125,663,171,440,144,837,181,1186,205,2058,278,1719,256,1045,196,1141,204,1020,206
BK46,Ocean Parkway South,5951,232,521,127,303,103,467,126,295,87,222,76,199,91,207,83,286,110,166,70,501,131,729,169,658,145,472,125,361,102,218,90,346,103
