area_id,area_name,b19313e001,b19313e001_moe
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1600400,2590455
BK31,Bay Ridge,1650400,3451867
BK42,Flatbush,1468200,2103159
BK61,Crown Heights North,7439000,12321289
BK82,East New York,2759600,3760223
BX44,Williamsbridge-Olinville,961300,1469273
MN32,Yorkville,13464300,14864194
MN35,Washington Heights North,239400,388348
MN36,Washington Heights South,833100,1353686
QN07,Hollis,1906800,2942432
QN08,St. Albans,6726300,10448154
QN25,Corona,29052000,37498304
QN55,South Ozone Park,2482600,2410283
QN63,Woodside,2928100,3855431
