area_id,area_name,b13002c001,b13002c001_moe,b13002c002,b13002c002_moe,b13002c003,b13002c003_moe,b13002c004,b13002c004_moe,b13002c005,b13002c005_moe,b13002c006,b13002c006_moe,b13002c007,b13002c007_moe
BK09,Brooklyn Heights-Cobble Hill,54,57,0,29,0,29,0,29,54,57,31,45,23,44
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9,56,9,56,9,56,0,55,0,55,0,55,0,55
BK19,Brighton Beach,54,73,0,38,0,38,0,38,54,73,54,73,0,38
BK21,Seagate-Coney Island,54,62,13,42,0,38,13,42,41,59,0,38,41,59
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,9,49,0,48,0,48,0,48,9,49,0,48,9,49
BK26,Gravesend,35,50,0,36,0,36,0,36,35,50,0,36,35,50
BK27,Bath Beach,21,53,21,53,0,40,21,53,0,40,0,40,0,40
BK28,Bensonhurst West,125,119,0,64,0,64,0,64,125,119,88,88,37,76
BK29,Bensonhurst East,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK30,Dyker Heights,37,76,0,51,0,51,0,51,37,76,0,51,37,76
BK31,Bay Ridge,100,91,0,66,0,66,0,66,100,91,11,66,89,91
BK32,Sunset Park West,140,102,10,51,10,51,0,49,130,100,95,83,35,62
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BK34,Sunset Park East,191,109,0,59,0,59,0,59,191,109,92,87,99,86
BK35,Stuyvesant Heights,36,73,0,51,0,51,0,51,36,73,0,51,36,73
BK37,Park Slope-Gowanus,96,116,0,58,0,58,0,58,96,116,17,62,79,114
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40,63,12,45,0,42,12,45,28,52,0,42,28,52
BK40,Windsor Terrace,89,84,0,32,0,32,0,32,89,84,0,32,89,84
BK41,Kensington-Ocean Parkway,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK42,Flatbush,98,109,0,68,0,68,0,68,98,109,71,107,27,71
BK43,Midwood,24,60,0,51,0,51,0,51,24,60,0,51,24,60
BK44,Madison,19,55,0,46,0,46,0,46,19,55,0,46,19,55
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,9,59,0,55,0,55,0,55,9,59,3,54,6,57
BK46,Ocean Parkway South,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK50,Canarsie,75,116,0,70,0,70,0,70,75,116,25,82,50,85
BK58,Flatlands,19,64,0,62,0,62,0,62,19,64,8,63,11,64
BK60,Prospect Lefferts Gardens-Wingate,99,128,0,58,0,58,0,58,99,128,0,58,99,128
BK61,Crown Heights North,9,71,0,67,0,67,0,67,9,71,0,67,9,71
BK63,Crown Heights South,45,79,0,40,0,40,0,40,45,79,0,40,45,79
BK64,Prospect Heights,4,30,0,32,0,32,0,32,4,30,0,32,4,30
BK68,Fort Greene,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK69,Clinton Hill,17,43,0,40,0,40,0,40,17,43,0,40,17,43
BK72,Williamsburg,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK75,Bedford,43,61,0,56,0,56,0,56,43,61,30,58,13,59
BK76,Greenpoint,81,77,0,42,0,42,0,42,81,77,51,62,30,62
BK77,Bushwick North,31,56,0,54,0,54,0,54,31,56,0,54,31,56
BK78,Bushwick South,130,90,23,59,23,59,0,56,107,83,27,62,80,79
BK79,Ocean Hill,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK81,Brownsville,45,69,0,51,0,51,0,51,45,69,0,51,45,69
BK82,East New York,38,75,0,65,0,65,0,65,38,75,18,69,20,71
BK83,Cypress Hills-City Line,48,73,0,49,0,49,0,49,48,73,0,49,48,73
BK85,East New York (Pennsylvania Ave),9,39,0,36,0,36,0,36,9,39,0,36,9,39
BK88,Borough Park,0,68,0,68,0,68,0,68,0,68,0,68,0,68
BK90,East Williamsburg,80,97,0,40,0,40,0,40,80,97,54,68,26,56
BK91,East Flatbush-Farragut,0,54,0,54,0,54,0,54,0,54,0,54,0,54
BK93,Starrett City,22,40,0,24,0,24,0,24,22,40,0,24,22,40
BK95,Erasmus,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK96,Rugby-Remsen Village,39,69,0,54,0,54,0,54,39,69,0,54,39,69
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,66,59,0,40,0,40,0,40,66,59,12,42,54,50
BX03,Eastchester-Edenwald-Baychester,7,40,0,40,0,40,0,40,7,40,7,40,0,40
BX05,Bedford Park-Fordham North,84,80,10,50,10,50,0,50,74,78,40,56,34,55
BX06,Belmont,16,34,0,34,0,34,0,34,16,34,0,34,16,34
