area_id,area_name,b13002i001,b13002i001_moe,b13002i002,b13002i002_moe,b13002i003,b13002i003_moe,b13002i004,b13002i004_moe,b13002i005,b13002i005_moe,b13002i006,b13002i006_moe,b13002i007,b13002i007_moe
BX31,Allerton-Pelham Gardens,2686,390,162,120,151,119,11,45,2524,388,922,197,1602,312
BX33,Longwood,5010,498,371,139,134,75,237,118,4639,497,1373,254,3266,387
BX34,Melrose South-Mott Haven North,8132,730,582,209,105,77,477,200,7550,729,2313,364,5237,665
BX35,Morrisania-Melrose,7052,585,499,162,185,99,314,135,6553,571,1862,271,4691,514
BX36,University Heights-Morris Heights,10552,737,744,236,326,137,418,191,9808,722,3059,401,6749,627
BX37,Van Nest-Morris Park-Westchester Square,4689,469,173,91,60,51,113,85,4516,461,1557,243,2959,397
BX39,Mott Haven-Port Morris,10028,668,797,193,223,107,574,166,9231,647,2789,341,6442,592
BX40,Fordham South,5670,610,454,184,174,91,280,162,5216,601,1483,301,3733,531
BX41,Mount Hope,10470,727,690,180,128,77,562,166,9780,701,2996,352,6784,620
BX43,Norwood,6829,740,519,191,150,75,369,184,6310,698,1937,349,4373,595
BX44,Williamsbridge-Olinville,3784,420,345,139,177,104,168,105,3439,404,960,209,2479,358
BX46,Parkchester,3132,402,190,113,25,39,165,110,2942,394,874,217,2068,375
BX49,Pelham Parkway,3388,444,208,113,113,79,95,81,3180,436,1092,227,2088,374
BX52,Schuylerville-Throgs Neck-Edgewater Park,5037,565,231,114,140,95,91,76,4806,553,1653,293,3153,479
BX55,Soundview-Bruckner,5615,513,443,160,158,102,285,128,5172,506,1416,255,3756,438
BX59,Westchester-Unionport,5025,592,261,135,80,53,181,127,4764,584,1322,267,3442,508
BX62,Woodlawn-Wakefield,2109,406,121,89,95,86,26,53,1988,401,572,162,1416,340
BX63,West Concourse,8239,701,493,173,245,131,248,115,7746,709,2640,390,5106,629
BX75,Crotona Park East,3904,422,297,112,125,69,172,95,3607,414,1243,224,2364,376
BX98,Rikers Island,211,88,0,17,0,17,0,17,211,88,12,11,199,87
BX99,park-cemetery-etc-Bronx,196,87,23,46,0,32,23,46,173,88,97,58,76,61
MN01,Marble Hill-Inwood,10140,815,514,197,250,136,264,146,9626,832,3474,403,6152,786
MN03,Central Harlem North-Polo Grounds,5699,636,291,145,201,132,90,84,5408,630,1669,309,3739,559
MN04,Hamilton Heights,7430,767,328,168,138,96,190,162,7102,748,2439,421,4663,612
MN06,Manhattanville,3407,479,175,96,52,67,123,76,3232,478,1103,228,2129,401
MN09,Morningside Heights,4001,572,83,68,46,58,37,57,3918,571,880,242,3038,565
MN11,Central Harlem South,2771,394,117,79,47,57,70,69,2654,386,820,215,1834,311
MN12,Upper West Side,4879,690,309,167,194,124,115,131,4570,670,1359,291,3211,592
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2967,448,177,109,23,59,154,106,2790,444,735,220,2055,399
MN14,Lincoln Square,1696,388,95,73,95,73,0,48,1601,385,493,205,1108,316
MN15,Clinton,2016,370,34,63,3,42,31,64,1982,363,625,198,1357,300
MN17,Midtown-Midtown South,518,164,85,86,85,86,0,51,433,145,177,88,256,116
MN19,Turtle Bay-East Midtown,1042,281,41,70,41,70,0,48,1001,275,328,128,673,236
MN20,Murray Hill-Kips Bay,1439,385,19,50,19,50,0,42,1420,384,267,122,1153,358
MN21,Gramercy,680,261,13,32,0,34,13,32,667,260,115,86,552,244
MN22,East Village,1723,346,39,51,39,51,0,40,1684,347,247,115,1437,320
MN23,West Village,1555,303,22,58,12,58,10,56,1533,302,228,123,1305,279
MN24,SoHo-TriBeCa-Civic Center-Little Italy,664,198,19,43,10,42,9,42,645,198,187,102,458,176
MN25,Battery Park City-Lower Manhattan,1084,335,33,50,33,50,0,42,1051,334,569,288,482,176
MN27,Chinatown,1570,312,18,50,0,44,18,50,1552,309,506,173,1046,238
MN28,Lower East Side,7501,782,263,121,75,70,188,107,7238,769,1784,344,5454,643
MN31,Lenox Hill-Roosevelt Island,1706,355,94,100,94,100,0,53,1612,347,759,211,853,241
MN32,Yorkville,2330,726,71,67,25,53,46,61,2259,729,551,281,1708,519
MN33,East Harlem South,6918,706,388,157,251,139,137,83,6530,686,1843,319,4687,606
MN34,East Harlem North,8953,835,632,251,230,125,402,221,8321,804,2262,387,6059,712
MN35,Washington Heights North,13234,1018,798,279,383,213,415,177,12436,960,4006,516,8430,850
MN36,Washington Heights South,16506,1183,687,235,192,108,495,215,15819,1136,5031,578,10788,945
MN40,Upper East Side-Carnegie Hill,781,221,6,53,0,52,6,53,775,219,354,145,421,164
MN50,Stuyvesant Town-Cooper Village,473,182,11,27,11,27,0,22,462,182,111,88,351,159
MN99,park-cemetery-etc-Manhattan,19,38,1,30,1,30,0,32,18,38,0,32,18,38
QN01,South Jamaica,1598,355,88,74,21,57,67,66,1510,348,579,169,931,271
QN02,Springfield Gardens North,541,287,0,31,0,31,0,31,541,287,260,211,281,148
QN03,Springfield Gardens South-Brookville,500,157,72,61,30,54,42,52,428,142,107,70,321,121
