Aggregate Gross Rent (Dollars) by Year Structure Built
------------------------------------------------------
Universe: Renter-occupied Housing Units

B25112001 Aggregate gross rent (dollars):
B25112002  Built 2010 or later
B25112003  Built 2000 to 2009
B25112004  Built 1990 to 1999
B25112005  Built 1980 to 1989
B25112006  Built 1970 to 1979
B25112007  Built 1960 to 1969
B25112008  Built 1950 to 1959
B25112009  Built 1940 to 1949
B25112010  Built 1939 or earlier
