area_id,area_name,b07004a001,b07004a001_moe,b07004a002,b07004a002_moe,b07004a003,b07004a003_moe,b07004a004,b07004a004_moe,b07004a005,b07004a005_moe,b07004a006,b07004a006_moe
BK09,Brooklyn Heights-Cobble Hill,18496,977,15476,977,993,253,1089,294,757,206,181,116
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45158,1463,42567,1470,1919,424,347,173,126,98,199,137
BK19,Brighton Beach,25121,1218,22907,1136,1360,475,301,236,75,84,478,278
BK21,Seagate-Coney Island,12587,1074,11373,1053,1124,410,0,38,0,38,90,103
BK23,West Brighton,14987,704,14400,711,356,191,120,106,23,39,88,72
BK25,Homecrest,34922,1388,32813,1413,1647,421,196,130,51,76,215,112
BK26,Gravesend,16577,974,15795,1013,581,245,87,90,15,42,99,124
BK27,Bath Beach,17115,1054,15952,1019,867,314,86,58,126,115,84,69
BK28,Bensonhurst West,47636,1778,44833,1758,2145,493,135,126,155,124,368,194
BK29,Bensonhurst East,33380,1335,30847,1346,1686,463,244,173,90,80,513,271
BK30,Dyker Heights,26152,1153,24994,1145,843,239,106,102,86,65,123,104
BK31,Bay Ridge,62564,1894,56035,1901,3728,649,1027,241,1083,300,691,355
BK32,Sunset Park West,23968,1562,20553,1457,1602,396,631,225,693,263,489,267
BK33,Carroll Gardens-Columbia Street-Red Hook,25467,1074,21413,1081,2121,452,1098,253,674,239,161,99
BK34,Sunset Park East,21613,1458,19566,1421,1408,402,295,144,143,99,201,138
BK35,Stuyvesant Heights,7727,1080,5441,874,1018,353,471,313,608,282,189,210
BK37,Park Slope-Gowanus,52470,1674,42315,1655,4678,628,2355,381,2375,434,747,295
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17815,927,14736,917,1172,296,1122,248,629,180,156,74
BK40,Windsor Terrace,16370,922,14237,927,1282,326,540,379,303,114,8,32
BK41,Kensington-Ocean Parkway,20016,1325,18208,1298,1327,419,146,78,207,118,128,88
BK42,Flatbush,28480,1753,25838,1719,1377,332,601,223,304,137,360,205
BK43,Midwood,40454,1546,37544,1566,1890,447,245,158,134,98,641,267
BK44,Madison,29792,1254,27660,1254,1433,432,226,181,200,112,273,166
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,37305,1372,35602,1376,1404,460,77,86,188,94,34,58
BK46,Ocean Parkway South,17193,1054,16352,1061,578,235,91,63,64,81,108,92
BK50,Canarsie,6737,755,6361,722,182,124,75,84,27,81,92,140
BK58,Flatlands,14628,994,14154,983,400,184,56,74,13,62,5,62
BK60,Prospect Lefferts Gardens-Wingate,7876,1080,6596,1042,690,236,269,156,189,105,132,104
BK61,Crown Heights North,12256,1057,8801,912,1654,359,653,191,925,247,223,225
BK63,Crown Heights South,10837,1139,9435,1111,754,270,175,79,361,142,112,76
BK64,Prospect Heights,11006,852,8267,802,1469,359,736,269,340,138,194,150
BK68,Fort Greene,8950,730,6916,691,930,297,601,202,390,142,113,80
BK69,Clinton Hill,14716,1085,11285,970,1607,381,643,256,1024,315,157,103
BK72,Williamsburg,29316,1532,28610,1546,524,193,131,118,11,36,40,49
BK73,North Side-South Side,35625,1496,30753,1523,2112,448,1444,333,919,255,397,151
BK75,Bedford,21573,1245,18870,1259,1809,428,252,106,485,188,157,145
BK76,Greenpoint,26777,1142,23418,1145,1864,365,656,173,412,153,427,182
BK77,Bushwick North,21956,1734,18773,1667,1761,509,638,251,572,203,212,106
BK78,Bushwick South,27336,1939,22427,1807,2960,662,864,276,696,207,389,177
BK79,Ocean Hill,1342,407,1084,358,250,204,2,36,6,39,0,38
BK81,Brownsville,3186,777,2871,758,109,102,22,56,172,163,12,53
BK82,East New York,15969,1441,14883,1407,678,281,173,139,202,188,33,81
BK83,Cypress Hills-City Line,23413,1733,21798,1697,1038,428,430,265,55,80,92,96
BK85,East New York (Pennsylvania Ave),3307,697,3059,674,198,155,20,40,30,45,0,36
BK88,Borough Park,83247,2766,78719,2747,3368,818,380,242,233,155,547,255
BK90,East Williamsburg,20609,1075,17645,1095,1568,370,771,221,468,159,157,84
BK91,East Flatbush-Farragut,1586,429,1487,411,78,112,21,55,0,54,0,54
BK93,Starrett City,5022,683,4841,687,132,92,0,24,0,24,49,77
BK95,Erasmus,1131,482,964,422,139,203,28,56,0,36,0,36
BK96,Rugby-Remsen Village,1153,381,1057,368,61,66,33,74,2,52,0,54
BK99,park-cemetery-etc-Brooklyn,286,230,249,227,30,53,7,40,0,40,0,40
BX01,Claremont-Bathgate,2658,554,2298,508,266,137,61,58,33,48,0,40
