area_id,area_name,c15002f001,c15002f001_moe,c15002f002,c15002f002_moe,c15002f003,c15002f003_moe,c15002f004,c15002f004_moe,c15002f005,c15002f005_moe,c15002f006,c15002f006_moe,c15002f007,c15002f007_moe,c15002f008,c15002f008_moe,c15002f009,c15002f009_moe,c15002f010,c15002f010_moe,c15002f011,c15002f011_moe
BK09,Brooklyn Heights-Cobble Hill,442,171,155,87,26,37,61,53,35,49,33,51,287,149,11,31,45,54,65,89,166,112
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,558,224,228,125,71,76,104,84,32,80,21,61,330,149,163,101,115,110,12,57,40,65
BK19,Brighton Beach,423,266,243,169,141,121,43,56,58,74,1,36,180,115,151,109,29,50,0,38,0,38
BK21,Seagate-Coney Island,1586,390,657,217,468,190,152,97,33,54,4,37,929,229,514,166,184,94,168,115,63,69
BK23,West Brighton,1,24,1,24,0,27,1,24,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,684,310,383,221,268,167,52,63,30,87,33,56,301,125,153,102,49,56,42,59,57,67
BK26,Gravesend,926,285,410,156,179,123,129,93,61,61,41,64,516,198,327,187,122,110,51,73,16,35
BK27,Bath Beach,914,349,459,197,141,103,215,121,26,50,77,65,455,192,209,129,129,114,75,69,42,47
BK28,Bensonhurst West,2499,636,1401,423,829,324,431,220,141,104,0,64,1098,291,633,216,254,143,97,89,114,95
BK29,Bensonhurst East,1343,382,644,204,342,149,215,129,70,68,17,52,699,204,451,167,74,69,148,110,26,60
BK30,Dyker Heights,609,238,302,134,146,103,50,70,64,68,42,53,307,146,122,85,45,58,104,91,36,66
BK31,Bay Ridge,2793,489,1115,263,297,140,398,154,210,131,210,118,1678,345,452,236,332,135,331,131,563,184
BK32,Sunset Park West,9904,932,5698,642,2750,407,1452,314,884,240,612,202,4206,434,2542,328,829,216,578,166,257,117
BK33,Carroll Gardens-Columbia Street-Red Hook,3357,619,1411,328,502,188,401,173,258,143,250,137,1946,407,764,224,391,153,233,132,558,254
BK34,Sunset Park East,5705,775,2820,513,1581,350,728,243,302,132,209,124,2885,388,1636,311,634,164,427,146,188,99
BK35,Stuyvesant Heights,3134,565,1308,338,785,271,216,110,183,111,124,102,1826,345,696,202,315,144,529,197,286,134
BK37,Park Slope-Gowanus,4439,711,2378,460,733,288,532,199,673,232,440,173,2061,368,668,190,664,225,409,159,320,138
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2729,458,1271,295,593,191,317,144,245,129,116,79,1458,273,581,153,459,166,228,125,190,99
BK40,Windsor Terrace,756,259,340,152,64,69,61,67,108,98,107,71,416,139,71,56,152,105,57,55,136,89
BK41,Kensington-Ocean Parkway,1890,497,1035,328,430,175,390,245,119,95,96,82,855,250,369,143,250,174,134,78,102,81
BK42,Flatbush,6741,992,3406,585,1243,346,1234,332,618,216,311,148,3335,506,1428,307,922,303,491,188,494,164
BK43,Midwood,1164,408,692,277,231,175,181,135,256,200,24,57,472,211,66,72,162,111,175,149,69,77
BK44,Madison,431,207,149,84,26,51,51,61,49,56,23,51,282,176,0,46,28,55,178,162,76,77
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,893,343,416,201,59,63,190,135,148,109,19,57,477,211,87,83,183,152,132,98,75,79
BK46,Ocean Parkway South,443,218,217,115,146,95,55,62,16,42,0,36,226,142,113,78,70,117,12,38,31,45
BK50,Canarsie,2418,532,1122,292,458,182,306,136,231,146,127,113,1296,293,255,125,453,155,352,148,236,134
BK58,Flatlands,1151,315,552,182,151,104,240,122,93,89,68,77,599,178,106,88,221,115,154,98,118,85
BK60,Prospect Lefferts Gardens-Wingate,2439,564,923,311,263,185,288,132,283,153,89,80,1516,351,253,129,411,152,428,214,424,207
BK61,Crown Heights North,3795,681,1870,437,828,275,685,233,301,140,56,78,1925,387,876,241,512,175,450,180,87,85
BK63,Crown Heights South,1260,381,739,261,426,229,104,79,100,90,109,84,521,178,220,99,149,95,104,78,48,56
BK64,Prospect Heights,843,324,417,164,79,63,140,122,107,92,91,89,426,186,163,117,80,71,76,80,107,101
BK68,Fort Greene,1599,379,766,276,393,229,35,50,145,106,193,117,833,203,306,106,123,79,174,102,230,121
BK69,Clinton Hill,1605,376,886,273,314,147,208,148,258,131,106,95,719,200,284,109,217,122,93,58,125,77
