area_id,area_name,b05003f001,b05003f001_moe,b05003f002,b05003f002_moe,b05003f003,b05003f003_moe,b05003f004,b05003f004_moe,b05003f005,b05003f005_moe,b05003f006,b05003f006_moe,b05003f007,b05003f007_moe,b05003f008,b05003f008_moe,b05003f009,b05003f009_moe,b05003f010,b05003f010_moe,b05003f011,b05003f011_moe,b05003f012,b05003f012_moe,b05003f013,b05003f013_moe,b05003f014,b05003f014_moe,b05003f015,b05003f015_moe,b05003f016,b05003f016_moe,b05003f017,b05003f017_moe,b05003f018,b05003f018_moe,b05003f019,b05003f019_moe,b05003f020,b05003f020_moe,b05003f021,b05003f021_moe,b05003f022,b05003f022_moe,b05003f023,b05003f023_moe
BK09,Brooklyn Heights-Cobble Hill,682,272,305,149,16,37,16,37,0,29,0,29,0,29,289,143,255,135,34,40,5,29,29,41,377,179,28,51,28,51,0,29,0,29,0,29,349,163,188,113,161,111,124,104,37,45
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,958,440,342,171,112,129,112,129,0,55,0,55,0,55,230,125,136,103,94,89,68,76,26,59,616,306,230,173,230,173,0,55,0,55,0,55,386,179,244,142,142,117,119,110,23,66
BK19,Brighton Beach,691,421,381,260,62,78,62,78,0,38,0,38,0,38,319,223,56,71,263,213,47,62,216,207,310,217,70,97,8,39,62,93,62,93,0,38,240,148,45,64,195,143,47,66,148,111
BK21,Seagate-Coney Island,2612,669,1227,415,342,171,342,171,0,38,0,38,0,38,885,363,531,331,354,146,145,103,209,108,1385,361,281,137,281,137,0,38,0,38,0,38,1104,290,704,228,400,150,234,118,166,100
BK23,West Brighton,1,24,1,24,0,27,0,27,0,27,0,27,0,27,1,24,0,27,1,24,0,27,1,24,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,1067,443,547,267,128,97,89,88,39,63,18,54,21,56,419,233,57,56,362,230,67,78,295,224,520,217,166,121,126,103,40,65,19,56,21,58,354,137,98,76,256,121,97,95,159,101
BK26,Gravesend,1673,581,642,222,215,140,215,140,0,36,0,36,0,36,427,158,248,116,179,127,81,94,98,102,1031,412,467,236,451,232,16,43,0,36,16,43,564,213,380,198,184,134,27,54,157,118
BK27,Bath Beach,1709,653,845,343,292,165,283,164,9,41,9,41,0,40,553,233,267,159,286,162,66,62,220,153,864,356,267,145,216,138,51,58,19,49,32,51,597,273,395,243,202,102,70,71,132,81
BK28,Bensonhurst West,4116,1058,2369,665,592,274,399,190,193,170,0,64,193,170,1777,519,505,216,1272,414,232,132,1040,398,1747,474,528,226,456,209,72,107,0,64,72,107,1219,320,279,150,940,274,184,114,756,251
BK29,Bensonhurst East,2223,639,1136,354,325,150,253,120,72,97,0,51,72,97,811,265,284,124,527,216,66,71,461,211,1087,321,326,156,285,145,41,68,0,51,41,68,761,214,270,125,491,167,110,79,381,155
BK30,Dyker Heights,1024,421,662,306,205,137,205,137,0,51,0,51,0,51,457,253,176,118,281,206,114,89,167,190,362,160,36,58,28,56,8,51,0,51,8,51,326,148,184,107,142,95,46,60,96,84
BK31,Bay Ridge,4607,887,2005,450,744,252,744,252,0,66,0,66,0,66,1261,294,554,169,707,240,224,120,483,219,2602,556,800,268,800,268,0,66,0,66,0,66,1802,363,973,278,829,246,313,134,516,204
BK32,Sunset Park West,16638,1548,9208,918,2366,413,2207,401,159,106,0,49,159,106,6842,736,2576,414,4266,605,863,221,3403,558,7430,825,2208,410,1975,380,233,134,9,50,224,134,5222,550,2255,373,2967,400,798,201,2169,344
BK33,Carroll Gardens-Columbia Street-Red Hook,4879,899,2308,554,579,292,368,195,211,216,18,50,193,215,1729,372,1255,296,474,231,70,65,404,226,2571,529,437,199,411,183,26,58,0,45,26,58,2134,452,1678,424,456,185,196,136,260,144
BK34,Sunset Park East,10220,1323,5314,820,1477,378,1352,368,125,82,15,58,110,81,3837,646,1116,278,2721,575,559,190,2162,546,4906,661,1367,312,1180,302,187,94,16,59,171,93,3539,466,1125,243,2414,400,679,183,1735,347
BK35,Stuyvesant Heights,5049,888,2336,518,777,291,735,288,42,63,0,51,42,63,1559,385,681,215,878,333,189,136,689,315,2713,491,559,182,474,177,85,78,51,70,34,62,2154,394,1229,279,925,285,460,219,465,182
BK37,Park Slope-Gowanus,6597,1087,3242,594,603,220,495,195,108,97,64,86,44,73,2639,496,1464,377,1175,314,412,185,763,276,3355,633,812,316,750,309,62,90,38,82,24,68,2543,457,1398,376,1145,269,502,174,643,222
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4106,745,2063,467,525,280,525,280,0,42,0,42,0,42,1538,365,1244,325,294,143,74,79,220,120,2043,414,358,177,358,177,0,42,0,42,0,42,1685,325,1307,283,378,156,249,131,129,99
