area_id,area_name,b17001g001,b17001g001_moe,b17001g002,b17001g002_moe,b17001g003,b17001g003_moe,b17001g004,b17001g004_moe,b17001g005,b17001g005_moe,b17001g006,b17001g006_moe,b17001g007,b17001g007_moe,b17001g008,b17001g008_moe,b17001g009,b17001g009_moe,b17001g010,b17001g010_moe,b17001g011,b17001g011_moe,b17001g012,b17001g012_moe,b17001g013,b17001g013_moe,b17001g014,b17001g014_moe,b17001g015,b17001g015_moe,b17001g016,b17001g016_moe,b17001g017,b17001g017_moe,b17001g018,b17001g018_moe,b17001g019,b17001g019_moe,b17001g020,b17001g020_moe,b17001g021,b17001g021_moe,b17001g022,b17001g022_moe,b17001g023,b17001g023_moe,b17001g024,b17001g024_moe,b17001g025,b17001g025_moe,b17001g026,b17001g026_moe,b17001g027,b17001g027_moe,b17001g028,b17001g028_moe,b17001g029,b17001g029_moe,b17001g030,b17001g030_moe,b17001g031,b17001g031_moe,b17001g032,b17001g032_moe,b17001g033,b17001g033_moe,b17001g034,b17001g034_moe,b17001g035,b17001g035_moe,b17001g036,b17001g036_moe,b17001g037,b17001g037_moe,b17001g038,b17001g038_moe,b17001g039,b17001g039_moe,b17001g040,b17001g040_moe,b17001g041,b17001g041_moe,b17001g042,b17001g042_moe,b17001g043,b17001g043_moe,b17001g044,b17001g044_moe,b17001g045,b17001g045_moe,b17001g046,b17001g046_moe,b17001g047,b17001g047_moe,b17001g048,b17001g048_moe,b17001g049,b17001g049_moe,b17001g050,b17001g050_moe,b17001g051,b17001g051_moe,b17001g052,b17001g052_moe,b17001g053,b17001g053_moe,b17001g054,b17001g054_moe,b17001g055,b17001g055_moe,b17001g056,b17001g056_moe,b17001g057,b17001g057_moe,b17001g058,b17001g058_moe,b17001g059,b17001g059_moe
BK09,Brooklyn Heights-Cobble Hill,908,305,72,63,16,30,0,29,0,29,0,29,0,29,0,29,0,29,0,29,15,30,0,29,1,27,0,29,0,29,0,29,56,60,0,29,0,29,0,29,0,29,0,29,0,29,0,29,38,46,0,29,0,29,18,47,0,29,0,29,836,302,406,192,113,79,0,29,69,82,0,29,46,79,0,29,19,33,114,87,37,49,8,27,0,29,0,29,0,29,430,165,102,58,28,39,48,82,24,37,0,29,0,29,18,40,56,83,120,71,23,46,11,32,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,576,385,239,336,134,200,94,157,0,55,0,55,0,55,0,55,0,55,0,55,39,72,0,55,1,54,0,55,0,55,0,55,105,151,0,55,0,55,47,91,0,55,0,55,0,55,0,55,47,87,0,55,1,54,0,55,10,56,0,55,337,197,160,105,18,61,0,55,8,55,0,55,15,60,14,58,35,67,24,59,0,55,20,57,19,57,7,55,0,55,177,119,0,55,0,55,0,55,0,55,0,55,15,59,37,61,51,66,16,60,35,60,23,60,0,55,0,55
BK19,Brighton Beach,800,360,85,79,50,74,9,39,0,38,0,38,0,38,0,38,0,38,0,38,41,73,0,38,0,38,0,38,0,38,0,38,35,41,0,38,0,38,0,38,0,38,0,38,8,39,0,38,16,39,0,38,11,40,0,38,0,38,0,38,715,352,346,176,22,44,0,38,45,76,0,38,30,62,0,38,118,122,25,45,42,55,27,52,37,48,0,38,0,38,369,213,9,39,0,38,18,44,0,38,0,38,18,44,104,101,26,44,17,43,146,110,31,43,0,38,0,38
BK21,Seagate-Coney Island,604,350,251,270,109,190,0,38,31,60,10,42,9,43,0,38,20,60,32,88,0,38,0,38,0,38,7,39,0,38,0,38,142,111,69,87,0,38,10,42,0,38,0,38,0,38,26,55,0,38,30,51,7,38,0,38,0,38,0,38,353,206,166,97,11,39,0,38,22,52,0,38,0,38,0,38,47,63,33,63,4,37,0,38,14,43,32,47,3,37,187,145,20,48,23,51,40,59,30,52,0,38,0,38,11,40,24,53,0,38,8,39,7,38,8,37,16,50
BK23,West Brighton,84,74,13,32,7,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,7,26,0,27,6,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,6,26,0,27,71,68,47,52,0,27,8,28,11,29,11,30,0,27,0,27,0,27,8,28,9,28,0,27,0,27,0,27,0,27,24,35,8,28,0,27,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27
BK25,Homecrest,562,432,250,380,139,206,0,48,0,48,0,48,0,48,0,48,0,48,82,137,0,48,0,48,0,48,45,84,12,51,0,48,111,183,0,48,0,48,37,75,0,48,37,75,0,48,0,48,0,48,0,48,0,48,37,75,0,48,0,48,312,213,139,105,5,47,0,48,0,48,0,48,24,60,19,56,0,48,26,56,29,57,9,49,21,53,6,47,0,48,173,125,0,48,20,56,10,49,0,48,24,60,0,48,25,55,41,57,19,56,17,53,6,48,11,50,0,48
BK26,Gravesend,357,168,118,119,49,69,0,36,0,36,18,43,0,36,0,36,0,36,0,36,0,36,20,44,11,36,0,36,0,36,0,36,69,72,24,40,0,36,0,36,0,36,12,37,0,36,14,36,19,44,0,36,0,36,0,36,0,36,0,36,239,122,85,77,0,36,0,36,16,43,12,38,0,36,0,36,0,36,40,67,0,36,17,43,0,36,0,36,0,36,154,103,18,41,0,36,49,50,0,36,0,36,40,44,0,36,0,36,0,36,17,42,9,38,14,40,7,35
BK27,Bath Beach,313,149,8,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,8,40,8,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,305,148,180,101,14,43,5,40,13,44,1,38,0,40,0,40,17,48,44,56,46,50,29,45,0,40,0,40,11,42,125,74,34,52,9,40,13,42,0,40,0,40,0,40,1,38,17,43,6,42,17,40,11,42,6,39,11,42
BK28,Bensonhurst West,707,223,83,79,33,65,7,64,0,64,0,64,0,64,0,64,0,64,0,64,11,65,0,64,15,63,0,64,0,64,0,64,50,71,19,66,0,64,0,64,9,63,0,64,0,64,0,64,0,64,8,63,0,64,1,62,0,64,13,66,624,216,293,127,8,64,20,68,62,77,0,64,16,67,0,64,35,67,39,69,20,67,33,71,44,73,10,63,6,63,331,137,114,101,22,68,5,62,46,71,0,64,0,64,8,64,33,67,29,66,67,75,7,62,0,64,0,64
BK29,Bensonhurst East,864,393,143,120,54,72,0,51,0,51,8,51,30,68,0,51,0,51,0,51,9,52,0,51,0,51,0,51,0,51,7,51,89,78,8,51,0,51,29,67,0,51,0,51,0,51,0,51,22,54,0,51,24,56,0,51,0,51,6,51,721,379,433,236,53,76,45,64,52,73,0,51,9,51,39,66,45,70,78,74,71,86,18,57,10,52,13,51,0,51,288,171,8,52,0,51,88,97,10,52,0,51,0,51,5,50,55,66,73,71,30,55,15,51,4,50,0,51
