area_id,area_name,b07201001,b07201001_moe,b07201002,b07201002_moe,b07201003,b07201003_moe,b07201004,b07201004_moe,b07201005,b07201005_moe,b07201006,b07201006_moe,b07201007,b07201007_moe,b07201008,b07201008_moe,b07201009,b07201009_moe,b07201010,b07201010_moe,b07201011,b07201011_moe,b07201012,b07201012_moe,b07201013,b07201013_moe,b07201014,b07201014_moe
BK09,Brooklyn Heights-Cobble Hill,23112,1177,19228,1192,3598,525,2630,442,2367,429,263,114,954,239,545,166,409,169,13,30,0,29,13,30,1,27,286,168
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,60854,1583,57412,1604,3119,527,2952,523,2842,515,110,90,157,101,95,75,62,73,10,56,0,55,10,56,0,55,323,173
BK19,Brighton Beach,31323,1299,28256,1242,2504,645,2408,629,2388,629,20,49,96,86,46,54,50,77,0,38,0,38,0,38,0,38,563,294
BK21,Seagate-Coney Island,29691,1249,27297,1272,2304,651,2294,651,2150,612,144,219,10,39,10,39,0,38,0,38,0,38,0,38,0,38,90,103
BK23,West Brighton,15342,681,14753,696,501,211,448,206,448,206,0,27,52,46,35,49,17,39,1,24,0,27,1,24,0,27,88,72
BK25,Homecrest,41341,1435,38462,1448,2382,508,2286,487,2210,473,76,104,96,99,51,75,45,79,0,48,0,48,0,48,0,48,497,234
BK26,Gravesend,27541,1235,26088,1244,1284,374,1192,363,1125,357,67,89,92,80,66,77,26,42,0,36,0,36,0,36,0,36,169,169
BK27,Bath Beach,28930,1235,26546,1226,1944,463,1805,452,1768,451,37,40,139,118,104,107,35,64,0,40,0,40,0,40,0,40,440,256
BK28,Bensonhurst West,85613,2121,80366,2149,4293,734,3981,703,3901,695,80,100,312,179,229,162,83,99,0,64,0,64,0,64,0,64,954,344
BK29,Bensonhurst East,60452,1622,55701,1694,3639,664,3481,664,3295,645,186,173,149,97,124,94,25,55,9,52,0,51,9,52,0,51,1112,394
BK30,Dyker Heights,44748,1488,41834,1483,2362,478,2236,474,2145,470,91,80,118,90,38,52,80,89,0,51,0,51,0,51,8,49,552,271
BK31,Bay Ridge,82623,1952,74196,2044,7480,863,6188,801,5796,777,392,149,1232,300,828,275,404,127,54,71,32,70,22,66,6,65,947,373
BK32,Sunset Park West,53916,1675,46642,1744,5815,726,4511,641,4320,630,191,110,1147,319,777,253,370,192,56,65,24,52,32,62,101,105,1459,427
BK33,Carroll Gardens-Columbia Street-Red Hook,38997,1293,33607,1324,5087,701,4384,667,4186,659,198,106,660,257,485,206,175,125,43,53,0,45,43,53,0,45,303,171
BK34,Sunset Park East,70221,2015,60153,2031,8461,1046,7389,994,7252,989,137,119,1012,298,748,261,264,128,54,73,28,65,26,64,6,58,1607,443
BK35,Stuyvesant Heights,63582,2049,55489,1982,7668,1081,6668,1029,6529,1029,139,90,919,304,475,214,444,195,38,68,31,68,7,51,43,73,425,255
BK37,Park Slope-Gowanus,71848,1832,59076,1930,11731,966,9019,872,8475,849,544,210,2560,467,1899,407,661,226,127,102,46,76,81,80,25,62,1041,368
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34868,1264,29461,1192,5088,580,4035,531,3845,520,190,94,1030,231,680,192,350,128,23,48,5,41,18,48,0,42,319,129
BK40,Windsor Terrace,22098,932,19469,969,2589,519,2133,510,2052,507,81,54,427,146,300,132,127,75,29,35,29,35,0,32,0,32,40,46
BK41,Kensington-Ocean Parkway,35636,1466,32388,1509,2942,657,2667,643,2656,642,11,42,267,133,73,56,194,124,8,39,8,39,0,40,0,40,306,146
BK42,Flatbush,103692,2556,97210,2635,5566,726,5164,705,4784,683,380,205,305,134,167,108,138,103,87,96,30,72,57,93,10,69,916,300
BK43,Midwood,50670,1589,46885,1690,3101,573,3002,573,2819,548,183,158,75,65,35,56,40,58,15,59,15,59,0,51,9,51,684,270
BK44,Madison,39543,1263,36915,1304,2265,499,1994,485,1969,484,25,59,269,125,153,93,116,95,2,45,0,46,2,45,0,46,363,192
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,47688,1462,45096,1434,2492,622,2293,631,2203,626,90,83,192,93,149,87,43,64,7,55,0,55,7,55,0,55,100,87
BK46,Ocean Parkway South,19291,1083,18323,1096,837,261,738,249,700,247,38,37,76,83,71,82,5,35,23,48,1,34,22,48,0,36,131,99
BK50,Canarsie,85193,2046,80339,2079,4308,664,3829,625,3715,619,114,128,429,216,203,156,226,157,50,83,2,69,48,83,0,70,546,223
BK58,Flatlands,70221,1697,66313,1754,3521,661,3165,635,3158,635,7,61,356,168,176,110,180,141,0,62,0,62,0,62,0,62,387,179
BK60,Prospect Lefferts Gardens-Wingate,68446,2160,61838,2192,6269,933,5786,896,5656,893,130,96,433,205,216,168,217,129,32,63,17,62,15,59,18,62,339,177
BK61,Crown Heights North,98791,2365,88051,2353,9959,1064,8319,967,8115,959,204,109,1580,349,1002,299,578,194,59,80,39,75,20,73,1,66,781,377
BK63,Crown Heights South,40417,1574,36735,1621,3256,667,2725,633,2471,582,254,179,468,166,406,151,62,52,63,94,0,40,63,94,0,40,426,175
BK64,Prospect Heights,20244,945,16703,956,3309,551,2904,512,2772,513,132,94,398,143,259,109,139,83,7,30,7,30,0,32,0,32,232,152
BK68,Fort Greene,26642,1081,22170,1065,4167,571,3401,535,3231,526,170,128,745,225,589,199,156,109,19,43,2,36,17,42,2,36,305,183
BK69,Clinton Hill,35842,1426,30416,1403,5009,722,3840,619,3492,584,348,154,1083,317,629,212,454,202,86,72,16,40,70,70,0,40,417,159
BK72,Williamsburg,31730,1490,30889,1514,786,254,689,225,674,221,15,42,30,46,0,36,30,46,0,36,0,36,0,36,67,110,55,52
BK73,North Side-South Side,45458,1476,39289,1484,5725,695,4568,619,4463,616,105,66,1101,277,804,248,297,124,30,50,6,48,24,50,26,59,444,155
BK75,Bedford,68641,1988,62279,2037,5974,746,4914,680,4822,675,92,78,1034,265,782,231,252,124,15,56,9,55,6,54,11,58,388,170
BK76,Greenpoint,31271,1155,27369,1150,3434,495,2951,454,2865,445,86,83,461,165,339,128,122,88,22,48,0,42,22,48,0,42,468,186
BK77,Bushwick North,61004,1878,53606,1958,6827,978,5956,954,5770,944,186,131,829,278,596,245,233,123,17,52,17,52,0,54,25,65,571,221
BK78,Bushwick South,70525,2207,61412,2201,8398,1024,7516,980,7400,976,116,87,852,225,520,176,332,142,9,54,5,54,4,56,21,66,715,242
BK79,Ocean Hill,31245,1364,28154,1353,3059,602,2893,598,2792,590,101,112,136,95,112,91,24,38,30,59,6,35,24,62,0,38,32,48
BK81,Brownsville,54501,1759,49901,1673,4464,791,4108,772,4070,772,38,56,323,183,127,100,196,160,18,55,18,55,0,51,15,55,136,86
BK82,East New York,90562,2392,83390,2430,6785,1048,6131,969,6085,968,46,72,634,351,479,342,155,97,20,68,20,68,0,65,0,65,387,167
BK83,Cypress Hills-City Line,46711,1726,42986,1770,3414,692,3072,653,3059,652,13,50,212,160,140,141,72,91,130,139,84,129,46,71,0,49,311,192
BK85,East New York (Pennsylvania Ave),29489,1164,27112,1203,2295,536,2109,519,2070,517,39,50,159,79,102,64,57,60,27,56,18,52,9,39,0,36,82,77
BK88,Borough Park,103340,2788,97422,2799,5132,927,4695,891,4524,885,171,127,292,172,129,115,163,144,24,72,14,72,10,67,121,209,786,283
BK90,East Williamsburg,32864,1137,28741,1153,3957,578,3345,537,3191,523,154,88,559,172,287,115,272,123,53,59,19,45,34,56,0,40,166,86
BK91,East Flatbush-Farragut,52086,1640,49089,1698,2856,666,2697,663,2615,660,82,68,159,91,114,86,45,57,0,54,0,54,0,54,0,54,141,94
BK93,Starrett City,12723,795,12232,865,442,197,387,181,387,181,0,24,55,81,0,24,55,81,0,24,0,24,0,24,0,24,49,77
BK95,Erasmus,29633,1506,27121,1430,2160,556,2090,550,2042,550,48,56,49,59,13,36,36,52,21,47,0,36,21,47,0,36,352,193
BK96,Rugby-Remsen Village,55468,1797,51445,1777,3586,681,3392,665,3367,664,25,60,194,127,162,125,32,55,0,54,0,54,0,54,0,54,437,156
BK99,park-cemetery-etc-Brooklyn,416,260,269,235,147,145,71,81,71,81,0,40,76,127,76,127,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,30182,1305,26279,1257,3712,660,3558,656,3383,630,175,198,116,62,52,51,64,49,34,50,14,44,20,45,4,38,191,104
BX03,Eastchester-Edenwald-Baychester,36365,1778,32439,1779,3473,839,3006,793,2444,647,562,418,405,350,57,53,348,347,0,40,0,40,0,40,62,106,453,372
BX05,Bedford Park-Fordham North,51771,1918,44883,1955,6300,1042,5887,1013,5745,1006,142,114,364,248,304,243,60,61,49,91,0,50,49,91,0,50,588,241
BX06,Belmont,25435,1333,20681,1276,4231,705,3713,672,3409,668,304,132,466,153,175,94,291,132,52,54,17,36,35,52,0,34,523,285
BX07,Bronxdale,33299,1339,29442,1430,3694,670,3472,653,3399,651,73,56,212,128,142,111,70,72,10,39,10,39,0,38,0,38,163,103
BX08,West Farms-Bronx River,34620,1675,30817,1661,3586,797,3452,794,3452,794,0,40,134,96,36,52,98,88,0,40,0,40,0,40,0,40,217,149
BX09,Soundview-Castle Hill-Clason Point-Harding Park,53296,1852,48838,1831,4019,804,3808,795,3485,719,323,364,194,115,139,97,55,79,17,54,0,50,17,54,0,50,439,253
BX10,Pelham Bay-Country Club-City Island,25934,1297,22744,1394,3019,665,2585,617,2453,619,132,98,429,251,351,238,78,81,0,34,0,34,0,34,5,33,171,120
BX13,Co-op City,43945,1752,41197,1759,2426,640,2350,635,2200,623,150,100,76,61,9,33,67,60,0,33,0,33,0,33,0,33,322,231
BX14,East Concourse-Concourse Village,62664,2124,55338,2183,6481,1028,6124,1016,6083,1005,41,74,279,174,155,144,124,111,46,66,23,62,23,55,32,64,845,283
BX17,East Tremont,41375,1600,37051,1599,3757,676,3560,667,3442,657,118,117,162,90,98,76,64,64,30,54,5,45,25,51,5,44,567,420
BX22,North Riverdale-Fieldston-Riverdale,26423,1150,23443,1148,2893,498,2150,416,1581,380,569,192,735,290,373,197,362,212,8,36,8,36,0,38,0,38,87,60
BX26,Highbridge,36340,1366,31587,1400,3995,742,3755,732,3746,731,9,44,205,124,82,94,123,90,0,42,0,42,0,42,35,59,758,282
BX27,Hunts Point,27167,1207,23121,1228,3844,675,3553,629,3515,630,38,49,262,237,61,59,201,232,18,45,7,36,11,39,11,39,202,112
BX28,Van Cortlandt Village,49152,1762,43955,1759,4584,792,4010,723,3827,707,183,183,541,239,298,160,243,181,33,68,0,43,33,68,0,43,613,289
