area_id,area_name,c27005001,c27005001_moe,c27005002,c27005002_moe,c27005003,c27005003_moe,c27005004,c27005004_moe,c27005005,c27005005_moe,c27005006,c27005006_moe,c27005007,c27005007_moe,c27005008,c27005008_moe,c27005009,c27005009_moe,c27005010,c27005010_moe,c27005011,c27005011_moe,c27005012,c27005012_moe,c27005013,c27005013_moe,c27005014,c27005014_moe,c27005015,c27005015_moe,c27005016,c27005016_moe,c27005017,c27005017_moe,c27005018,c27005018_moe,c27005019,c27005019_moe,c27005020,c27005020_moe,c27005021,c27005021_moe
BK09,Brooklyn Heights-Cobble Hill,23498,1176,11805,792,1575,318,144,93,1431,312,8901,619,1126,235,7775,599,1329,226,278,107,1051,209,11693,644,1431,222,144,72,1287,217,8710,519,1223,271,7487,481,1552,275,468,148,1084,250
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61288,1616,28604,1040,5832,618,308,149,5524,615,18282,762,1311,242,16971,749,4490,365,724,145,3766,341,32684,1097,5452,579,445,157,5007,572,20510,766,1550,242,18960,756,6722,462,1258,217,5464,417
BK19,Brighton Beach,31530,1324,14441,819,2612,394,172,101,2440,388,9360,609,534,157,8826,604,2469,271,236,94,2233,251,17089,793,2642,418,133,87,2509,409,10148,604,483,126,9665,604,4299,339,365,111,3934,327
BK21,Seagate-Coney Island,29406,1273,13579,846,3216,497,164,122,3052,491,8067,718,428,147,7639,708,2296,299,167,82,2129,287,15827,793,3239,477,226,126,3013,470,9227,607,516,145,8711,606,3361,317,223,79,3138,312
BK23,West Brighton,15410,683,6490,437,661,155,24,37,637,150,3420,411,274,108,3146,405,2409,275,336,100,2073,275,8920,499,626,187,94,78,532,180,4737,474,339,121,4398,468,3557,314,579,146,2978,304
BK25,Homecrest,41893,1458,20736,892,5126,559,473,158,4653,551,12627,633,1027,194,11600,619,2983,291,426,112,2557,278,21157,817,5010,548,751,264,4259,506,12162,532,1180,211,10982,525,3985,312,640,139,3345,294
BK26,Gravesend,27759,1258,12635,731,2320,423,163,109,2157,413,7551,548,458,128,7093,548,2764,319,333,124,2431,309,15124,795,2883,454,219,148,2664,442,8764,536,557,142,8207,532,3477,305,508,138,2969,310
BK27,Bath Beach,29100,1245,14358,791,3054,422,314,155,2740,400,9103,620,601,194,8502,621,2201,261,326,99,1875,236,14742,689,2636,360,275,141,2361,352,9255,549,564,143,8691,540,2851,277,432,103,2419,269
BK28,Bensonhurst West,86412,2161,41776,1354,8782,674,664,201,8118,652,27587,1076,1849,310,25738,1062,5407,418,532,123,4875,400,44636,1292,9346,730,573,165,8773,714,27595,895,2071,338,25524,872,7695,502,1065,197,6630,473
BK29,Bensonhurst East,61057,1648,30037,1009,5940,536,521,186,5419,519,19479,790,1596,267,17883,785,4618,363,465,120,4153,354,31020,1010,5676,531,319,129,5357,522,19765,791,1280,237,18485,781,5579,381,646,128,4933,377
BK30,Dyker Heights,44934,1499,22269,950,4869,490,428,155,4441,487,14321,749,1396,282,12925,717,3079,301,394,111,2685,284,22665,882,4424,485,385,156,4039,462,14291,654,1412,282,12879,647,3950,317,680,146,3270,304
BK31,Bay Ridge,83453,1976,39627,1247,8615,674,1159,288,7456,641,26694,917,2771,381,23923,901,4318,334,915,155,3403,308,43826,1227,8417,738,1058,268,7359,715,27993,847,3403,375,24590,863,7416,421,1620,213,5796,398
