area_id,area_name,b19013a001,b19013a001_moe
BK09,Brooklyn Heights-Cobble Hill,661956,53662
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1032477,71736
BK19,Brighton Beach,323360,43386
BK21,Seagate-Coney Island,239532,33062
BK23,West Brighton,157586,13511
BK25,Homecrest,737450,43637
BK26,Gravesend,279586,26280
BK27,Bath Beach,567058,91286
BK28,Bensonhurst West,1125397,76741
BK29,Bensonhurst East,735937,51188
BK30,Dyker Heights,1094137,76130
BK31,Bay Ridge,1704468,85157
BK32,Sunset Park West,625028,90805
BK33,Carroll Gardens-Columbia Street-Red Hook,1015917,72016
BK34,Sunset Park East,581032,75473
BK35,Stuyvesant Heights,714511,197450
BK37,Park Slope-Gowanus,2073576,117803
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1207280,87081
BK40,Windsor Terrace,518565,36163
BK41,Kensington-Ocean Parkway,379553,47973
BK42,Flatbush,1396219,220429
BK43,Midwood,1032509,96519
BK44,Madison,868897,69097
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1489121,95367
BK46,Ocean Parkway South,552671,50687
BK50,Canarsie,1539958,537816
BK58,Flatlands,1591910,214988
BK60,Prospect Lefferts Gardens-Wingate,750347,171830
BK61,Crown Heights North,1298760,324366
BK63,Crown Heights South,412102,106978
BK64,Prospect Heights,602610,61513
BK68,Fort Greene,745447,115507
BK69,Clinton Hill,775509,87374
BK72,Williamsburg,150961,19250
BK73,North Side-South Side,787120,74618
BK75,Bedford,872247,156946
BK76,Greenpoint,776702,58834
BK77,Bushwick North,544019,69223
BK78,Bushwick South,919924,209953
BK79,Ocean Hill,173918,76871
BK81,Brownsville,253958,75337
BK82,East New York,871406,154371
BK83,Cypress Hills-City Line,627369,115777
BK85,East New York (Pennsylvania Ave),231403,114241
BK88,Borough Park,1089048,69310
BK90,East Williamsburg,550760,53361
BK91,East Flatbush-Farragut,617683,277894
BK93,Starrett City,30059,4990
BK95,Erasmus,252936,174714
BK96,Rugby-Remsen Village,483794,219032
