area_id,area_name,c21001h001,c21001h001_moe,c21001h002,c21001h002_moe,c21001h003,c21001h003_moe,c21001h004,c21001h004_moe,c21001h005,c21001h005_moe,c21001h006,c21001h006_moe,c21001h007,c21001h007_moe,c21001h008,c21001h008_moe,c21001h009,c21001h009_moe,c21001h010,c21001h010_moe,c21001h011,c21001h011_moe,c21001h012,c21001h012_moe,c21001h013,c21001h013_moe,c21001h014,c21001h014_moe,c21001h015,c21001h015_moe
BK09,Brooklyn Heights-Cobble Hill,15673,781,8175,555,6992,522,188,98,6804,515,1183,199,413,117,770,173,7498,467,6440,432,0,29,6440,432,1058,214,0,29,1058,214
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,35660,1142,16443,699,12948,679,536,143,12412,674,3495,314,1054,164,2441,281,19217,725,13573,671,39,59,13534,671,5644,413,23,56,5621,412
BK19,Brighton Beach,19206,841,8255,527,6056,484,131,91,5925,479,2199,255,232,87,1967,242,10951,564,7082,529,0,38,7082,529,3869,323,12,44,3857,314
BK21,Seagate-Coney Island,8153,690,3682,406,2395,355,130,90,2265,327,1287,200,138,73,1149,192,4471,381,2530,335,0,38,2530,335,1941,234,0,38,1941,234
BK23,West Brighton,13714,603,5728,404,3360,416,71,49,3289,417,2368,274,554,154,1814,256,7986,447,4567,487,10,29,4557,488,3419,310,0,27,3419,310
BK25,Homecrest,25405,927,12257,573,9624,551,276,99,9348,552,2633,266,636,151,1997,239,13148,521,9680,495,0,48,9680,495,3468,292,0,48,3468,292
BK26,Gravesend,13014,718,5926,455,3673,407,256,117,3417,394,2253,280,725,188,1528,265,7088,413,4242,377,0,36,4242,377,2846,288,16,37,2830,287
BK27,Bath Beach,13670,831,6444,474,4612,453,402,139,4210,436,1832,240,650,150,1182,199,7226,492,4655,468,8,40,4647,468,2571,258,0,40,2571,258
BK28,Bensonhurst West,33949,1217,15428,705,11554,675,470,148,11084,665,3874,356,1186,205,2688,310,18521,745,12679,670,38,68,12641,671,5842,443,0,64,5842,443
BK29,Bensonhurst East,25066,1038,11700,623,8431,607,498,151,7933,595,3269,291,1063,188,2206,240,13366,645,9184,618,10,52,9174,618,4182,337,7,51,4175,337
BK30,Dyker Heights,19844,875,9709,574,7316,552,518,136,6798,552,2393,253,919,161,1474,209,10135,483,6898,444,5,50,6893,444,3237,280,0,51,3237,280
BK31,Bay Ridge,45730,1283,21393,802,17831,775,1070,208,16761,774,3562,308,1196,176,2366,275,24337,818,18343,782,57,75,18286,784,5994,377,41,70,5953,378
BK32,Sunset Park West,8500,675,4447,441,4044,433,121,75,3923,433,403,118,135,73,268,102,4053,397,3377,357,0,49,3377,357,676,196,1,47,675,195
BK33,Carroll Gardens-Columbia Street-Red Hook,19443,801,9288,532,8396,533,202,95,8194,537,892,172,433,129,459,120,10155,589,8837,558,27,51,8810,557,1318,229,0,45,1318,229
