area_id,area_name,b17020g001,b17020g001_moe,b17020g002,b17020g002_moe,b17020g003,b17020g003_moe,b17020g004,b17020g004_moe,b17020g005,b17020g005_moe,b17020g006,b17020g006_moe,b17020g007,b17020g007_moe,b17020g008,b17020g008_moe,b17020g009,b17020g009_moe,b17020g010,b17020g010_moe,b17020g011,b17020g011_moe,b17020g012,b17020g012_moe,b17020g013,b17020g013_moe,b17020g014,b17020g014_moe,b17020g015,b17020g015_moe,b17020g016,b17020g016_moe,b17020g017,b17020g017_moe
BK09,Brooklyn Heights-Cobble Hill,908,305,72,63,0,29,0,29,0,29,0,29,72,63,0,29,0,29,836,302,215,101,28,39,117,156,70,82,406,156,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,576,385,239,336,94,157,0,55,47,91,0,55,88,125,10,56,0,55,337,197,18,61,0,55,8,55,44,82,260,176,7,55,0,55
BK19,Brighton Beach,800,360,85,79,9,39,0,38,0,38,8,39,68,75,0,38,0,38,715,352,31,46,0,38,63,79,48,65,573,319,0,38,0,38
BK21,Seagate-Coney Island,604,350,251,270,69,87,31,60,20,60,29,83,102,124,0,38,0,38,353,206,31,59,23,51,62,68,30,52,148,98,40,47,19,49
BK23,West Brighton,84,74,13,32,0,27,0,27,0,27,0,27,0,27,13,32,0,27,71,68,8,28,8,28,20,33,11,30,24,38,0,27,0,27
BK25,Homecrest,562,432,250,380,0,48,0,48,37,75,37,75,164,262,12,51,0,48,312,213,5,47,20,56,10,49,67,94,193,152,17,50,0,48
BK26,Gravesend,357,168,118,119,24,40,0,36,18,43,12,37,64,76,0,36,0,36,239,122,18,41,0,36,65,64,52,49,83,75,14,40,7,35
BK27,Bath Beach,313,149,8,40,8,40,0,40,0,40,0,40,0,40,0,40,0,40,305,148,48,55,14,42,26,56,1,38,188,109,6,39,22,51
BK28,Bensonhurst West,707,223,83,79,26,69,0,64,0,64,9,63,35,63,0,64,13,66,624,216,122,101,42,82,67,77,62,75,315,133,10,63,6,63
BK29,Bensonhurst East,864,393,143,120,8,51,0,51,37,67,30,68,55,65,0,51,13,51,721,379,61,81,45,64,140,128,58,71,400,196,17,52,0,51
BK30,Dyker Heights,421,200,50,69,5,50,0,51,12,52,27,60,6,50,0,51,0,51,371,194,29,53,6,51,56,62,23,53,222,146,26,59,9,52
BK31,Bay Ridge,1860,492,379,270,35,76,9,66,96,117,42,76,188,151,9,66,0,66,1481,419,305,120,58,83,186,111,265,160,663,208,4,65,0,66
BK32,Sunset Park West,1362,388,297,178,0,49,0,49,17,54,64,74,190,125,0,49,26,52,1065,341,111,80,39,60,179,126,87,81,600,222,8,49,41,63
BK33,Carroll Gardens-Columbia Street-Red Hook,1618,452,238,179,0,45,0,45,60,82,26,58,146,121,6,44,0,45,1380,434,259,131,117,82,242,133,96,100,644,231,22,48,0,45
