area_id,area_name,b08201001,b08201001_moe,b08201002,b08201002_moe,b08201003,b08201003_moe,b08201004,b08201004_moe,b08201005,b08201005_moe,b08201006,b08201006_moe,b08201007,b08201007_moe,b08201008,b08201008_moe,b08201009,b08201009_moe,b08201010,b08201010_moe,b08201011,b08201011_moe,b08201012,b08201012_moe,b08201013,b08201013_moe,b08201014,b08201014_moe,b08201015,b08201015_moe,b08201016,b08201016_moe,b08201017,b08201017_moe,b08201018,b08201018_moe,b08201019,b08201019_moe,b08201020,b08201020_moe,b08201021,b08201021_moe,b08201022,b08201022_moe,b08201023,b08201023_moe,b08201024,b08201024_moe,b08201025,b08201025_moe,b08201026,b08201026_moe,b08201027,b08201027_moe,b08201028,b08201028_moe,b08201029,b08201029_moe,b08201030,b08201030_moe
QN22,Flushing,25643,511,14338,685,9073,615,1792,311,280,126,160,88,7103,575,5015,490,2002,348,86,74,0,54,0,54,7620,566,4236,475,2798,362,500,172,58,76,28,60,4824,505,2505,393,1807,312,460,167,33,59,19,61,6096,499,2582,375,2466,370,746,223,189,109,113,77
QN23,College Point,7749,286,1755,266,3649,335,1687,264,536,135,122,66,1615,231,608,147,890,194,52,47,65,69,0,34,2036,253,446,162,896,182,632,158,54,37,8,35,1564,251,210,107,707,189,501,162,135,81,11,29,2534,275,491,157,1156,211,502,147,282,105,103,60
QN25,Corona,16253,359,8625,501,5953,489,1133,231,370,151,172,94,3427,384,2619,334,716,202,92,89,0,44,0,44,3569,435,1716,315,1594,300,175,96,59,77,25,58,3050,423,1551,317,1185,281,220,96,78,85,16,47,6207,507,2739,370,2458,362,646,173,233,112,131,86
QN26,North Corona,11533,345,7183,408,3236,343,881,200,202,100,31,52,1497,241,1019,199,478,142,0,45,0,45,0,45,1972,257,1015,196,698,148,251,111,8,44,0,45,1463,262,970,220,360,120,123,90,0,45,10,45,6601,407,4179,386,1700,266,507,153,194,100,21,49
QN27,East Elmhurst,6264,214,2473,261,2517,271,1047,200,219,86,8,31,1141,185,596,138,473,126,56,54,16,36,0,34,1308,207,502,136,545,143,220,105,41,51,0,34,1164,201,423,127,510,142,195,82,32,46,4,32,2651,265,952,174,989,201,576,148,130,62,4,33
QN28,Jackson Heights,36495,527,19573,787,13392,724,2915,371,410,145,205,98,10309,636,7439,569,2714,371,143,95,0,66,13,67,8570,638,4473,471,3586,436,436,153,36,71,39,71,7033,607,3306,439,2853,432,783,200,70,75,21,67,10583,655,4355,499,4239,461,1553,276,304,135,132,90
QN29,Elmhurst,27528,399,15788,632,9451,596,1799,274,359,156,131,82,5878,479,4266,432,1510,279,85,78,0,60,17,61,7040,515,4161,426,2455,320,361,130,43,72,20,67,5751,498,2925,393,2290,336,414,137,100,103,22,61,8859,570,4436,467,3196,381,939,210,216,124,72,73
QN30,Maspeth,10629,284,2840,292,4856,331,2088,244,624,138,221,84,3366,312,1299,211,1705,241,283,102,40,52,39,60,2763,269,632,150,1467,216,515,117,120,77,29,63,2079,256,527,148,864,168,543,133,130,64,15,45,2421,247,382,111,820,156,747,138,334,100,138,58
QN31,Hunters Point-Sunnyside-West Maspeth,26309,478,16261,626,8196,570,1654,287,146,87,52,65,9790,594,7353,542,2332,343,81,75,0,56,24,60,8017,559,4861,463,2653,328,484,155,19,58,0,56,4446,487,2573,397,1419,269,378,151,51,71,25,62,4056,397,1474,263,1792,281,711,193,76,70,3,55
QN33,Cambria Heights,6337,131,713,147,2647,237,2320,216,527,136,130,71,1099,175,253,87,746,157,92,62,8,44,0,43,1826,223,184,83,823,166,749,152,70,55,0,43,1484,205,171,78,535,137,533,124,201,98,44,51,1928,213,105,65,543,129,946,172,248,92,86,61
QN34,Queens Village,16048,275,2754,292,6281,405,4774,376,1659,236,580,147,2186,267,779,169,1261,209,117,77,29,63,0,56,3407,330,643,148,1659,236,986,186,76,65,43,69,3430,345,550,168,1250,225,1176,222,385,125,69,77,7025,392,782,181,2111,277,2495,289,1169,201,468,121
QN35,Briarwood-Jamaica Hills,13557,314,4817,442,5954,432,2353,318,295,107,138,81,3979,364,2174,294,1635,271,110,84,0,47,60,71,3864,402,1268,252,1813,312,763,201,11,49,9,47,2034,323,638,206,928,226,366,125,83,70,19,49,3680,332,737,189,1578,250,1114,204,201,88,50,55
QN37,Kew Gardens Hills,13265,312,3464,355,6807,444,2466,326,455,130,73,55,3967,381,1882,296,1997,302,88,77,0,40,0,40,3965,381,927,214,2090,297,864,193,74,62,10,42,1985,287,380,146,951,211,561,158,93,70,0,40,3348,349,275,128,1769,295,953,210,288,96,63,54
QN38,Pomonok-Flushing Heights-Hillcrest,11797,268,3518,372,4906,424,2862,344,370,101,141,93,3156,375,1668,288,1375,281,74,56,28,43,11,39,3316,362,789,211,1535,271,931,222,33,41,28,47,2336,343,660,195,789,224,764,196,87,53,36,55,2989,308,401,148,1207,256,1093,219,222,89,66,72
QN41,Fresh Meadows-Utopia,6582,188,908,232,3545,314,1784,251,286,95,59,40,1757,273,460,188,1219,228,51,68,11,29,16,34,1768,283,237,104,860,224,650,178,15,26,6,26,1107,228,90,58,639,205,253,86,116,73,9,27,1950,206,121,101,827,194,830,157,144,65,28,30
QN42,Oakland Gardens,11235,225,1504,250,5382,414,3502,358,746,177,101,54,3427,336,910,198,2336,290,145,93,25,42,11,36,3213,315,298,107,1601,261,1208,211,106,78,0,34,1963,310,129,97,736,236,820,195,278,99,0,34,2632,278,167,102,709,192,1329,225,337,134,90,52
QN43,Bellerose,8110,254,801,183,3184,308,3135,298,776,196,214,91,1524,237,469,152,969,186,77,57,0,34,9,33,2085,281,199,86,1041,234,785,168,60,77,0,34,1703,256,103,75,589,164,767,167,221,109,23,38,2798,265,30,37,585,160,1506,235,495,152,182,85
QN44,Glen Oaks-Floral Park-New Hyde Park,9167,242,1099,227,4364,361,2839,305,634,173,231,104,3634,341,879,208,2604,295,151,112,0,32,0,32,2331,292,100,63,1090,204,1072,206,60,42,9,33,1212,234,34,51,221,130,671,174,272,133,14,31,1990,226,86,64,449,140,945,180,302,117,208,102
QN45,Douglas Manor-Douglaston-Little Neck,9677,208,817,173,4413,339,3256,298,860,195,331,118,2658,294,476,130,1989,264,162,97,31,41,0,34,2946,300,180,78,1288,242,1393,242,74,61,11,36,1555,266,34,41,627,203,622,148,250,109,22,36,2518,278,127,77,509,143,1079,199,505,154,298,116
QN46,Bayside-Bayside Hills,16043,279,2080,255,6892,395,5267,337,1287,194,517,130,3754,336,1189,218,2272,261,205,95,30,56,58,69,4574,325,532,125,2185,257,1672,212,164,75,21,58,3186,315,186,91,1129,208,1309,195,501,134,61,59,4529,317,173,84,1306,228,2081,222,592,137,377,111
QN47,Ft. Totten-Bay Terrace-Clearview,10253,230,1347,253,5548,417,2747,336,509,173,102,79,3773,346,1047,231,2677,317,49,48,0,34,0,34,3293,337,247,117,1812,274,1192,237,42,61,0,34,1500,308,35,42,540,184,653,243,254,132,18,35,1687,334,18,38,519,266,853,222,213,109,84,79
QN48,Auburndale,7182,195,868,166,3445,288,2177,240,530,119,162,85,1401,189,482,128,886,153,16,35,13,36,4,30,2071,231,214,71,1184,207,612,133,48,39,13,35,1632,218,88,52,637,157,679,148,186,79,42,63,2078,226,84,72,738,169,870,161,283,88,103,62
QN49,Whitestone,11544,267,916,190,4551,361,4408,369,1242,232,427,119,2742,302,479,131,2069,272,166,95,28,46,0,38,3280,339,245,120,1318,222,1397,227,290,125,30,42,2146,298,75,64,573,165,1101,228,335,111,62,47,3376,318,117,72,591,179,1744,280,589,169,335,112
QN50,Elmhurst-Maspeth,8352,206,3439,321,3588,311,1150,197,133,59,42,40,1750,234,1087,198,622,166,34,36,7,34,0,34,2227,276,878,199,1082,196,241,84,26,40,0,34,1719,257,582,163,667,174,423,142,42,42,5,31,2656,281,892,219,1217,191,452,130,58,44,37,39
QN51,Murray Hill,17877,360,5831,416,7270,497,3581,349,1013,191,182,83,3852,387,1819,282,1826,276,207,108,0,50,0,50,5429,425,1957,311,2417,309,956,187,92,62,7,49,3658,393,1103,241,1400,254,793,207,280,109,82,72,4938,409,952,213,1627,281,1625,249,641,156,93,60
QN52,East Flushing,8870,210,2283,250,4046,288,1830,218,551,134,160,71,1575,232,819,176,669,156,40,47,34,48,13,44,2347,239,640,140,1158,195,454,100,75,58,20,45,1852,247,458,141,938,179,314,106,115,61,27,43,3096,267,366,107,1281,210,1022,181,327,114,100,60
QN53,Woodhaven,17140,353,5762,397,7409,425,2894,325,803,153,272,106,2689,290,1435,221,1089,176,160,104,5,53,0,54,3725,323,1396,224,1702,219,474,132,69,67,84,70,3645,336,1208,222,1688,262,486,132,185,76,78,82,7081,412,1723,254,2930,322,1774,253,544,130,110,67
QN54,Richmond Hill,17535,357,5857,392,6899,420,3547,322,812,158,420,114,2330,279,1489,226,761,170,70,71,4,59,6,59,3457,329,1426,228,1488,225,515,121,5,59,23,63,3323,324,1119,210,1337,210,673,155,171,81,23,62,8425,417,1823,248,3313,322,2289,271,632,142,368,110
QN55,South Ozone Park,22031,419,5728,419,9266,516,5237,441,1390,242,410,122,2904,337,1567,258,1123,216,187,97,27,63,0,62,4376,383,1410,239,1959,268,925,187,41,69,41,69,4722,404,1007,205,2143,293,1285,235,248,97,39,66,10029,540,1744,273,4041,405,2840,342,1074,221,330,112
QN56,Ozone Park,6837,257,1514,225,2971,283,1917,251,343,111,92,59,1240,208,530,146,646,163,48,43,7,36,9,37,1510,247,355,140,726,166,392,130,34,50,3,34,1504,257,267,110,706,197,436,136,95,75,0,36,2583,298,362,128,893,189,1041,220,207,88,80,57
QN57,Lindenwood-Howard Beach,11261,243,1862,325,5070,435,3310,392,732,178,287,103,3095,356,1075,274,1861,299,107,69,52,56,0,34,3909,421,473,182,1921,341,1430,257,73,61,12,36,1661,284,95,92,675,243,509,188,357,130,25,47,2596,358,219,152,613,168,1264,300,250,99,250,95
QN60,Kew Gardens,9997,270,4273,353,4351,358,1161,225,172,89,40,60,3884,331,2327,290,1429,227,88,53,0,34,40,60,3162,327,1071,212,1672,240,419,134,0,34,0,34,1290,269,357,132,534,170,303,140,96,82,0,34,1661,246,518,145,716,189,351,117,76,51,0,34
QN61,Jamaica,15700,313,8682,460,5009,414,1638,231,341,113,30,55,3504,338,2560,303,793,177,135,77,0,51,16,55,3449,360,2104,295,1048,207,281,112,13,49,3,50,2982,357,1370,259,1164,242,368,120,80,71,0,51,5765,421,2648,333,2004,303,854,182,248,106,11,52
QN62,Queensboro Hill,6384,207,1298,208,3419,270,1275,189,301,101,91,59,853,152,386,107,446,122,8,30,0,29,13,31,1719,242,390,138,977,206,333,100,19,41,0,29,1308,212,240,100,679,173,331,101,38,29,20,32,2504,252,282,106,1317,223,603,141,244,95,58,50
QN63,Woodside,16388,343,8371,500,6606,461,1050,193,236,109,125,87,4582,431,3157,383,1379,253,34,54,0,50,12,50,4435,439,2509,375,1552,260,349,128,12,51,13,53,3127,385,1397,273,1454,272,235,99,41,65,0,50,4244,416,1308,277,2221,347,432,133,183,97,100,84
QN66,Laurelton,7891,198,1097,192,3157,266,2480,247,889,166,268,103,1433,191,324,102,983,169,126,61,0,40,0,40,2338,256,437,143,954,178,787,156,104,65,56,70,1644,224,184,98,590,141,634,145,186,70,50,54,2476,229,152,78,630,141,933,166,599,142,162,81
QN68,Queensbridge-Ravenswood-Long Island City,7283,168,5076,294,1618,242,538,151,35,53,16,39,2352,271,1918,251,358,118,76,70,0,38,0,38,2248,282,1410,227,650,189,164,82,24,52,0,38,1104,204,797,190,211,76,69,51,11,39,16,39,1579,252,951,206,399,137,229,114,0,38,0,38
