area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
BK79,Ocean Hill,293,150,186,129,165,127,0,38,165,127,21,42,0,38,21,42,107,59,86,57,0,38,86,57,21,38,0,38,21,38
BK81,Brownsville,509,160,202,93,122,85,12,53,110,83,80,60,0,51,80,60,307,122,209,99,0,51,209,99,98,71,0,51,98,71
BK82,East New York,727,233,269,117,258,116,8,65,250,115,11,65,0,65,11,65,458,169,380,157,0,65,380,157,78,76,0,65,78,76
BK83,Cypress Hills-City Line,594,184,258,105,240,103,30,55,210,99,18,48,0,49,18,48,336,112,284,102,0,49,284,102,52,53,0,49,52,53
BK85,East New York (Pennsylvania Ave),221,136,137,87,108,76,1,34,107,76,29,43,0,36,29,43,84,69,69,67,0,36,69,67,15,37,0,36,15,37
BK88,Borough Park,332,180,251,145,251,145,0,68,251,145,0,68,0,68,0,68,81,79,68,78,0,68,68,78,13,70,0,68,13,70
BK90,East Williamsburg,439,145,189,90,149,77,28,57,121,65,40,51,12,42,28,47,250,90,188,84,0,40,188,84,62,48,0,40,62,48
BK91,East Flatbush-Farragut,713,223,298,118,228,110,51,81,177,96,70,58,27,55,43,57,415,146,358,140,0,54,358,140,57,60,0,54,57,60
BK93,Starrett City,198,132,91,94,91,94,14,29,77,78,0,24,0,24,0,24,107,80,28,33,0,24,28,33,79,74,0,24,79,74
BK95,Erasmus,504,244,207,136,207,136,0,36,207,136,0,36,0,36,0,36,297,152,270,144,0,36,270,144,27,40,0,36,27,40
BK96,Rugby-Remsen Village,395,158,180,96,172,95,11,54,161,94,8,54,0,54,8,54,215,106,189,96,0,54,189,96,26,56,0,54,26,56
BK99,park-cemetery-etc-Brooklyn,35,55,0,40,0,40,0,40,0,40,0,40,0,40,0,40,35,55,35,55,0,40,35,55,0,40,0,40,0,40
BX01,Claremont-Bathgate,460,179,171,89,160,87,24,52,136,82,11,42,11,42,0,40,289,137,238,131,0,40,238,131,51,50,0,40,51,50
BX03,Eastchester-Edenwald-Baychester,479,218,322,177,306,177,61,89,245,159,16,42,0,40,16,42,157,90,138,85,0,40,138,85,19,42,0,40,19,42
BX05,Bedford Park-Fordham North,861,271,445,171,425,169,26,59,399,166,20,50,11,50,9,49,416,151,353,137,0,50,353,137,63,59,0,50,63,59
BX06,Belmont,737,355,334,167,314,164,0,34,314,164,20,43,0,34,20,43,403,247,403,247,0,34,403,247,0,34,0,34,0,34
BX07,Bronxdale,913,296,307,137,265,129,9,41,256,127,42,48,16,39,26,47,606,218,541,207,0,38,541,207,65,57,0,38,65,57
BX08,West Farms-Bronx River,1710,530,766,254,623,208,50,55,573,203,143,97,18,45,125,95,944,320,802,305,0,40,802,305,142,90,0,40,142,90
BX09,Soundview-Castle Hill-Clason Point-Harding Park,1004,367,515,233,442,215,0,50,442,215,73,67,27,55,46,61,489,171,387,147,13,51,374,145,102,69,0,50,102,69
BX10,Pelham Bay-Country Club-City Island,280,181,208,154,199,154,0,34,199,154,9,35,0,34,9,35,72,60,63,63,0,34,63,63,9,35,0,34,9,35
BX13,Co-op City,1227,842,477,337,451,329,0,33,451,329,26,35,0,33,26,35,750,517,662,515,0,33,662,515,88,71,42,52,46,53
BX14,East Concourse-Concourse Village,955,301,399,160,324,149,0,51,324,149,75,67,13,54,62,63,556,207,496,202,0,51,496,202,60,58,0,51,60,58
BX17,East Tremont,912,324,446,198,441,199,8,43,433,199,5,44,0,45,5,44,466,159,407,154,12,47,395,151,59,55,0,45,59,55
BX22,North Riverdale-Fieldston-Riverdale,274,101,110,76,110,76,12,40,98,74,0,38,0,38,0,38,164,76,120,65,10,39,110,63,44,50,0,38,44,50
BX26,Highbridge,412,145,205,97,164,91,30,52,134,83,41,46,11,42,30,46,207,89,191,88,0,42,191,88,16,38,0,42,16,38
