area_id,area_name,b08016001,b08016001_moe,b08016002,b08016002_moe,b08016003,b08016003_moe,b08016004,b08016004_moe,b08016005,b08016005_moe,b08016006,b08016006_moe,b08016007,b08016007_moe,b08016008,b08016008_moe,b08016009,b08016009_moe,b08016010,b08016010_moe,b08016011,b08016011_moe,b08016012,b08016012_moe,b08016013,b08016013_moe,b08016014,b08016014_moe,b08016015,b08016015_moe,b08016016,b08016016_moe,b08016017,b08016017_moe,b08016018,b08016018_moe,b08016019,b08016019_moe,b08016020,b08016020_moe,b08016021,b08016021_moe,b08016022,b08016022_moe,b08016023,b08016023_moe
MN09,Morningside Heights,23574,1257,23574,1257,23187,1262,22301,1239,886,241,259,107,174,94,85,67,37,58,0,45,37,58,91,71,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
MN11,Central Harlem South,21045,969,21045,969,20729,971,19842,957,887,213,254,121,139,88,115,83,0,45,0,45,0,45,62,77,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
MN12,Upper West Side,74710,1982,74710,1982,73219,1964,70193,1950,3026,464,1265,324,629,206,636,255,42,75,27,72,15,70,184,111,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,43635,1385,43635,1385,42625,1377,40552,1366,2073,362,739,194,329,120,410,167,122,130,12,54,110,129,149,110,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
MN14,Lincoln Square,33195,1345,33195,1345,32527,1326,31164,1334,1363,293,578,181,248,108,330,147,17,53,0,48,17,53,73,84,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
MN15,Clinton,27738,1252,27738,1252,26969,1250,25492,1240,1477,314,598,193,326,131,272,135,88,83,75,80,13,45,83,77,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
MN17,Midtown-Midtown South,17723,883,17723,883,17152,887,16368,870,784,196,525,173,265,106,260,144,12,53,0,51,12,53,34,62,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
MN19,Turtle Bay-East Midtown,31952,1306,31952,1306,31049,1298,29342,1253,1707,371,796,239,512,167,284,174,18,53,0,48,18,53,89,71,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
MN20,Murray Hill-Kips Bay,31444,1536,31444,1536,30832,1530,29553,1497,1279,323,552,185,255,114,297,139,0,42,0,42,0,42,60,65,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
MN21,Gramercy,16658,967,16658,967,16268,959,15780,969,488,148,368,170,231,143,137,94,0,34,0,34,0,34,22,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
MN22,East Village,27219,1278,27219,1278,26568,1300,26130,1281,438,195,564,221,210,122,354,192,31,43,24,43,7,40,56,58,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
MN23,West Village,42200,1342,42200,1342,41293,1335,39442,1342,1851,347,793,262,488,192,305,182,52,63,0,56,52,63,62,80,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56
MN24,SoHo-TriBeCa-Civic Center-Little Italy,23745,1078,23745,1078,22966,1063,22228,1052,738,191,642,218,368,157,274,142,14,46,0,42,14,46,123,76,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
MN25,Battery Park City-Lower Manhattan,24362,1057,24362,1057,23855,1046,22786,1037,1069,239,352,139,250,119,102,75,19,51,0,42,19,51,136,166,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
MN27,Chinatown,20982,1210,20982,1210,20390,1162,19566,1132,824,267,452,181,273,150,179,109,0,44,0,44,0,44,140,112,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44
MN28,Lower East Side,29995,1347,29995,1347,29434,1349,28634,1316,800,226,504,182,294,135,210,120,23,59,9,56,14,58,34,59,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56
MN31,Lenox Hill-Roosevelt Island,47691,1744,47691,1744,46705,1743,44886,1724,1819,376,702,248,365,175,337,179,78,99,0,53,78,99,206,132,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53
MN32,Yorkville,47771,1637,47771,1637,46780,1636,44916,1663,1864,395,846,253,455,180,391,178,0,50,0,50,0,50,145,93,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50
MN33,East Harlem South,25251,1320,25251,1320,24929,1322,24208,1318,721,201,271,130,118,89,153,109,10,49,10,49,0,50,41,67,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50
MN34,East Harlem North,21169,1193,21169,1193,20832,1185,20236,1175,596,207,259,123,72,68,187,108,0,50,0,50,0,50,78,89,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50
MN35,Washington Heights North,32296,1366,32296,1366,31918,1367,29423,1359,2495,409,331,145,139,85,192,114,10,52,0,52,10,52,37,58,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52
MN36,Washington Heights South,38975,1932,38975,1932,38691,1908,36440,1872,2251,426,278,147,51,64,227,142,0,56,0,56,0,56,6,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56
MN40,Upper East Side-Carnegie Hill,29648,1141,29648,1141,28703,1130,27378,1104,1325,250,852,223,313,120,539,165,0,52,0,52,0,52,93,68,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52
MN50,Stuyvesant Town-Cooper Village,12069,847,12069,847,11771,805,11152,818,619,246,152,107,117,100,35,41,0,22,0,22,0,22,146,181,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22
MN99,park-cemetery-etc-Manhattan,114,73,114,73,114,73,106,70,8,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
QN01,South Jamaica,14592,859,14592,859,14515,858,12959,818,1556,280,47,62,40,62,7,46,30,55,0,46,30,55,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
QN02,Springfield Gardens North,11700,849,11700,849,11662,842,10079,778,1583,370,38,59,38,59,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
QN03,Springfield Gardens South-Brookville,8826,557,8826,557,8750,552,7211,549,1539,255,76,59,26,49,50,44,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
QN05,Rosedale,13671,778,13671,778,13592,776,10560,647,3032,473,79,66,79,66,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
QN06,Jamaica Estates-Holliswood,12179,593,12179,593,12104,592,10298,578,1806,315,58,67,45,65,13,39,0,36,0,36,0,36,17,37,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
QN07,Hollis,9987,599,9987,599,9910,597,8310,567,1600,261,61,61,0,36,61,61,0,36,0,36,0,36,16,43,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
QN08,St. Albans,24271,998,24271,998,24103,989,19868,881,4235,481,131,88,21,59,110,87,0,59,0,59,0,59,37,64,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,12251,675,12251,675,12142,673,11370,668,772,187,101,86,68,80,33,46,8,37,8,37,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
QN12,Hammels-Arverne-Edgemere,12197,743,12197,743,12150,742,10956,723,1194,275,25,40,0,38,25,40,10,39,0,38,10,39,12,40,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
QN15,Far Rockaway-Bayswater,18958,1132,18958,1132,18879,1135,14997,1049,3882,628,59,86,0,46,59,86,15,49,0,46,15,49,5,44,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
QN17,Forest Hills,42014,1295,42014,1295,41635,1294,38561,1278,3074,440,333,147,177,108,156,115,9,64,0,64,9,64,37,73,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64
QN18,Rego Park,13779,661,13779,661,13731,661,13139,647,592,164,39,40,20,37,19,35,0,34,0,34,0,34,9,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN19,Glendale,13955,770,13955,770,13908,773,13103,747,805,193,28,43,15,43,13,43,0,43,0,43,0,43,19,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
QN20,Ridgewood,31825,1177,31825,1177,31599,1175,30245,1181,1354,268,198,83,66,66,132,80,7,56,0,56,7,56,21,59,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56
QN21,Middle Village,18267,780,18267,780,18136,784,16800,748,1336,234,112,75,42,61,70,66,8,51,8,51,0,51,11,49,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
QN22,Flushing,32952,1574,32952,1574,31946,1513,27774,1482,4172,576,887,292,266,157,621,261,99,84,24,56,75,83,20,56,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
QN23,College Point,11211,771,11211,771,11132,768,9934,715,1198,249,79,60,66,56,13,38,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN25,Corona,24802,1366,24802,1366,24501,1349,23050,1296,1451,328,180,111,111,102,69,65,94,91,19,53,75,84,27,59,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44
QN26,North Corona,25971,1584,25971,1584,25752,1570,24741,1518,1011,266,146,134,0,45,146,134,73,79,0,45,73,79,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
QN27,East Elmhurst,10992,763,10992,763,10864,759,10271,751,593,189,128,122,82,116,46,51,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN28,Jackson Heights,51798,1800,51798,1800,51237,1796,48423,1771,2814,461,472,166,277,136,195,118,36,69,0,66,36,69,53,97,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
