area_id,area_name,b07012001,b07012001_moe,b07012002,b07012002_moe,b07012003,b07012003_moe,b07012004,b07012004_moe,b07012005,b07012005_moe,b07012006,b07012006_moe,b07012007,b07012007_moe,b07012008,b07012008_moe,b07012009,b07012009_moe,b07012010,b07012010_moe,b07012011,b07012011_moe,b07012012,b07012012_moe,b07012013,b07012013_moe,b07012014,b07012014_moe,b07012015,b07012015_moe,b07012016,b07012016_moe,b07012017,b07012017_moe,b07012018,b07012018_moe,b07012019,b07012019_moe,b07012020,b07012020_moe,b07012021,b07012021_moe,b07012022,b07012022_moe,b07012023,b07012023_moe,b07012024,b07012024_moe
BK09,Brooklyn Heights-Cobble Hill,22238,1151,2177,553,513,197,19548,1073,18841,1182,1747,514,457,190,16637,1107,1352,330,179,105,18,39,1155,318,1214,312,101,89,14,35,1099,298,715,193,133,94,24,47,558,166,116,82,17,29,0,29,99,82
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,60502,1584,9738,1046,5861,935,44903,1608,57203,1608,9045,1008,5328,892,42830,1623,2386,478,406,224,454,227,1526,379,427,177,109,119,11,57,307,140,171,108,52,69,0,55,119,98,315,172,126,126,68,95,121,100
BK19,Brighton Beach,31212,1290,8450,1021,3739,850,19023,1248,28161,1231,7663,969,3420,767,17078,1159,2046,576,361,131,299,359,1386,429,335,238,70,75,0,38,265,232,107,90,44,74,0,38,63,63,563,294,312,252,20,47,231,146
BK21,Seagate-Coney Island,29064,1245,9398,1125,3937,747,15729,1183,26850,1268,8475,1106,3714,714,14661,1156,1865,593,653,403,210,171,1002,368,114,114,101,114,13,41,0,38,154,219,144,219,0,38,10,39,81,102,25,52,0,38,56,95
BK23,West Brighton,15342,681,1820,320,1762,477,11760,866,14753,696,1747,311,1698,473,11308,868,356,191,48,61,34,40,274,175,121,106,25,47,0,27,96,97,24,37,0,27,1,24,23,39,88,72,0,27,29,52,59,55
BK25,Homecrest,41197,1431,5753,902,5363,835,30081,1369,38319,1442,5196,822,5122,824,28001,1391,2014,462,312,174,135,108,1567,401,228,145,32,61,106,106,90,86,139,130,61,85,0,48,78,110,497,234,152,130,0,48,345,201
BK26,Gravesend,27492,1231,5482,827,4156,832,17854,1183,26056,1239,5230,815,3988,795,16838,1171,1067,351,171,111,137,198,759,275,112,94,4,35,17,39,91,90,88,80,0,36,5,35,83,79,169,169,77,123,9,37,83,122
BK27,Bath Beach,28719,1234,4484,770,3186,713,21049,1240,26404,1225,3921,699,2940,696,19543,1188,1550,443,159,101,175,137,1216,414,180,85,35,54,0,40,145,75,145,117,9,41,71,102,65,69,440,256,360,251,0,40,80,66
BK28,Bensonhurst West,85421,2138,15342,1482,10811,1234,59268,2132,80205,2160,14056,1413,10027,1181,56122,2108,3646,674,865,332,500,252,2281,521,238,136,30,66,43,115,165,89,378,234,47,86,29,77,302,198,954,344,344,257,212,188,398,159
BK29,Bensonhurst East,60347,1620,9656,1099,8040,1067,42651,1680,55608,1694,8524,995,6881,963,40203,1674,3092,636,762,331,530,266,1800,462,343,189,63,72,128,166,152,88,192,110,68,84,9,51,115,87,1112,394,239,180,492,288,381,201
BK30,Dyker Heights,44411,1489,6373,992,5682,997,32356,1488,41586,1480,5466,906,5245,967,30875,1444,1880,452,643,298,326,181,911,286,223,144,68,99,8,51,147,113,186,106,10,48,46,85,130,81,536,267,186,198,57,61,293,168
BK31,Bay Ridge,82452,1949,12582,1375,7206,995,62664,1955,74070,2041,10699,1270,6442,960,56929,1967,4999,742,1192,465,516,235,3291,535,1221,263,150,99,100,86,971,231,1215,307,95,75,59,77,1061,298,947,373,446,273,89,108,412,250
BK32,Sunset Park West,51384,1650,13543,1344,8129,1123,29712,1667,45198,1732,11875,1290,7190,1070,26133,1658,3195,557,606,243,333,198,2256,477,946,286,220,112,256,164,470,196,819,263,162,85,75,74,582,244,1226,410,680,286,275,215,271,164
BK33,Carroll Gardens-Columbia Street-Red Hook,38507,1278,5751,792,1979,515,30777,1358,33271,1314,5182,739,1698,498,26391,1349,2930,604,408,276,206,118,2316,497,1243,267,49,50,44,64,1150,250,766,260,68,94,31,65,667,240,297,171,44,50,0,45,253,169
BK34,Sunset Park East,69761,1979,21551,1607,14814,1605,33396,1865,59733,1991,17385,1440,12492,1508,29856,1776,6273,927,2696,654,1495,477,2082,512,1101,296,291,158,268,171,542,181,1061,307,538,235,10,60,513,198,1593,443,641,288,549,260,403,172
BK35,Stuyvesant Heights,63283,2031,17596,1548,7476,1101,38211,1986,55255,1960,14936,1435,6825,1066,33494,1915,5287,905,1435,508,425,237,3427,729,1301,479,606,367,118,95,577,288,1015,332,403,174,79,80,533,216,425,255,216,213,29,60,180,143
BK37,Park Slope-Gowanus,71629,1828,5324,782,3250,637,63055,1816,59035,1929,4299,739,2794,622,51942,1887,5890,740,407,158,160,89,5323,717,3122,458,220,107,73,85,2829,441,2556,456,212,121,160,108,2184,417,1026,368,186,123,63,77,777,343
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34015,1203,7301,884,2607,615,24107,1174,28944,1147,6389,810,2360,578,20195,1124,2172,423,310,148,108,109,1754,383,1634,312,270,160,70,72,1294,271,952,217,200,93,69,70,683,185,313,128,132,108,0,42,181,82
BK40,Windsor Terrace,22081,932,2708,671,818,224,18555,866,19452,969,2104,599,705,211,16643,919,1524,360,270,194,77,58,1177,294,600,382,245,264,23,36,332,168,465,148,89,58,13,36,363,130,40,46,0,32,0,32,40,46
BK41,Kensington-Ocean Parkway,35420,1469,9300,1342,5035,987,21085,1455,32265,1507,8513,1305,4578,928,19174,1456,2341,610,573,329,309,323,1459,416,307,157,52,62,106,110,149,102,214,118,57,74,22,55,135,90,293,144,105,84,20,44,168,121
BK42,Flatbush,103276,2534,23273,1943,13139,1488,66864,2602,96894,2613,21739,1919,12239,1458,62916,2630,3945,640,825,261,564,272,2556,488,1014,290,257,155,110,96,647,234,507,206,83,87,32,75,392,195,916,300,369,215,194,147,353,181
BK43,Midwood,50258,1570,10487,1250,5940,890,33831,1545,46560,1676,9165,1214,5585,873,31810,1514,2488,523,848,330,194,121,1446,397,391,208,37,57,142,139,212,160,135,100,13,50,0,51,122,99,684,270,424,252,19,53,241,117
BK44,Madison,39516,1261,4563,633,4722,799,30231,1383,36888,1302,3808,563,4501,787,28579,1396,1783,456,562,323,185,141,1036,292,258,182,13,48,1,45,244,181,224,117,38,57,31,55,155,98,363,192,142,111,4,46,217,161
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,47686,1462,3733,859,3044,749,40909,1435,45095,1434,3443,821,2955,739,38697,1410,2128,622,238,274,52,73,1838,542,108,92,20,59,0,55,88,90,255,110,26,56,14,59,215,107,100,87,6,54,23,64,71,81
BK46,Ocean Parkway South,19277,1082,2558,583,2213,585,14506,1084,18309,1096,2435,578,2147,583,13727,1089,640,242,47,46,42,49,551,236,111,67,37,40,9,37,65,59,86,87,0,36,0,36,86,87,131,99,39,71,15,42,77,73
