area_id,area_name,b11013001,b11013001_moe,b11013002,b11013002_moe,b11013003,b11013003_moe,b11013004,b11013004_moe,b11013005,b11013005_moe,b11013006,b11013006_moe
BK09,Brooklyn Heights-Cobble Hill,124,90,101,86,42,40,59,82,23,38,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,969,224,602,176,132,96,470,157,317,138,50,62
BK19,Brighton Beach,421,140,241,103,53,65,188,88,138,87,42,46
BK21,Seagate-Coney Island,493,140,78,66,37,62,41,42,325,129,90,59
BK23,West Brighton,33,36,4,26,4,26,0,27,29,35,0,27
BK25,Homecrest,415,128,357,121,75,71,282,106,51,52,7,48
BK26,Gravesend,456,138,275,94,49,50,226,86,181,97,0,36
BK27,Bath Beach,500,137,323,109,98,68,225,90,151,70,26,40
BK28,Bensonhurst West,1457,250,1092,214,250,117,842,187,311,120,54,74
BK29,Bensonhurst East,1343,223,1062,197,314,121,748,163,249,100,32,68
BK30,Dyker Heights,1068,201,722,166,190,99,532,144,315,122,31,50
BK31,Bay Ridge,827,201,506,158,202,107,304,128,290,131,31,68
BK32,Sunset Park West,1072,214,318,122,148,86,170,90,662,177,92,80
BK33,Carroll Gardens-Columbia Street-Red Hook,330,127,38,52,14,49,24,49,163,83,129,111
BK34,Sunset Park East,1666,253,1021,201,202,89,819,178,467,138,178,99
BK35,Stuyvesant Heights,1649,271,250,114,119,91,131,83,1197,223,202,101
BK37,Park Slope-Gowanus,440,143,188,108,97,87,91,85,184,94,68,68
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,512,157,57,58,0,42,57,58,387,140,68,62
BK40,Windsor Terrace,164,77,61,50,20,44,41,39,78,50,25,49
BK41,Kensington-Ocean Parkway,502,160,276,104,135,78,141,73,226,125,0,40
BK42,Flatbush,2637,350,539,163,168,112,371,135,1763,276,335,156
BK43,Midwood,303,110,204,86,25,49,179,87,56,76,43,56
BK44,Madison,518,140,375,121,86,63,289,105,125,74,18,49
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,537,151,234,113,115,93,119,76,252,107,51,72
BK46,Ocean Parkway South,123,74,70,58,18,44,52,51,53,58,0,36
