area_id,area_name,b10001001,b10001001_moe,b10001002,b10001002_moe,b10001003,b10001003_moe,b10001004,b10001004_moe
BK09,Brooklyn Heights-Cobble Hill,40,45,40,45,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,751,322,526,277,132,97,93,77
BK19,Brighton Beach,345,145,141,82,74,68,130,84
BK21,Seagate-Coney Island,782,221,348,150,237,123,197,101
BK23,West Brighton,60,52,12,28,27,41,21,32
BK25,Homecrest,439,235,166,133,126,135,147,102
BK26,Gravesend,531,293,258,131,214,201,59,49
BK27,Bath Beach,266,144,145,111,72,83,49,50
BK28,Bensonhurst West,797,239,422,183,224,112,151,105
BK29,Bensonhurst East,776,243,410,162,188,94,178,97
BK30,Dyker Heights,997,415,636,251,244,192,117,94
BK31,Bay Ridge,689,248,309,141,203,118,177,113
BK32,Sunset Park West,989,273,618,217,243,114,128,77
BK33,Carroll Gardens-Columbia Street-Red Hook,361,147,192,102,90,73,79,78
BK34,Sunset Park East,1460,336,858,242,499,190,103,84
BK35,Stuyvesant Heights,3208,604,1721,359,751,257,736,225
BK37,Park Slope-Gowanus,622,220,249,126,259,122,114,73
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,557,180,269,129,98,70,190,98
BK40,Windsor Terrace,226,135,108,75,22,48,96,94
BK41,Kensington-Ocean Parkway,359,167,232,114,127,94,0,40
BK42,Flatbush,2312,415,1425,307,517,154,370,158
BK43,Midwood,178,96,63,66,30,59,85,76
BK44,Madison,269,129,142,93,78,63,49,61
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,807,335,390,216,310,217,107,83
BK46,Ocean Parkway South,116,98,38,54,16,42,62,68
BK50,Canarsie,2127,328,971,214,594,155,562,157
BK58,Flatlands,1994,351,1097,269,497,157,400,133
BK60,Prospect Lefferts Gardens-Wingate,2191,553,1097,315,676,251,418,178
BK61,Crown Heights North,2483,450,1221,310,799,222,463,163
BK63,Crown Heights South,1203,362,496,215,325,145,382,184
BK64,Prospect Heights,283,181,82,77,141,101,60,70
BK68,Fort Greene,589,209,345,174,102,60,142,82
BK69,Clinton Hill,707,258,308,168,173,89,226,111
BK72,Williamsburg,318,164,112,73,41,45,165,131
BK73,North Side-South Side,616,201,287,121,242,134,87,70
BK75,Bedford,2107,421,933,228,501,163,673,207
BK76,Greenpoint,109,84,40,56,23,44,46,52
BK77,Bushwick North,1498,372,938,256,371,152,189,103
BK78,Bushwick South,2336,422,1202,276,463,169,671,224
BK79,Ocean Hill,951,280,448,162,246,128,257,118
BK81,Brownsville,2145,504,1089,399,547,170,509,171
BK82,East New York,3780,605,1590,358,1296,286,894,211
BK83,Cypress Hills-City Line,1299,292,727,190,232,99,340,140
BK85,East New York (Pennsylvania Ave),1042,277,507,167,326,142,209,92
BK88,Borough Park,814,270,511,201,164,107,139,101
BK90,East Williamsburg,347,145,203,114,56,61,88,79
BK91,East Flatbush-Farragut,2372,440,1022,246,691,194,659,229
BK93,Starrett City,674,290,334,230,272,164,68,61
BK95,Erasmus,1385,433,635,247,388,152,362,157
BK96,Rugby-Remsen Village,1892,376,877,254,445,146,570,175
BK99,park-cemetery-etc-Brooklyn,12,40,0,40,0,40,12,40
BX01,Claremont-Bathgate,978,280,535,190,261,136,182,113
BX03,Eastchester-Edenwald-Baychester,1271,412,659,262,321,171,291,125
BX05,Bedford Park-Fordham North,1456,397,603,238,544,208,309,144
BX06,Belmont,523,202,357,166,148,109,18,41
BX07,Bronxdale,591,220,275,152,103,75,213,114
BX08,West Farms-Bronx River,644,215,294,125,227,140,123,79
BX09,Soundview-Castle Hill-Clason Point-Harding Park,1397,326,759,217,265,103,373,175
BX10,Pelham Bay-Country Club-City Island,248,116,92,78,80,65,76,69
BX13,Co-op City,920,307,407,197,178,118,335,187
BX14,East Concourse-Concourse Village,1913,501,835,281,658,245,420,253
BX17,East Tremont,1357,380,746,282,376,157,235,127
BX22,North Riverdale-Fieldston-Riverdale,118,83,28,42,30,48,60,70
BX26,Highbridge,1159,324,527,203,381,191,251,134
BX27,Hunts Point,665,196,372,151,177,87,116,61
BX28,Van Cortlandt Village,1435,434,813,304,348,162,274,165
BX29,Spuyten Duyvil-Kingsbridge,165,124,130,118,0,38,35,47
BX30,Kingsbridge Heights,788,256,394,151,303,151,91,84
BX31,Allerton-Pelham Gardens,654,240,334,131,163,85,157,120
BX33,Longwood,653,193,397,136,133,85,123,72
BX34,Melrose South-Mott Haven North,1623,393,683,210,436,195,504,203
BX35,Morrisania-Melrose,1346,369,696,243,328,137,322,129
BX36,University Heights-Morris Heights,1789,393,971,253,405,184,413,153
BX37,Van Nest-Morris Park-Westchester Square,310,142,148,85,109,83,53,47
BX39,Mott Haven-Port Morris,1409,334,930,273,337,120,142,83
BX40,Fordham South,1029,330,597,187,249,157,183,116
BX41,Mount Hope,1616,396,852,246,431,171,333,142
BX43,Norwood,737,198,473,161,122,87,142,82
BX44,Williamsbridge-Olinville,1938,371,872,219,496,157,570,180
BX46,Parkchester,413,168,200,111,96,68,117,98
BX49,Pelham Parkway,295,135,181,100,77,56,37,51
BX52,Schuylerville-Throgs Neck-Edgewater Park,494,169,260,132,158,94,76,59
BX55,Soundview-Bruckner,1177,331,666,237,208,133,303,147
BX59,Westchester-Unionport,401,166,218,131,133,83,50,62
